hid,family,id,N,mean,se,t,clusters,sd,p_one,p_two
S1::4ff4e8053b59,S1,4ff4e8053b59,9077,-0.012886249879548558,0.01705872130505912,-0.7554053817461026,181,1.5929689960964168,0.7749971074489141,0.4500057851021717
S1::ae3b9146498d,S1,ae3b9146498d,8325,-0.03641746500557628,0.01688305634431763,-2.157042200349784,181,1.5794099006449802,0.9844988117577678,0.031002376484464467
S1::21871e84233f,S1,21871e84233f,9549,-0.036115529609934596,0.015058405854329052,-2.398363409733173,181,1.559204464512844,0.991765741348614,0.0164685173027721
S1::643ad07f1e11,S1,643ad07f1e11,8691,-0.005437564925863372,0.021454869236366286,-0.25344199798927824,181,2.0082474509231467,0.6000366614773565,0.7999266770452871
S1::b3024ded79b4,S1,b3024ded79b4,10076,-0.007692932195689702,0.01939110699005415,-0.3967247563347191,181,1.9726085842871106,0.6542147788765916,0.6915704422468167
S1::39391b987714,S1,39391b987714,1369,-0.06628487539976873,0.03675739663335823,-1.8033071292000475,181,1.2687123935929354,0.9643300031894303,0.07133999362113919
S1::947470ca3cce,S1,947470ca3cce,1843,-0.03250814755161026,0.029673971853586376,-1.0955104935735573,181,1.2745353767993854,0.8633534745962437,0.27329305080751265
S1::41fd258b9a80,S1,41fd258b9a80,1364,-0.017058256658674293,0.043216973763405844,-0.39471196553606086,181,1.4998892667676893,0.6534722644435595,0.6930554711128809
S1::136cb47b4e15,S1,136cb47b4e15,1834,0.01517825704701573,0.035193839669908224,0.4312759616278411,181,1.5014816931555115,0.33313386341359175,0.6662677268271835
S1::73287d24c320,S1,73287d24c320,1385,-0.06171272666658677,0.02985321261950256,-2.067205545116808,181,1.1188622853234391,0.9806426050367507,0.03871478992649857
