object,family,mechanism,feature,omni_p,bp_bin,bp_exp,bp_N,bp_lift,rank,fdr
S8::ec037f864152,S8,M08_EXTENSION_MEAN_REVERSION,f017,0.015165433473434575,21.0,0.531080718776731,34,0.6783655290433199,625,False
S31::9584b16899ad,S31,M06_SESSION_TIME,f034,0.015178615958907127,,,0,,626,False
S23::866611e1c7db,S23,M04_VOLATILITY_COMPRESSION_EXPANSION,f035,0.015347242587031573,,,0,,627,False
S23::866611e1c7db,S23,M04_VOLATILITY_COMPRESSION_EXPANSION,f023,0.015383279897507318,,,0,,628,False
SESS_C,SESS_C,M06_SESSION_TIME,f006,0.015693274256030065,,,0,,629,False
CAND0005,CAND0005,M13_IMBALANCE_FVG,f041,0.015733745503285768,1.0,0.1333053753792984,1092,0.17835079992561728,630,False
S21::b61f7b31fafc,S21,M01_LIQUIDITY_SWEEP,f036,0.01576264384333559,,,0,,631,False
S39::cdecf371316b,S39,M07_TREND_CONTINUATION,f021,0.015798207228447048,,,0,,632,False
S42::a347eead7c5d,S42,M08_EXTENSION_MEAN_REVERSION,f008,0.015892862598441138,1.0,0.08375809462554382,339,0.21834004934039794,633,False
S23::866611e1c7db,S23,M04_VOLATILITY_COMPRESSION_EXPANSION,f010,0.015960041555178606,,,0,,634,False
S21::b61f7b31fafc,S21,M01_LIQUIDITY_SWEEP,f017,0.015987619550500654,20.0,0.03675914044112544,241,0.3230549382062022,635,False
S3::7aafa506c507,S3,M03_BREAKOUT_RETEST,f021,0.016039784183125683,,,0,,636,False
S1::4b7c6d5c6035,S1,M01_LIQUIDITY_SWEEP,f043,0.016078110464829987,,,0,,637,False
OBR_A_limit,OBR_A_limit,M14_REFERENCE_LEVEL,f006,0.016120811982318628,1.0,0.1317961682927639,396,0.23684665427158325,638,False
S7::98a2f4583fb9,S7,M07_TREND_CONTINUATION,f005,0.016234489159894228,,,0,,639,False
S26::f196a9ae20d6,S26,M16_AUCTION_VALUE,f005,0.01631544477413094,,,0,,640,False
S3::7aafa506c507,S3,M03_BREAKOUT_RETEST,f030,0.016371831992683106,,,0,,641,False
S18::18995ee3f508,S18,M06_SESSION_TIME,f041,0.016427714401342497,,,0,,642,False
S23::866611e1c7db,S23,M04_VOLATILITY_COMPRESSION_EXPANSION,f007,0.016488243860836027,,,0,,643,False
S10::7df75fdb8ecb,S10,M10_DISPLACEMENT_CONTINUATION,f016,0.016612369339993327,,,0,,644,False
S2::2c6012247423,S2,M02_FAILED_BREAKOUT_FADE,f005,0.0166321377263301,,,0,,645,False
S6::7199b701458a,S6,M06_SESSION_TIME,f001,0.016872855035239276,,,0,,646,False
SESS_D,SESS_D,M06_SESSION_TIME,f034,0.01693649738643188,1.0,0.021643848157115158,1405,0.09760267946276001,647,False
S3::37a51a4fd454,S3,M03_BREAKOUT_RETEST,f006,0.017405761180093737,,,0,,648,False
