L1_type,n,exp,wr
1,115,-0.16089464347818033,0.5043478260869565
2,3504,-0.06644446135027665,0.5353881278538812
3,2357,-0.07104770353347895,0.47602885023334746
4,125,-0.054053175396803044,0.624
