setup,A_cts_v2_baseline,B_event_aggregates,C_event_relational
SETUP_1,-0.3105351322517857,-0.35042216643979457,-0.317877169724411
SETUP_3,-0.08356968113602573,-0.14588142024795842,-0.14030070370003273
