year,size,mean,sum
2011,631,-0.4057909721546733,-256.05410342959885
2012,1456,-0.5101400151641038,-742.7638620789352
2013,1402,-0.4093372307543981,-573.8907975176661
2014,1391,-0.30146965763546735,-419.34429377093505
2015,1363,-0.5677722729196296,-773.8736079894552
2016,1419,-0.3954097720763491,-561.0864665763394
2017,1393,-0.45938086274298945,-639.9175418009843
2018,1398,-0.17340593708251514,-242.42150004135618
2019,1404,-0.42232170608651876,-592.9396753454723
2020,1276,0.0008559373657047288,1.092176078639234
2021,1345,-0.12367294541787377,-166.3401115870402
2022,1344,-0.24454012229085068,-328.6619243589033
2023,1445,-0.05650783980674702,-81.65382852074944
2024,1492,-0.2169483929689957,-323.6870023097416
2025,1437,-0.04313684161283515,-61.98764139764412
2026,854,0.17249048833922934,147.30687704170185
