metric,v
N,21050.0
tpy,1403.0
WR,0.398
BASE_EXP,-0.2668
STRESS_EXP,-0.3458
PF,0.85
medR,-1.267
totalR,-5616.2
maxDD_R,5962.6
avg_win_R,3.81
avg_loss_R,-2.964
med_win_R,2.325
med_loss_R,-1.993
P90_loss_R,5.723
P95_loss_R,7.98
P99_loss_R,14.294
MAX_loss_R,142.379
medNatRR,3.38
L2_reach_pct,39.6
accept_fail_pct,60.2
losers_later_L2_pct,52.4
