b,ei,dir,R
219046,219048,1,-1.0
219049,219051,-1,-1.0
219151,219153,-1,-1.0
219401,219403,-1,-1.0
219876,219878,-1,-1.0
219891,219893,1,-1.0
221769,221771,-1,-1.0
221862,221864,-1,-1.0
222847,222849,-1,-1.0
224174,224176,1,-1.0
224786,224788,-1,-1.0
225322,225324,1,-1.0
225423,225425,1,-1.0
226182,226184,-1,-1.0
226305,226307,-1,-1.0
226736,226738,-1,-1.0
227655,227657,-1,-1.0
227862,227864,1,-1.0
228323,228325,1,-1.0
229142,229144,1,-1.0
229475,229477,-1,-1.0
229522,229524,1,-1.0
229778,229780,-1,-1.0
230830,230832,1,-1.0
230902,230904,1,-1.0
231085,231087,1,-1.0
231453,231455,-1,-1.0
231502,231504,-1,-1.0
231609,231611,-1,-1.0
232327,232329,1,-1.0
232587,232589,-1,-1.0
233294,233296,1,-1.0
233689,233691,1,-1.0
233919,233921,-1,-1.0
236114,236116,1,-1.0
236529,236531,1,-1.0
236774,236776,-1,-1.0
237079,237081,-1,-1.0
237126,237128,1,-1.0
238183,238185,1,-1.0
238597,238599,1,-1.0
240512,240514,-1,-1.0
240632,240634,1,-1.0
240994,240996,1,-1.0
241574,241576,-1,-1.0
241761,241763,1,-1.0
242584,242586,1,-1.0
244549,244551,-1,-1.0
245837,245839,1,-1.0
248319,248321,1,-1.0
248667,248669,-1,-1.0
249396,249398,-1,-1.0
249415,249417,-1,-1.0
249806,249808,1,-1.0
249965,249967,-1,-1.0
252109,252111,1,-1.0
252575,252577,-1,-1.0
253696,253698,-1,-1.0
253945,253947,1,-1.0
253997,253999,-1,-1.0
254930,254932,-1,-1.0
255701,255703,1,-1.0
256825,256827,1,-1.0
258069,258071,-1,-1.0
258162,258164,-1,-1.0
259147,259149,-1,-1.0
260685,260687,1,-1.0
262697,262699,1,-1.0
263343,263345,1,-1.0
263836,263838,-1,-1.0
263935,263937,-1,-1.0
264348,264350,-1,-1.0
265130,265132,1,-1.0
266645,266647,1,-1.0
266733,266735,-1,-1.0
267853,267855,1,-1.0
267929,267931,1,-1.0
268023,268025,-1,-1.0
269012,269014,1,-1.0
269224,269226,-1,-1.0
269335,269337,-1,-1.0
269739,269741,1,-1.0
269814,269816,-1,-1.0
270576,270578,1,-1.0
271402,271404,1,-1.0
272803,272805,1,-1.0
273778,273780,1,-1.0
274202,274204,1,-1.0
274457,274459,-1,-1.0
277402,277404,-1,-1.0
277684,277686,1,-1.0
278056,278058,-1,-1.0
278198,278200,1,-1.0
278870,278872,-1,-1.0
279141,279143,1,-1.0
279231,279233,-1,-1.0
281058,281060,-1,-1.0
281790,281792,-1,-1.0
281914,281916,-1,-1.0
281960,281962,-1,-1.0
283148,283150,-1,-1.0
283819,283821,-1,-1.0
284240,284242,1,-1.0
284454,284456,-1,-1.0
284537,284539,-1,-1.0
284567,284569,-1,-1.0
284766,284768,-1,-1.0
286034,286036,-1,-1.0
286694,286696,-1,-1.0
287500,287502,-1,-1.0
290329,290331,1,-1.0
291087,291089,-1,-1.0
291266,291268,1,-1.0
291703,291705,-1,-1.0
291856,291858,1,-1.0
294463,294465,1,-1.0
295454,295456,1,-1.0
295617,295619,1,-1.0
296514,296516,1,-1.0
296606,296608,1,-1.0
297622,297624,1,-1.0
298072,298074,1,-1.0
298935,298937,-1,-1.0
299582,299584,-1,-1.0
300985,300987,1,-1.0
301298,301300,-1,-1.0
301344,301346,1,-1.0
301976,301978,-1,-1.0
302541,302543,-1,-1.0
303688,303690,-1,-1.0
304476,304478,-1,-1.0
307111,307113,1,-1.0
307549,307551,-1,-1.0
309182,309184,1,-1.0
309413,309415,1,-1.0
310239,310241,-1,-1.0
311248,311250,1,-1.0
311469,311471,-1,-1.0
311517,311519,-1,-1.0
314020,314022,1,-1.0
317062,317064,1,-1.0
317881,317883,1,-1.0
318164,318166,-1,-1.0
319132,319134,-1,-1.0
319291,319293,-1,-1.0
321134,321136,-1,-1.0
321579,321581,1,-1.0
321595,321597,-1,-1.0
322404,322406,1,-1.0
323043,323045,-1,-1.0
325173,325175,1,-1.0
325329,325331,-1,-1.0
326157,326159,-1,-1.0
326651,326653,-1,-1.0
328512,328514,1,-1.0
328665,328667,-1,-1.0
330393,330395,1,-1.0
330938,330940,-1,-1.0
331120,331122,1,-1.0
332267,332269,1,-1.0
332847,332849,1,-1.0
334465,334467,-1,-1.0
334823,334825,1,-1.0
334977,334979,1,-1.0
335525,335527,1,-1.0
336539,336541,1,-1.0
337120,337122,1,-1.0
338925,338927,-1,-1.0
342511,342513,1,-1.0
342718,342720,-1,-1.0
345451,345453,-1,-1.0
348981,348983,-1,-1.0
350703,350705,1,-1.0
351838,351840,1,-1.0
353600,353602,-1,-1.0
354036,354038,1,-1.0
355450,355452,1,-1.0
