metric,v
N,16994.0
tpy,1133.0
WR,0.334
BASE,-0.1124
STRESS,-0.1596
PF,0.843
totalR,-1910.5
maxDD,1998.5
avg_win,1.809
avg_loss,-1.077
med_win,1.043
med_loss,-1.061
medNatRR,2.11
P25_RR,0.93
P75_RR,4.56
hold_L2_rate,73.8
fail_L2_rate,60.7
lift_pp,13.1
long_exp,-0.0913
short_exp,-0.1334
stop_then_L2_32,58.0
P95_loss,1.254
P99_loss,1.45
MAX_loss,1.5
med_tgt_R,2.11
