hid,family,N,tpy,WR,BASE,STRESS,PF,maxDD,db5,era1,era2,era3,epos,worst_era,recent,SURVIVE
S1::side=low/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=rr2/window=4/id=5510a98452d0,S1,1337,89.0,0.389,0.004,-0.0642,1.007,48.5,-0.0993,-0.0655,0.0482,0.0295,2,-0.0655,-0.0371,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=rr2/window=8/id=aaff01c43cca,S1,1788,119.0,0.404,0.0139,-0.0746,1.024,35.8,-0.0899,-0.0211,0.0264,0.0363,2,-0.0211,-0.0447,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=rr3/window=4/id=f1b3627ff80b,S1,1329,89.0,0.354,0.0276,-0.0406,1.044,52.7,-0.1276,-0.0592,0.055,0.0869,2,-0.0592,-0.0161,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=rr3/window=8/id=dafd6b750acc,S1,1781,119.0,0.368,0.0382,-0.0504,1.062,32.0,-0.1173,-0.0001,0.0254,0.0895,2,-0.0001,-0.0303,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=opp_liq/window=4/id=8b54ff321a55,S1,1360,91.0,0.526,-0.0546,-0.1227,0.883,96.5,-0.2068,-0.0892,-0.0667,-0.0078,0,-0.0892,-0.0771,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=opp_liq/window=8/id=90a406682a1a,S1,1822,121.0,0.538,0.0322,-0.0866,1.07,53.7,-0.1829,-0.0094,-0.0269,0.1329,1,-0.0269,-0.0003,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=time/window=4/id=e7d053d9b07f,S1,1363,91.0,0.379,-0.0025,-0.0706,0.996,59.2,-0.2569,-0.0398,-0.0365,0.069,1,-0.0398,-0.0504,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=time/window=8/id=8534cf36a3f8,S1,1830,122.0,0.377,0.0927,-0.0293,1.162,71.7,-0.264,0.0118,-0.0209,0.2872,2,-0.0209,0.0004,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=rr2/window=4/id=eea067727482,S1,1335,89.0,0.396,0.0142,-0.0436,1.025,51.3,-0.0888,-0.0765,0.0506,0.0684,2,-0.0765,-0.0272,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=rr2/window=8/id=6eb222d2e98f,S1,1780,119.0,0.394,-0.0024,-0.0591,0.996,64.0,-0.1075,-0.0636,0.0018,0.0547,2,-0.0636,-0.0319,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=rr3/window=4/id=50b6e92b17a7,S1,1324,88.0,0.362,0.0333,-0.0245,1.055,57.7,-0.1222,-0.0743,0.0692,0.1054,2,-0.0743,-0.0083,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=rr3/window=8/id=adc4aed64453,S1,1767,118.0,0.363,0.013,-0.0438,1.022,77.2,-0.1434,-0.0644,-0.0046,0.1079,1,-0.0644,-0.0008,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=opp_liq/window=4/id=16957c26d112,S1,1359,91.0,0.548,-0.0373,-0.0951,0.915,74.2,-0.167,-0.0845,-0.0434,0.0161,1,-0.0845,-0.0849,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=opp_liq/window=8/id=6ad52452d9fb,S1,1816,121.0,0.552,-0.0365,-0.0933,0.916,100.1,-0.1689,-0.0819,-0.0552,0.0275,1,-0.0819,-0.0635,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=time/window=4/id=d66606fd5ad3,S1,1362,91.0,0.4,0.0185,-0.0394,1.035,48.7,-0.2249,-0.0135,-0.0162,0.0851,1,-0.0162,-0.0788,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=time/window=8/id=c0e11825ccf0,S1,1827,122.0,0.394,0.0028,-0.0541,1.005,74.6,-0.2357,-0.0248,-0.0512,0.0844,1,-0.0512,-0.0723,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=rr2/window=4/id=7407c3b0faae,S1,640,43.0,0.47,0.0939,0.0627,1.21,23.8,-0.0064,-0.084,0.2295,0.1372,2,-0.084,0.2493,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=rr2/window=8/id=ce290a91792e,S1,1285,86.0,0.444,0.0558,0.0233,1.119,47.3,-0.0469,-0.0876,0.1512,0.1041,2,-0.0876,0.1181,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=rr3/window=4/id=87db2f36ba04,S1,637,42.0,0.46,0.1427,0.1114,1.312,18.9,-0.0032,-0.033,0.2657,0.1961,2,-0.033,0.3034,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=rr3/window=8/id=25a5934c1b76,S1,1274,85.0,0.431,0.0859,0.0534,1.178,40.2,-0.0654,-0.0619,0.1689,0.151,2,-0.0619,0.1927,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=opp_liq/window=4/id=d79f1060744e,S1,657,44.0,0.817,-0.0106,-0.0416,0.889,11.5,-0.0294,-0.0456,0.0337,-0.0199,1,-0.0456,-0.016,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=opp_liq/window=8/id=412083333865,S1,1352,90.0,0.812,-0.0113,-0.0437,0.88,20.4,-0.0323,-0.041,0.0078,-0.0006,1,-0.041,0.0117,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=time/window=4/id=0384cae2075e,S1,651,43.0,0.462,0.0469,0.0157,1.12,24.1,-0.1115,-0.0448,0.0938,0.0918,2,-0.0448,0.1173,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=time/window=8/id=db8dbd310a7b,S1,1337,89.0,0.459,0.0363,0.0037,1.09,51.3,-0.1308,-0.0563,0.0501,0.1154,2,-0.0563,0.0723,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=rr2/window=4/id=3d9cf9b3476b,S1,640,43.0,0.47,0.084,0.0538,1.19,24.8,-0.0169,-0.0931,0.2192,0.1267,2,-0.0931,0.247,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=rr2/window=8/id=a902ce15199d,S1,1279,85.0,0.451,0.0502,0.0202,1.111,50.8,-0.0513,-0.0975,0.1537,0.0949,2,-0.0975,0.1397,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=rr3/window=4/id=70692d47ed2b,S1,637,42.0,0.46,0.1278,0.0976,1.283,20.4,-0.0188,-0.0512,0.2431,0.1923,2,-0.0512,0.3083,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=rr3/window=8/id=8df7e93f47c3,S1,1271,85.0,0.444,0.0842,0.0543,1.183,43.5,-0.0675,-0.0627,0.1533,0.1623,2,-0.0627,0.2299,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=opp_liq/window=4/id=7aa682380716,S1,657,44.0,0.817,-0.0128,-0.0428,0.864,11.7,-0.0306,-0.0472,0.0303,-0.0215,1,-0.0472,-0.018,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=opp_liq/window=8/id=e20a7f8d622c,S1,1352,90.0,0.817,-0.0096,-0.0396,0.889,18.3,-0.0281,-0.0351,0.0087,-0.0026,1,-0.0351,0.007,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=time/window=4/id=7c30fd8633bf,S1,651,43.0,0.464,0.0387,0.0085,1.101,24.6,-0.1154,-0.0548,0.087,0.084,2,-0.0548,0.1137,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=time/window=8/id=66095067739c,S1,1336,89.0,0.467,0.0239,-0.0062,1.063,50.4,-0.1201,-0.0635,0.0463,0.0892,2,-0.0635,0.0715,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=rr2/window=4/id=70bfe31c90f7,S1,423,28.0,0.473,0.0766,0.0467,1.178,14.0,-0.0239,-0.0664,0.2093,0.087,2,-0.0664,0.0591,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=rr2/window=8/id=4c6aa830674b,S1,982,65.0,0.447,0.0523,0.021,1.114,37.3,-0.051,-0.0933,0.173,0.0778,2,-0.0933,0.0747,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=rr3/window=4/id=c038b651b6be,S1,422,28.0,0.46,0.0946,0.0647,1.214,11.8,-0.0571,-0.0187,0.1743,0.1285,2,-0.0187,0.0797,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=rr3/window=8/id=2a46c59096f6,S1,976,65.0,0.434,0.0707,0.0394,1.151,30.6,-0.0805,-0.0561,0.1508,0.1179,2,-0.0561,0.119,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=opp_liq/window=4/id=09825e239c22,S1,432,29.0,0.831,-0.0023,-0.0321,0.973,6.1,-0.0183,-0.0074,0.0335,-0.0329,1,-0.0329,-0.0456,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=opp_liq/window=8/id=df29474bf36b,S1,1021,68.0,0.817,-0.0043,-0.0355,0.949,10.2,-0.0228,-0.0119,0.0028,-0.0038,1,-0.0119,-0.0054,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=time/window=4/id=8d639185bba7,S1,432,29.0,0.472,0.0344,0.0046,1.093,19.1,-0.1183,-0.0372,0.0583,0.0822,2,-0.0372,0.0313,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=time/window=8/id=a63ac1cc70ca,S1,1018,68.0,0.468,0.0363,0.005,1.093,37.7,-0.1303,-0.0538,0.0522,0.1108,2,-0.0538,-0.0013,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=rr2/window=4/id=abf35aa5a564,S1,423,28.0,0.473,0.0698,0.0405,1.164,13.4,-0.0311,-0.0636,0.2007,0.0721,2,-0.0636,0.0561,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=rr2/window=8/id=87b848d5cc8e,S1,978,65.0,0.457,0.0564,0.0275,1.13,36.5,-0.0446,-0.0937,0.1961,0.0669,2,-0.0937,0.0812,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=rr3/window=4/id=a7149aa47703,S1,422,28.0,0.46,0.092,0.0627,1.21,11.1,-0.0599,-0.0159,0.1655,0.1266,2,-0.0159,0.0869,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=rr3/window=8/id=032a8cf11272,S1,974,65.0,0.449,0.0764,0.0475,1.172,30.7,-0.0748,-0.0575,0.1522,0.1346,2,-0.0575,0.1444,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=opp_liq/window=4/id=ad7dfe9d4cc5,S1,432,29.0,0.831,-0.0036,-0.0329,0.956,6.2,-0.0196,-0.0088,0.0312,-0.0334,1,-0.0334,-0.0479,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=opp_liq/window=8/id=dc880b613b58,S1,1021,68.0,0.824,-0.0002,-0.029,0.998,8.9,-0.0167,-0.0032,0.0067,-0.0039,1,-0.0039,-0.0103,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=time/window=4/id=f0fe17afa476,S1,432,29.0,0.472,0.0278,-0.0015,1.076,18.4,-0.1206,-0.0418,0.053,0.0722,2,-0.0418,0.028,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=time/window=8/id=ab85c422b5ab,S1,1018,68.0,0.475,0.0253,-0.0036,1.069,34.7,-0.1161,-0.0565,0.0494,0.0833,2,-0.0565,-0.0102,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr2/window=4/id=e35108280885,S1,3883,259.0,0.416,0.0386,-0.0832,1.066,50.6,-0.0643,0.0179,0.026,0.072,3,0.0179,0.1622,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr2/window=8/id=5b389dceead0,S1,4943,329.0,0.44,0.0712,-0.0564,1.128,46.9,-0.03,0.0611,0.0309,0.1215,3,0.0309,0.2247,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr3/window=4/id=ca16464f1041,S1,3813,254.0,0.374,0.0491,-0.07,1.079,46.3,-0.107,-0.0028,0.0554,0.0947,2,-0.0028,0.2108,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr3/window=8/id=5d448bd0259a,S1,4849,323.0,0.402,0.0848,-0.0437,1.142,55.9,-0.0691,0.0604,0.0523,0.1418,3,0.0523,0.2969,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=opp_liq/window=4/id=6ede37a474d3,S1,4000,267.0,0.524,0.0339,-0.0914,1.07,116.1,-0.163,-0.0456,0.0947,0.0527,2,-0.0456,0.0737,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=opp_liq/window=8/id=6b92de641929,S1,5128,342.0,0.557,0.089,-0.0446,1.196,52.0,-0.1209,0.0361,0.0877,0.1432,3,0.0361,0.2922,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=time/window=4/id=5638c4f79655,S1,3948,263.0,0.373,0.0927,-0.0391,1.153,95.6,-0.2589,-0.0287,0.2057,0.1011,2,-0.0287,0.0892,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=time/window=8/id=befce5ec6e26,S1,5086,339.0,0.401,0.1361,-0.0005,1.235,54.2,-0.2231,0.0782,0.1499,0.1801,3,0.0782,0.2296,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=rr2/window=4/id=1de5b5bc5bb3,S1,3711,247.0,0.364,-0.0243,-0.0918,0.96,179.5,-0.1304,-0.0806,-0.0267,0.0343,1,-0.0806,0.0872,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=rr2/window=8/id=2d5c9c0d94bb,S1,4659,311.0,0.364,-0.0349,-0.0996,0.943,256.8,-0.1414,-0.0614,-0.0527,0.0095,1,-0.0614,0.0781,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=rr3/window=4/id=9a7d73c6164b,S1,3626,242.0,0.315,-0.0286,-0.0963,0.957,201.1,-0.189,-0.1258,-0.0118,0.052,1,-0.1258,0.1321,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=rr3/window=8/id=15d6b70bae08,S1,4552,303.0,0.319,-0.0384,-0.1034,0.942,275.6,-0.1989,-0.0974,-0.0337,0.0158,1,-0.0974,0.1397,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=opp_liq/window=4/id=62992be766e9,S1,3868,258.0,0.496,-0.0462,-0.1135,0.907,211.9,-0.1997,-0.0826,-0.0501,-0.006,0,-0.0826,-0.0266,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=opp_liq/window=8/id=8df44485e80b,S1,4895,326.0,0.509,-0.0525,-0.1175,0.891,301.3,-0.2052,-0.0785,-0.0571,-0.022,0,-0.0785,0.0225,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=time/window=4/id=c12f1c3db991,S1,3829,255.0,0.343,0.0034,-0.0649,1.006,182.3,-0.2817,-0.0889,0.0269,0.0721,2,-0.0889,0.0598,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=time/window=8/id=ba207a2e5c67,S1,4878,325.0,0.347,-0.0144,-0.0806,0.976,235.3,-0.2894,-0.0834,-0.0031,0.0432,1,-0.0834,0.0653,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=rr2/window=4/id=1f6097ea42b0,S1,475,32.0,0.377,-0.0435,-0.0926,0.923,33.0,-0.1479,-0.1361,0.004,0.0021,2,-0.1361,0.0603,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=rr2/window=8/id=60d35d56e4c4,S1,974,65.0,0.389,-0.0129,-0.0814,0.977,75.3,-0.1171,-0.0021,-0.0396,0.0032,1,-0.0396,0.0188,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=rr3/window=4/id=acc52147a155,S1,474,32.0,0.357,0.0042,-0.0448,1.007,26.2,-0.149,-0.0989,0.0462,0.0655,2,-0.0989,0.1906,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=rr3/window=8/id=6de2ed2e34d4,S1,971,65.0,0.364,0.0221,-0.0476,1.037,52.1,-0.1323,-0.0025,0.0404,0.0284,2,-0.0025,0.085,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=opp_liq/window=4/id=d6bed3d23e42,S1,483,32.0,0.667,-0.0383,-0.087,0.876,28.6,-0.1281,-0.105,-0.0576,0.0478,1,-0.105,0.1257,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=opp_liq/window=8/id=712dbd1e5a6c,S1,992,66.0,0.653,-0.0216,-0.0868,0.936,45.1,-0.1436,-0.0056,-0.0427,-0.0163,0,-0.0427,0.1021,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=time/window=4/id=fa2d0cf037b8,S1,485,32.0,0.375,-0.0391,-0.0879,0.923,50.3,-0.2511,-0.0889,-0.0976,0.0699,1,-0.0976,0.0681,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=time/window=8/id=4e5a25a82c5c,S1,998,67.0,0.379,0.0486,-0.0166,1.092,46.2,-0.2465,0.0133,0.0772,0.0554,3,0.0133,0.102,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=rr2/window=4/id=0e95bd6c7890,S1,475,32.0,0.371,-0.0575,-0.1011,0.898,38.6,-0.1629,-0.129,-0.012,-0.0311,0,-0.129,0.0518,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=rr2/window=8/id=10505d602ed1,S1,974,65.0,0.383,-0.0249,-0.0711,0.956,61.4,-0.1301,-0.0433,-0.0209,-0.0105,0,-0.0433,-0.0081,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=rr3/window=4/id=11ce47edfb76,S1,474,32.0,0.35,-0.0256,-0.0691,0.957,27.8,-0.1804,-0.1105,0.032,0.0016,2,-0.1105,0.1107,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=rr3/window=8/id=233f63992a64,S1,969,65.0,0.357,-0.0169,-0.0631,0.971,50.1,-0.1741,-0.0562,0.0157,-0.01,1,-0.0562,-0.0126,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=opp_liq/window=4/id=9fc0dd75b62a,S1,483,32.0,0.671,-0.0441,-0.0874,0.854,27.0,-0.1272,-0.0911,-0.0449,0.0037,1,-0.0911,0.0656,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=opp_liq/window=8/id=31214357672c,S1,992,66.0,0.665,-0.0491,-0.0953,0.844,61.5,-0.1344,-0.0263,-0.0646,-0.0565,0,-0.0646,-0.0122,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=time/window=4/id=ce3e0866e586,S1,485,32.0,0.375,-0.0447,-0.0881,0.911,46.9,-0.2523,-0.0827,-0.0932,0.0424,1,-0.0932,0.0158,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=time/window=8/id=cf456416e207,S1,998,67.0,0.386,-0.0225,-0.0688,0.955,64.2,-0.2316,-0.0404,-0.0656,0.0386,1,-0.0656,-0.0102,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=rr2/window=4/id=08bd50d36b29,S1,4656,310.0,0.392,0.0134,-0.0926,1.022,88.5,-0.0906,0.0403,-0.0134,0.0133,2,-0.0134,-0.007,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=rr2/window=8/id=ab81c0e9d210,S1,5507,367.0,0.438,0.0723,-0.0533,1.129,77.3,-0.0287,0.1036,0.0471,0.0663,3,0.0471,0.0795,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=rr3/window=4/id=9861f4efc198,S1,4653,310.0,0.347,0.0254,-0.0817,1.039,111.8,-0.1305,0.0486,-0.0283,0.056,2,-0.0283,0.0641,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=rr3/window=8/id=ac4bc4d0eb0b,S1,5504,367.0,0.397,0.0875,-0.0376,1.145,87.2,-0.0652,0.1128,0.027,0.1228,3,0.027,0.1381,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=opp_liq/window=4/id=b6ea4c49c742,S1,4652,310.0,0.339,-0.0089,-0.1104,0.987,194.3,-0.3242,-0.0167,-0.0199,0.0099,1,-0.0199,0.0208,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=opp_liq/window=8/id=2ef9b03c3e64,S1,5502,367.0,0.389,0.0694,-0.0469,1.112,116.0,-0.2509,0.0543,0.0386,0.1152,3,0.0386,0.1136,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=time/window=4/id=365bccb1c46b,S1,4650,310.0,0.344,0.0198,-0.0758,1.032,145.7,-0.3156,0.0142,-0.018,0.0633,2,-0.018,0.0968,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=time/window=8/id=9f3a1ee129a4,S1,5501,367.0,0.39,0.1164,0.0034,1.197,74.8,-0.2431,0.0905,0.0765,0.1822,3,0.0765,0.1564,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=structural/exit=rr2/window=4/id=4acf7a35eef0,S1,4631,309.0,0.379,0.002,-0.0706,1.003,78.2,-0.1027,-0.009,-0.008,0.023,1,-0.009,-0.0048,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=structural/exit=rr2/window=8/id=a172ec758573,S1,5455,364.0,0.381,-0.0008,-0.0717,0.999,94.5,-0.1056,-0.0239,-0.0057,0.0272,1,-0.0239,0.0209,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=structural/exit=rr3/window=4/id=a0c0d0d54325,S1,4630,309.0,0.332,-0.0007,-0.0733,0.999,132.4,-0.1582,-0.0184,-0.0431,0.0593,1,-0.0431,0.0213,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=structural/exit=rr3/window=8/id=454ea1cb2d7b,S1,5454,364.0,0.335,-0.0051,-0.076,0.992,169.7,-0.1626,-0.0345,-0.0318,0.051,1,-0.0345,0.0296,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=structural/exit=opp_liq/window=4/id=f182adbe26d4,S1,4632,309.0,0.339,-0.0263,-0.0989,0.959,208.2,-0.2921,-0.0485,-0.0406,0.0101,1,-0.0485,-0.0276,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=structural/exit=opp_liq/window=8/id=68c5dc490073,S1,5456,364.0,0.344,-0.0296,-0.1005,0.954,265.1,-0.2905,-0.0679,-0.0407,0.0199,1,-0.0679,0.0047,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=structural/exit=time/window=4/id=4e69fdf48a60,S1,4631,309.0,0.349,-0.002,-0.0746,0.997,173.2,-0.285,-0.0204,-0.0159,0.0304,1,-0.0204,-0.0192,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=structural/exit=time/window=8/id=0292caa9ace7,S1,5456,364.0,0.352,-0.0036,-0.0745,0.994,201.9,-0.2831,-0.038,-0.0085,0.0356,1,-0.038,0.0029,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=rr2/window=4/id=c7481258ae1f,S1,719,48.0,0.392,-0.0391,-0.0985,0.932,55.3,-0.1431,-0.1344,0.0151,0.0022,2,-0.1344,-0.0907,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=rr2/window=8/id=0c2a00f7c0e3,S1,995,66.0,0.402,-0.0191,-0.0974,0.966,46.1,-0.1233,-0.072,0.0085,0.0063,2,-0.072,-0.1054,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=rr3/window=4/id=3d3167547f61,S1,719,48.0,0.369,-0.0019,-0.0614,0.997,38.8,-0.1556,-0.0918,0.0597,0.0264,2,-0.0918,-0.0761,False
