hid,family,N,tpy,WR,BASE,STRESS,PF,maxDD,db5,era1,era2,era3,epos,worst_era,recent,SURVIVE
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=time/window=4/id=45d26ea13045,S1,1396,93.0,0.345,-0.0165,-0.0921,0.972,68.3,-0.2916,-0.004,0.0153,-0.0608,1,-0.0608,-0.0641,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=time/window=8/id=fdd49be73d54,S1,1886,126.0,0.352,0.0152,-0.0945,1.026,88.4,-0.3045,0.0202,-0.0512,0.0766,2,-0.0512,0.0496,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=rr2/window=4/id=211f38d879e5,S1,1365,91.0,0.355,-0.0584,-0.117,0.903,92.1,-0.1661,-0.0279,-0.052,-0.0953,0,-0.0953,-0.098,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=rr2/window=8/id=73430cc16477,S1,1827,122.0,0.359,-0.0499,-0.1088,0.916,113.9,-0.1571,-0.0125,-0.0535,-0.0837,0,-0.0837,-0.0707,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=rr3/window=4/id=b2394c046121,S1,1361,91.0,0.325,-0.0077,-0.0662,0.988,52.6,-0.1654,0.0259,-0.005,-0.0439,1,-0.0439,-0.0686,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=rr3/window=8/id=2cc17ba15862,S1,1816,121.0,0.328,-0.0194,-0.0783,0.969,88.6,-0.1764,0.0234,-0.0453,-0.0363,1,-0.0453,-0.0311,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=opp_liq/window=4/id=fa793be15ae1,S1,1381,92.0,0.518,-0.0483,-0.107,0.896,70.3,-0.1923,-0.0568,-0.0444,-0.0436,0,-0.0568,-0.0484,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=opp_liq/window=8/id=4ef88849560b,S1,1850,123.0,0.519,-0.0419,-0.1009,0.909,89.7,-0.1854,-0.0416,-0.0503,-0.0336,0,-0.0503,-0.0007,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=time/window=4/id=309c0ce35869,S1,1395,93.0,0.361,-0.0016,-0.0605,0.997,59.9,-0.2547,-0.0048,0.0175,-0.0177,1,-0.0177,-0.0387,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=time/window=8/id=7cc9f64abfd4,S1,1881,125.0,0.366,0.0069,-0.0524,1.013,63.5,-0.2501,-0.0003,-0.0267,0.0476,1,-0.0267,0.0503,False
