L1_type,n,exp,wr
1,382,-0.1419727775606192,0.35340314136125656
2,10372,-0.09842473233580348,0.35084843810258387
3,5888,-0.1227132578347347,0.30519701086956524
4,352,-0.3207496726963022,0.3096590909090909
