metric,v
N,14121.0
tpy,941.0
WR,0.273
BASE,-0.1015
STRESS,-0.1283
PF,0.834
totalR,-1433.9
maxDD_R,1487.4
avg_win,1.867
avg_loss,-0.842
med_win,1.493
med_loss,-1.015
P95_loss,1.113
P99_loss,1.191
MAX_loss,3.804
medNatRR,1.8
L2_reach,27.1
avg_loss_V1E,-1.045
losers_later_L2_32,48.7
