L1_type,n,exp,reach
1,486,0.13194950311441464,0.4567901234567901
2,12604,-0.2003581845049903,0.41859727070771185
3,7564,-0.4091730271042227,0.3540454785827604
4,396,-0.15164501919406037,0.4065656565656566
