object,family,mechanism,feature,n_bins,omni_p,best_pos_bin,best_pos_exp,best_pos_N,best_pos_days,best_pos_lift,best_pos_z,pooled_exp,rank,bh_thresh,fdr_sig
S1::11c4710e404e,S1,M01_LIQUIDITY_SWEEP,f020,5,0.035176903311966434,,,0,0,,,-0.1687544865282243,696,0.006724637681159421,False
S26::f196a9ae20d6,S26,M16_AUCTION_VALUE,f026,5,0.03524189655117027,,,0,0,,,-0.1791938310904777,697,0.006734299516908213,False
S1::4b7c6d5c6035,S1,M01_LIQUIDITY_SWEEP,f037,2,0.03526820595704283,,,0,0,,,-0.2084882388941829,698,0.006743961352657005,False
S29::bd28e989b4eb,S29,M06_SESSION_TIME,f038,5,0.035505097440506894,0.0,0.00043598203988344644,176,176,0.1993000332550405,1.7953766358513343,-0.15406608716293854,699,0.006753623188405797,False
HTF_PBK_TREND,HTF_PBK_TREND,M07_TREND_CONTINUATION,f008,5,0.035699207359484175,3.0,0.2824982039480679,67,65,0.46225272961214203,2.6902504408899532,-0.08416522663934102,700,0.006763285024154589,False
S2::2c6012247423,S2,M02_FAILED_BREAKOUT_FADE,f046,2,0.035750789331352895,,,0,0,,,-0.1792331034018087,701,0.006772946859903381,False
OBEXEC_C,OBEXEC_C,M14_REFERENCE_LEVEL,f032,5,0.035938223924090185,,,0,0,,,-0.20573875879572312,702,0.006782608695652175,False
S7::98a2f4583fb9,S7,M07_TREND_CONTINUATION,f014,5,0.03613622142124351,,,0,0,,,-0.6253044035935208,703,0.006792270531400967,False
S7::98a2f4583fb9,S7,M07_TREND_CONTINUATION,f020,5,0.03622263953351412,,,0,0,,,-0.6253044035935208,704,0.006801932367149759,False
S6::7199b701458a,S6,M06_SESSION_TIME,f020,5,0.036673891845753204,,,0,0,,,-0.5031640871587263,705,0.006811594202898551,False
S2::691f36c634e3,S2,M02_FAILED_BREAKOUT_FADE,f019,12,0.037095186242146916,,,0,0,,,-0.22595369055072162,706,0.0068212560386473435,False
S51::049ca99687f4,S51,M06_SESSION_TIME,f002,5,0.03745434127511604,,,0,0,,,-0.18209800690149575,707,0.006830917874396135,False
S2::2c6012247423,S2,M02_FAILED_BREAKOUT_FADE,f026,5,0.03771743417039897,,,0,0,,,-0.1792331034018087,708,0.0068405797101449275,False
S11::576394ea476f,S11,M11_STRUCTURE_BREAK_REVERSAL,f003,5,0.03821560426070958,3.0,0.0034157721144979945,923,895,0.07513375621365435,2.4318552501396606,-0.05809888414133959,709,0.006850241545893721,False
S11::576394ea476f,S11,M11_STRUCTURE_BREAK_REVERSAL,f044,5,0.03822606006463225,0.0,0.007070140180303832,1190,808,0.08504373958119124,2.6442240836150357,-0.05809888414133959,710,0.006859903381642513,False
HTF_RANGE_FADE,HTF_RANGE_FADE,M12_RANGE_ROTATION,f032,4,0.03837249544694288,,,0,0,,,-0.1462639811616175,711,0.006869565217391305,False
HTF_TGT_BREAK,HTF_TGT_BREAK,M03_BREAKOUT_RETEST,f032,5,0.038541901442372684,1.0,0.13174963616571247,109,107,0.20261639110659463,2.6645831688356485,-0.022855479656928215,712,0.006879227053140097,False
OBEXEC_D,OBEXEC_D,M14_REFERENCE_LEVEL,f031,2,0.03854460064023879,,,0,0,,,-0.18525611422496036,713,0.006888888888888889,False
S31::9584b16899ad,S31,M06_SESSION_TIME,f001,5,0.038650849688559585,,,0,0,,,-0.24685756551201846,714,0.006898550724637681,False
S6::7199b701458a,S6,M06_SESSION_TIME,f011,6,0.03878820895314217,,,0,0,,,-0.5031640871587263,715,0.006908212560386474,False
S45::4809d6e42bc2,S45,M19_SEQUENCE_RUNLENGTH,f007,5,0.03888939212675968,,,0,0,,,-0.16257469442432315,716,0.006917874396135265,False
S29::10d4532019fd,S29,M06_SESSION_TIME,f019,12,0.03899793481138758,6.0,0.24954071123431232,67,67,0.408408531967855,2.228500047381366,-0.12392098594191271,717,0.006927536231884059,False
SESS_E,SESS_E,M06_SESSION_TIME,f036,5,0.03924337257278143,,,0,0,,,-0.1706719129068075,718,0.006937198067632851,False
SESS_B,SESS_B,M06_SESSION_TIME,f015,2,0.03925402347569351,,,0,0,,,-0.3656137311760934,719,0.0069468599033816435,False
S10::598adad042be,S10,M10_DISPLACEMENT_CONTINUATION,f009,5,0.03956304527071186,,,0,0,,,-0.18214022583580294,720,0.006956521739130435,False
HTF_TGT_BREAK,HTF_TGT_BREAK,M03_BREAKOUT_RETEST,f021,2,0.03967469545633495,0.0,0.005557684997723948,337,297,0.10626061578162593,2.3294101527590017,-0.022855479656928215,721,0.0069661835748792275,False
S10::7df75fdb8ecb,S10,M10_DISPLACEMENT_CONTINUATION,f003,5,0.039789453595411306,,,0,0,,,-0.19540252563132476,722,0.006975845410628019,False
S21::b61f7b31fafc,S21,M01_LIQUIDITY_SWEEP,f034,3,0.04023547527519167,,,0,0,,,-0.2797389306514087,723,0.0069855072463768115,False
S6::7199b701458a,S6,M06_SESSION_TIME,f015,2,0.040404751716310194,,,0,0,,,-0.5031640871587263,724,0.006995169082125604,False
S3::37a51a4fd454,S3,M03_BREAKOUT_RETEST,f041,5,0.04060678726324096,,,0,0,,,-0.36524044468647615,725,0.007004830917874397,False
S18::18995ee3f508,S18,M06_SESSION_TIME,f031,2,0.040770395957898664,,,0,0,,,-0.2196943442096486,726,0.007014492753623189,False
OBEXEC_D,OBEXEC_D,M14_REFERENCE_LEVEL,f006,5,0.04096500650572543,,,0,0,,,-0.18525611422496036,727,0.007024154589371981,False
S11::576394ea476f,S11,M11_STRUCTURE_BREAK_REVERSAL,f006,5,0.0412754642136548,,,0,0,,,-0.05809888414133959,728,0.007033816425120774,False
OBEXEC_B,OBEXEC_B,M14_REFERENCE_LEVEL,f020,5,0.04129920899085926,,,0,0,,,-0.26565881262113494,729,0.007043478260869565,False
S16::393fe65826e6,S16,M14_REFERENCE_LEVEL,f021,2,0.041542617946271676,1.0,0.10008122459278809,254,225,0.14351280037135866,1.5838532310080304,0.0036035871818489063,730,0.007053140096618358,False
S6::7199b701458a,S6,M06_SESSION_TIME,f038,5,0.04185432281691437,,,0,0,,,-0.5031640871587263,731,0.007062801932367149,False
HTF_PBK_TREND,HTF_PBK_TREND,M07_TREND_CONTINUATION,f016,4,0.0419154689193828,3.0,0.18622735598338452,51,51,0.3209054826731248,1.7332085605303398,-0.08416522663934102,732,0.007072463768115942,False
S41::73a2a8a65e5e,S41,M17_VOLUME_PARTICIPATION,f039,4,0.0419675719824113,,,0,0,,,-0.391199701626434,733,0.007082125603864735,False
S31::9584b16899ad,S31,M06_SESSION_TIME,f044,2,0.04208338488646435,,,0,0,,,-0.24685756551201846,734,0.0070917874396135274,False
S8::b7adfd7f9d4f,S8,M08_EXTENSION_MEAN_REVERSION,f038,5,0.04218413723195091,,,0,0,,,-0.1740521879042388,735,0.007101449275362319,False
S8::b7adfd7f9d4f,S8,M08_EXTENSION_MEAN_REVERSION,f014,5,0.04250561900833061,,,0,0,,,-0.1740521879042388,736,0.0071111111111111115,False
S4::cf232107e3b5,S4,M04_VOLATILITY_COMPRESSION_EXPANSION,f032,5,0.04265063860447338,,,0,0,,,-0.22398750302820006,737,0.007120772946859904,False
S1::11c4710e404e,S1,M01_LIQUIDITY_SWEEP,f002,5,0.04273152263996938,,,0,0,,,-0.1687544865282243,738,0.0071304347826086955,False
S14::dc07a2d5d013,S14,M08_EXTENSION_MEAN_REVERSION,f002,3,0.042927805677619,,,0,0,,,-0.07335208704947947,739,0.007140096618357488,False
S5::15be26301532,S5,M05_OPENING_RANGE,f027,5,0.04294335089264134,0.0,0.024190432168293443,1136,1080,0.1083475789800495,2.628007184338687,-0.03342225409892166,740,0.007149758454106281,False
S5::9cce3e63e04e,S5,M05_OPENING_RANGE,f014,5,0.043021950509571916,1.0,0.0512048952931689,346,339,0.1576968644415444,2.0887997772598115,-0.08249763533273155,741,0.007159420289855074,False
HTF_PBK_TREND,HTF_PBK_TREND,M07_TREND_CONTINUATION,f005,5,0.043215995244743066,3.0,0.10518932331349651,56,54,0.22892117233104237,1.2316922491155273,-0.08416522663934102,742,0.007169082125603865,False
S39::cdecf371316b,S39,M07_TREND_CONTINUATION,f013,5,0.043311101488138215,,,0,0,,,-0.15729102688266258,743,0.007178743961352658,False
S27::8492323d86e4,S27,M16_AUCTION_VALUE,f028,5,0.04337848517401044,,,0,0,,,-0.1757948604079745,744,0.007188405797101449,False
S21::6ddb75c3f9b1,S21,M01_LIQUIDITY_SWEEP,f006,5,0.04353142981640579,,,0,0,,,-0.3144243577251478,745,0.007198067632850242,False
HTF_RECLAIM,HTF_RECLAIM,M11_STRUCTURE_BREAK_REVERSAL,f038,5,0.043627916492592345,,,0,0,,,-0.10018457997622172,746,0.007207729468599034,False
S48::6d74b2000433,S48,M04_VOLATILITY_COMPRESSION_EXPANSION,f004,5,0.04365457838034992,,,0,0,,,-0.16428795833193302,747,0.007217391304347826,False
S29::10d4532019fd,S29,M06_SESSION_TIME,f028,5,0.0437260198934708,4.0,0.1747689602665377,93,93,0.3389481563495894,2.252446440868332,-0.12392098594191271,748,0.007227053140096619,False
SESS_A,SESS_A,M06_SESSION_TIME,f026,5,0.0438000611810474,0.0,0.044083233320251,1011,1011,0.0494070795189443,1.2056212815671425,0.009844862393366436,749,0.007236714975845411,False
S5::15be26301532,S5,M05_OPENING_RANGE,f005,5,0.04392180771169096,4.0,0.08816084835176273,42,40,0.12372508663815451,0.7635285095997714,-0.03342225409892166,750,0.007246376811594204,False
S50::9cc65b2c5452,S50,M20_CANDLESTICK_PATTERN,f028,5,0.04428652213619655,,,0,0,,,-0.6026326920420786,751,0.007256038647342995,False
S3::37a51a4fd454,S3,M03_BREAKOUT_RETEST,f032,5,0.0451517425657777,,,0,0,,,-0.36524044468647615,752,0.007265700483091788,False
S4::cf232107e3b5,S4,M04_VOLATILITY_COMPRESSION_EXPANSION,f007,5,0.045218880409567674,,,0,0,,,-0.22398750302820006,753,0.0072753623188405794,False
S24::a20c02d14359,S24,M06_SESSION_TIME,f019,12,0.04566496632742201,,,0,0,,,-0.11455623302072095,754,0.007285024154589372,False
S5::9cce3e63e04e,S5,M05_OPENING_RANGE,f032,5,0.04577126233109907,,,0,0,,,-0.08249763533273155,755,0.007294685990338164,False
OBEXEC_B,OBEXEC_B,M14_REFERENCE_LEVEL,f028,5,0.04580023833506197,,,0,0,,,-0.26565881262113494,756,0.007304347826086958,False
S11::576394ea476f,S11,M11_STRUCTURE_BREAK_REVERSAL,f021,2,0.0458288103470581,,,0,0,,,-0.05809888414133959,757,0.007314009661835749,False
S30::282a94fa23d8,S30,M06_SESSION_TIME,f019,12,0.045907963752393144,,,0,0,,,-0.146454009554978,758,0.007323671497584542,False
S16::393fe65826e6,S16,M14_REFERENCE_LEVEL,f034,3,0.04597196340520915,4.0,0.18201228158181998,202,176,0.24130320795807603,2.4246301884793526,0.0036035871818489063,759,0.007333333333333334,False
S15::ac373f9fe529,S15,M07_TREND_CONTINUATION,f019,12,0.04616379734741649,,,0,0,,,-0.16152008753853492,760,0.007342995169082126,False
S4::cf232107e3b5,S4,M04_VOLATILITY_COMPRESSION_EXPANSION,f011,36,0.046266783075612494,17.0,0.14735569432262433,46,45,0.37290161237483116,1.6468961798620694,-0.22398750302820006,761,0.007352657004830918,False
S28::b2a817579286,S28,M16_AUCTION_VALUE,f043,5,0.04626700602035627,,,0,0,,,-0.1509808226383693,762,0.00736231884057971,False
S29::bd28e989b4eb,S29,M06_SESSION_TIME,f021,2,0.04629604525546949,,,0,0,,,-0.15406608716293854,763,0.007371980676328502,False
S21::6ddb75c3f9b1,S21,M01_LIQUIDITY_SWEEP,f010,5,0.046603069773247796,,,0,0,,,-0.3144243577251478,764,0.007381642512077295,False
S10::7df75fdb8ecb,S10,M10_DISPLACEMENT_CONTINUATION,f012,5,0.04665841738616283,,,0,0,,,-0.19540252563132476,765,0.007391304347826088,False
S43::6aacd27a298d,S43,M18_OSCILLATOR_DIVERGENCE,f008,5,0.04686290896943501,,,0,0,,,-0.3255470396563592,766,0.007400966183574879,False
S29::bd28e989b4eb,S29,M06_SESSION_TIME,f041,5,0.046930556167299464,0.0,0.11155422166346561,143,143,0.3249698465798038,2.597660981253242,-0.15406608716293854,767,0.007410628019323672,False
S6::a461ec93f607,S6,M06_SESSION_TIME,f019,12,0.047012989762416524,,,0,0,,,-0.5128074236968724,768,0.007420289855072464,False
S3::37a51a4fd454,S3,M03_BREAKOUT_RETEST,f046,2,0.04731151594568139,,,0,0,,,-0.36524044468647615,769,0.007429951690821256,False
S38::3029c9493a71,S38,M07_TREND_CONTINUATION,f005,5,0.04743196768534297,,,0,0,,,-0.09395247678451399,770,0.007439613526570048,False
S8::ec037f864152,S8,M08_EXTENSION_MEAN_REVERSION,f043,5,0.04747544753702426,,,0,0,,,-0.14407963683864652,771,0.007449275362318842,False
OBR_A_limit,OBR_A_limit,M14_REFERENCE_LEVEL,f022,5,0.04777574351769065,,,0,0,,,-0.06732270034263796,772,0.007458937198067634,False
S29::bd28e989b4eb,S29,M06_SESSION_TIME,f002,5,0.047832696668721475,1.0,0.09865724226867993,150,150,0.31261037432062755,2.591115445154821,-0.15406608716293854,773,0.007468599033816426,False
S6::a461ec93f607,S6,M06_SESSION_TIME,f044,5,0.04795264375131003,,,0,0,,,-0.5128074236968724,774,0.007478260869565218,False
HTF_TGT_BREAK,HTF_TGT_BREAK,M03_BREAKOUT_RETEST,f037,2,0.04813151003855998,0.0,0.05762393662395539,62,61,0.09301641077690065,0.8953987060429196,-0.022855479656928215,775,0.00748792270531401,False
S21::b61f7b31fafc,S21,M01_LIQUIDITY_SWEEP,f005,5,0.04856338467880583,,,0,0,,,-0.2797389306514087,776,0.007497584541062802,False
HTF_RECLAIM,HTF_RECLAIM,M11_STRUCTURE_BREAK_REVERSAL,f033,5,0.04863452309429972,,,0,0,,,-0.10018457997622172,777,0.0075072463768115945,False
S3::7aafa506c507,S3,M03_BREAKOUT_RETEST,f022,5,0.04868976747451126,0.0,0.01367194614590328,48,48,0.38900056143397216,2.165953145484476,-0.3737354389272471,778,0.007516908212560386,False
SESS_A,SESS_A,M06_SESSION_TIME,f034,3,0.04943290016294055,3.0,0.0935193201399069,833,833,0.11200812575583648,2.398160722871307,0.009844862393366436,779,0.007526570048309179,False
HTF_RANGE_FADE,HTF_RANGE_FADE,M12_RANGE_ROTATION,f040,5,0.049459179432205236,1.0,0.04992131882344622,181,168,0.2575143834000836,2.5795876265997215,-0.1462639811616175,780,0.007536231884057972,False
S30::282a94fa23d8,S30,M06_SESSION_TIME,f026,5,0.04947691970617951,,,0,0,,,-0.146454009554978,781,0.007545893719806764,False
SESS_E,SESS_E,M06_SESSION_TIME,f023,5,0.049916050220724095,3.0,0.09872287367088876,144,144,0.3153034839353155,2.5764103140028958,-0.1706719129068075,782,0.007555555555555556,False
HTF_RECLAIM,HTF_RECLAIM,M11_STRUCTURE_BREAK_REVERSAL,f046,2,0.049998999676825306,,,0,0,,,-0.10018457997622172,783,0.007565217391304348,False
S5::9cce3e63e04e,S5,M05_OPENING_RANGE,f020,5,0.05043911655905897,4.0,0.010943933277329978,249,226,0.10493142075026171,1.224170839088693,-0.08249763533273155,784,0.00757487922705314,False
HTF_RECLAIM,HTF_RECLAIM,M11_STRUCTURE_BREAK_REVERSAL,f034,3,0.05080949886608144,,,0,0,,,-0.10018457997622172,785,0.007584541062801932,False
S17::3cf289079abb,S17,M14_REFERENCE_LEVEL,f039,3,0.050819199787545566,3.0,0.13598700194363791,138,118,0.2808763542005178,2.3880132018128766,-0.02144687811779879,786,0.007594202898550725,False
S21::b61f7b31fafc,S21,M01_LIQUIDITY_SWEEP,f009,5,0.050822101537237874,,,0,0,,,-0.2797389306514087,787,0.007603864734299518,False
S27::8492323d86e4,S27,M16_AUCTION_VALUE,f041,5,0.05130745703345596,,,0,0,,,-0.1757948604079745,788,0.00761352657004831,False
S10::598adad042be,S10,M10_DISPLACEMENT_CONTINUATION,f002,5,0.05136169821415626,,,0,0,,,-0.18214022583580294,789,0.007623188405797102,False
S10::7df75fdb8ecb,S10,M10_DISPLACEMENT_CONTINUATION,f042,5,0.05137827703122655,,,0,0,,,-0.19540252563132476,790,0.0076328502415458944,False
S27::8492323d86e4,S27,M16_AUCTION_VALUE,f042,5,0.05148920899083698,,,0,0,,,-0.1757948604079745,791,0.007642512077294686,False
S43::6aacd27a298d,S43,M18_OSCILLATOR_DIVERGENCE,f017,24,0.051649684574979204,,,0,0,,,-0.3255470396563592,792,0.0076521739130434785,False
S29::10d4532019fd,S29,M06_SESSION_TIME,f002,5,0.051675946924785165,3.0,0.0428631256305006,159,159,0.20928198615576865,1.821415721266395,-0.12392098594191271,793,0.00766183574879227,False
S5::15be26301532,S5,M05_OPENING_RANGE,f015,2,0.051678249265171505,0.0,0.018422773436256343,705,670,0.07308311260914692,1.5373848226968627,-0.03342225409892166,794,0.0076714975845410625,False
S23::866611e1c7db,S23,M04_VOLATILITY_COMPRESSION_EXPANSION,f030,5,0.05211842614696538,,,0,0,,,-0.17687497367340774,795,0.007681159420289856,False
SESS_B,SESS_B,M06_SESSION_TIME,f031,2,0.05244618160415904,,,0,0,,,-0.3656137311760934,796,0.007690821256038648,False
S18::3933c532ec9c,S18,M06_SESSION_TIME,f007,5,0.05262362699685719,,,0,0,,,-0.27062340875942975,797,0.00770048309178744,False
HTF_RECLAIM,HTF_RECLAIM,M11_STRUCTURE_BREAK_REVERSAL,f003,5,0.05301714583695771,,,0,0,,,-0.10018457997622172,798,0.007710144927536232,False
S51::049ca99687f4,S51,M06_SESSION_TIME,f012,5,0.05316326117604464,,,0,0,,,-0.18209800690149575,799,0.007719806763285025,False
S46::28bd0e966c33,S46,M03_BREAKOUT_RETEST,f013,5,0.05325790801124608,,,0,0,,,-0.03691241235634437,800,0.007729468599033816,False
S46::28bd0e966c33,S46,M03_BREAKOUT_RETEST,f011,32,0.05352510963695778,36.0,0.26304558574974635,68,68,0.303786290874712,3.1429297682815722,-0.03691241235634437,801,0.007739130434782609,False
S5::9cce3e63e04e,S5,M05_OPENING_RANGE,f001,5,0.053560543400148486,3.0,0.049144776454401254,465,426,0.16548084267768934,2.5519526139628628,-0.08249763533273155,802,0.007748792270531402,False
S48::6d74b2000433,S48,M04_VOLATILITY_COMPRESSION_EXPANSION,f011,28,0.05392705712947521,38.0,0.13792350996838348,86,85,0.306293482792829,2.1369496639287697,-0.16428795833193302,803,0.007758454106280194,False
SESS_B,SESS_B,M06_SESSION_TIME,f041,5,0.054069229931335006,,,0,0,,,-0.3656137311760934,804,0.007768115942028986,False
S50::9cc65b2c5452,S50,M20_CANDLESTICK_PATTERN,f043,5,0.054132416788986726,,,0,0,,,-0.6026326920420786,805,0.007777777777777778,False
S3::37a51a4fd454,S3,M03_BREAKOUT_RETEST,f038,5,0.05420455395149126,,,0,0,,,-0.36524044468647615,806,0.00778743961352657,False
S11::576394ea476f,S11,M11_STRUCTURE_BREAK_REVERSAL,f035,5,0.05441272709382883,,,0,0,,,-0.05809888414133959,807,0.007797101449275362,False
S10::7df75fdb8ecb,S10,M10_DISPLACEMENT_CONTINUATION,f005,5,0.05487592689067844,,,0,0,,,-0.19540252563132476,808,0.007806763285024155,False
S21::6ddb75c3f9b1,S21,M01_LIQUIDITY_SWEEP,f013,5,0.05495527322814553,,,0,0,,,-0.3144243577251478,809,0.007816425120772947,False
S17::3cf289079abb,S17,M14_REFERENCE_LEVEL,f015,2,0.05532004049171224,0.0,0.005924201207667998,267,166,0.1828621044297145,2.202074870359448,-0.02144687811779879,810,0.00782608695652174,False
S15::ac373f9fe529,S15,M07_TREND_CONTINUATION,f031,2,0.05554876285719601,,,0,0,,,-0.16152008753853492,811,0.007835748792270532,False
S15::ac373f9fe529,S15,M07_TREND_CONTINUATION,f034,3,0.05606479965171429,,,0,0,,,-0.16152008753853492,812,0.007845410628019325,False
HTF_PBK_TREND,HTF_PBK_TREND,M07_TREND_CONTINUATION,f021,2,0.05634339018041379,1.0,0.05906177713849509,86,80,0.1949812992605836,1.3113761282864274,-0.08416522663934102,813,0.007855072463768117,False
S6::7199b701458a,S6,M06_SESSION_TIME,f019,12,0.05636104836258493,,,0,0,,,-0.5031640871587263,814,0.007864734299516908,False
SESS_E,SESS_E,M06_SESSION_TIME,f024,2,0.056943258763808124,,,0,0,,,-0.1706719129068075,815,0.0078743961352657,False
S45::4809d6e42bc2,S45,M19_SEQUENCE_RUNLENGTH,f046,2,0.056998716401547966,,,0,0,,,-0.16257469442432315,816,0.007884057971014493,False
SESS_C,SESS_C,M06_SESSION_TIME,f013,3,0.05702716503133742,,,0,0,,,-0.2791331001590712,817,0.007893719806763285,False
S8::ec037f864152,S8,M08_EXTENSION_MEAN_REVERSION,f009,5,0.05705047307134281,,,0,0,,,-0.14407963683864652,818,0.007903381642512078,False
S8::ec037f864152,S8,M08_EXTENSION_MEAN_REVERSION,f040,5,0.05741133111116348,,,0,0,,,-0.14407963683864652,819,0.00791304347826087,False
S14::dc07a2d5d013,S14,M08_EXTENSION_MEAN_REVERSION,f026,4,0.057415129364028594,2.0,0.2839345665266427,78,76,0.3794748374765501,2.448285611672621,-0.07335208704947947,820,0.007922705314009662,False
SESS_D,SESS_D,M06_SESSION_TIME,f004,5,0.057746080361527063,3.0,0.009785313359584382,759,759,0.05016293042114586,1.0474668967605463,-0.0267017319359689,821,0.007932367149758455,False
S11::576394ea476f,S11,M11_STRUCTURE_BREAK_REVERSAL,f004,5,0.05808438871696131,,,0,0,,,-0.05809888414133959,822,0.007942028985507247,False
S10::7df75fdb8ecb,S10,M10_DISPLACEMENT_CONTINUATION,f017,24,0.05855696780102271,,,0,0,,,-0.19540252563132476,823,0.007951690821256038,False
OBEXEC_D,OBEXEC_D,M14_REFERENCE_LEVEL,f009,5,0.058971279729386206,0.0,0.13963762210189462,121,109,0.3720305973526936,2.5182410907671184,-0.18525611422496036,824,0.00796135265700483,False
S10::598adad042be,S10,M10_DISPLACEMENT_CONTINUATION,f020,5,0.05915985933327872,,,0,0,,,-0.18214022583580294,825,0.007971014492753623,False
HTF_TGT_BREAK,HTF_TGT_BREAK,M03_BREAKOUT_RETEST,f004,5,0.05947658853418414,2.0,0.1707866336945179,68,66,0.22723309219812554,2.169277634895644,-0.022855479656928215,826,0.007980676328502417,False
S38::3029c9493a71,S38,M07_TREND_CONTINUATION,f039,4,0.059498833847374755,,,0,0,,,-0.09395247678451399,827,0.007990338164251208,False
S12::884efeda36f3,S12,M12_RANGE_ROTATION,f036,5,0.059789433935335534,,,0,0,,,-0.23235864181773025,828,0.008,False
HTF_TGT_BREAK,HTF_TGT_BREAK,M03_BREAKOUT_RETEST,f041,5,0.0600217900633182,3.0,0.21076175084284474,66,63,0.27275108129415115,2.5120161933515477,-0.022855479656928215,829,0.008009661835748793,False
S12::884efeda36f3,S12,M12_RANGE_ROTATION,f026,5,0.06005255176418034,,,0,0,,,-0.23235864181773025,830,0.008019323671497585,False
S21::b61f7b31fafc,S21,M01_LIQUIDITY_SWEEP,f044,5,0.060303246822552836,,,0,0,,,-0.2797389306514087,831,0.008028985507246377,False
S39::cdecf371316b,S39,M07_TREND_CONTINUATION,f030,5,0.06091941284755542,,,0,0,,,-0.15729102688266258,832,0.008038647342995168,False
S30::282a94fa23d8,S30,M06_SESSION_TIME,f013,5,0.06098892031664915,,,0,0,,,-0.146454009554978,833,0.008048309178743962,False
S2::2c6012247423,S2,M02_FAILED_BREAKOUT_FADE,f020,5,0.06184312559904148,,,0,0,,,-0.1792331034018087,834,0.008057971014492755,False
S42::a347eead7c5d,S42,M08_EXTENSION_MEAN_REVERSION,f006,5,0.06195300882223975,,,0,0,,,-0.10211823685240022,835,0.008067632850241547,False
S31::9584b16899ad,S31,M06_SESSION_TIME,f032,5,0.06217131770829276,3.0,0.007124046512331934,133,133,0.3229194781452455,2.4995742614896037,-0.24685756551201846,836,0.008077294685990338,False
OBEXEC_D,OBEXEC_D,M14_REFERENCE_LEVEL,f004,4,0.06228839586022428,,,0,0,,,-0.18525611422496036,837,0.00808695652173913,False
S50::9cc65b2c5452,S50,M20_CANDLESTICK_PATTERN,f012,5,0.06236163626612168,,,0,0,,,-0.6026326920420786,838,0.008096618357487923,False
OBEXEC_B,OBEXEC_B,M14_REFERENCE_LEVEL,f010,5,0.062385234116146826,,,0,0,,,-0.26565881262113494,839,0.008106280193236715,False
S21::6ddb75c3f9b1,S21,M01_LIQUIDITY_SWEEP,f028,5,0.06259392429359245,,,0,0,,,-0.3144243577251478,840,0.008115942028985508,False
S28::b2a817579286,S28,M16_AUCTION_VALUE,f014,5,0.06260459458730994,,,0,0,,,-0.1509808226383693,841,0.0081256038647343,False
S5::15be26301532,S5,M05_OPENING_RANGE,f030,5,0.06307654309850141,2.0,0.10028283070426382,444,436,0.1636571825088436,2.494448346117612,-0.03342225409892166,842,0.008135265700483093,False
OBEXEC_C,OBEXEC_C,M14_REFERENCE_LEVEL,f006,5,0.06345951847748887,,,0,0,,,-0.20573875879572312,843,0.008144927536231885,False
S18::3933c532ec9c,S18,M06_SESSION_TIME,f022,5,0.06355855748422568,,,0,0,,,-0.27062340875942975,844,0.008154589371980677,False
S3::7aafa506c507,S3,M03_BREAKOUT_RETEST,f023,5,0.06362347261650525,,,0,0,,,-0.3737354389272471,845,0.008164251207729468,False
S41::73a2a8a65e5e,S41,M17_VOLUME_PARTICIPATION,f008,5,0.0638913477097447,,,0,0,,,-0.391199701626434,846,0.00817391304347826,False
S14::dc07a2d5d013,S14,M08_EXTENSION_MEAN_REVERSION,f013,4,0.06402821012884452,2.0,0.16311471668010227,79,75,0.25135196507989005,1.6765030194083583,-0.07335208704947947,847,0.008183574879227053,False
S50::9cc65b2c5452,S50,M20_CANDLESTICK_PATTERN,f008,5,0.0642105776787405,,,0,0,,,-0.6026326920420786,848,0.008193236714975845,False
HTF_RANGE_FADE,HTF_RANGE_FADE,M12_RANGE_ROTATION,f013,5,0.06438973526971203,,,0,0,,,-0.1462639811616175,849,0.008202898550724638,False
S5::15be26301532,S5,M05_OPENING_RANGE,f046,2,0.06562674506074906,1.0,0.035786594017777125,776,700,0.10175797910976442,2.1343593976251607,-0.03342225409892166,850,0.00821256038647343,False
S21::6ddb75c3f9b1,S21,M01_LIQUIDITY_SWEEP,f005,5,0.06580311634558522,,,0,0,,,-0.3144243577251478,851,0.008222222222222223,False
S28::b2a817579286,S28,M16_AUCTION_VALUE,f019,12,0.06595174782588842,2.0,0.005450930951279257,487,196,0.16942327200679708,2.776428097808247,-0.1509808226383693,852,0.008231884057971015,False
HTF_TGT_BREAK,HTF_TGT_BREAK,M03_BREAKOUT_RETEST,f035,4,0.06596256256028177,2.0,0.17586249165459736,65,62,0.23141839697038422,2.3978716903303288,-0.022855479656928215,853,0.008241545893719808,False
S41::73a2a8a65e5e,S41,M17_VOLUME_PARTICIPATION,f026,5,0.06602758434919531,,,0,0,,,-0.391199701626434,854,0.008251207729468598,False
S40::43b9c7dbd606,S40,M21_META_ROUTER,f035,5,0.06604614155472754,,,0,0,,,-0.1929964957240371,855,0.00826086956521739,False
S38::3029c9493a71,S38,M07_TREND_CONTINUATION,f031,2,0.06619428089946,,,0,0,,,-0.09395247678451399,856,0.008270531400966183,False
S1::11c4710e404e,S1,M01_LIQUIDITY_SWEEP,f023,5,0.06634097821970553,,,0,0,,,-0.1687544865282243,857,0.008280193236714977,False
S7::98a2f4583fb9,S7,M07_TREND_CONTINUATION,f016,5,0.06709438023072556,,,0,0,,,-0.6253044035935208,858,0.008289855072463768,False
S25::017b79ce0b9e,S25,M04_VOLATILITY_COMPRESSION_EXPANSION,f032,5,0.06721008068802048,,,0,0,,,-0.14850806707979777,859,0.00829951690821256,False
