object,family,mechanism,feature,n_bins,omni_p,best_pos_bin,best_pos_exp,best_pos_N,best_pos_days,best_pos_lift,best_pos_z,pooled_exp,rank,bh_thresh,fdr_sig
S13::7d288aa44d52,S13,M13_IMBALANCE_FVG,f039,4,3.889633313569618e-05,,,0,0,,,-0.15124934773689036,169,0.0016328502415458937,True
S31::9584b16899ad,S31,M06_SESSION_TIME,f015,2,4.22335952068309e-05,,,0,0,,,-0.24685756551201846,170,0.0016425120772946861,True
S7::98a2f4583fb9,S7,M07_TREND_CONTINUATION,f022,5,4.6394011548045455e-05,,,0,0,,,-0.6253044035935208,171,0.0016521739130434783,True
S48::6d74b2000433,S48,M04_VOLATILITY_COMPRESSION_EXPANSION,f036,5,4.814489677151812e-05,,,0,0,,,-0.16428795833193302,172,0.0016618357487922708,True
S8::ec037f864152,S8,M08_EXTENSION_MEAN_REVERSION,f016,5,4.9158162764850744e-05,,,0,0,,,-0.14407963683864652,173,0.0016714975845410628,True
S5::9cce3e63e04e,S5,M05_OPENING_RANGE,f008,4,5.032277988448186e-05,0.0,0.028312645133740568,560,543,0.14701433942868006,2.676582531387129,-0.08249763533273155,174,0.0016811594202898552,True
S43::6aacd27a298d,S43,M18_OSCILLATOR_DIVERGENCE,f010,5,5.955067002405556e-05,,,0,0,,,-0.3255470396563592,175,0.0016908212560386472,True
S39::cdecf371316b,S39,M07_TREND_CONTINUATION,f005,5,5.960456342268827e-05,,,0,0,,,-0.15729102688266258,176,0.0017004830917874397,True
S5::9cce3e63e04e,S5,M05_OPENING_RANGE,f007,5,5.9927279377758325e-05,2.0,0.09947937526658404,313,305,0.21102280576381627,2.6668891535745693,-0.08249763533273155,177,0.0017101449275362319,True
S2::691f36c634e3,S2,M02_FAILED_BREAKOUT_FADE,f037,2,6.0422645828506205e-05,,,0,0,,,-0.22595369055072162,178,0.0017198067632850243,True
S50::9cc65b2c5452,S50,M20_CANDLESTICK_PATTERN,f003,5,6.180961656720996e-05,,,0,0,,,-0.6026326920420786,179,0.0017294685990338163,True
S21::6ddb75c3f9b1,S21,M01_LIQUIDITY_SWEEP,f043,5,6.530104563973183e-05,,,0,0,,,-0.3144243577251478,180,0.0017391304347826088,True
S3::7aafa506c507,S3,M03_BREAKOUT_RETEST,f027,5,7.233573849685371e-05,,,0,0,,,-0.3737354389272471,181,0.001748792270531401,True
S10::7df75fdb8ecb,S10,M10_DISPLACEMENT_CONTINUATION,f036,5,7.589397086449345e-05,,,0,0,,,-0.19540252563132476,182,0.0017584541062801934,True
S1::11c4710e404e,S1,M01_LIQUIDITY_SWEEP,f016,5,7.734374412038392e-05,,,0,0,,,-0.1687544865282243,183,0.0017681159420289854,True
S15::ac373f9fe529,S15,M07_TREND_CONTINUATION,f009,5,7.892296840728008e-05,,,0,0,,,-0.16152008753853492,184,0.0017777777777777779,True
S27::8492323d86e4,S27,M16_AUCTION_VALUE,f014,5,7.946135627601159e-05,,,0,0,,,-0.1757948604079745,185,0.0017874396135265703,True
