metric,value
EVENT_RELATIONAL_SUCCESS_COUNT,0/3
RELATION_INCREMENTAL_COUNT,0/3
ORDER_INCREMENTAL_COUNT,0/3
PRACTICAL_EVENT_EDGE_COUNT,0/3
FINAL_ARCHITECTURE_CLASSIFICATION,EVENT_RELATIONAL_ARCHITECTURE_NOT_SUPPORTED_ON_CTS3
