metric,v
failed_events,30355.0
failed_per_yr,2023.0
valid_L0,30262.0
failed_L0_rate,83.3
accepted_L0_rate,62.0
L0_reach_lift_pp,21.3
L0_first_pct,70.8
L2_first_pct,25.0
neither_pct,4.1
L0_L2_ratio,2.83
median_bars_to_L0,0.0
rev_MFE_MAE,0.98
acc_MFE_MAE,0.99
overshoot_atr,0.53
fail_to_L0_atr,0.71
L1_L0_atr,1.08
up_L0_first,73.6
dn_L0_first,68.0
