motif,mean_R,count,len
R:DECELMOREPART|AwVb|R:ACCELLESSPART,-0.4061571357166165,220,3
R:ACCELMOREPART|ASVB|R:DECELMOREPART,-0.40552728336404914,692,3
R:ACCELMOREPART|PSVb,-0.40531485450453525,1347,2
PSVn|R:ACCELLESSPART|ASVn,-0.4043668833257676,675,3
PwVB,-0.4041082409159025,352,1
PSVb|R:DECELMOREPART,-0.40373454826135474,1019,2
R:DECELLESSPART|Pwvn,-0.4036302726635395,971,2
PwVn|R:ACCELLESSPART,-0.40305704476939985,1965,2
ASVb,-0.40290538752925525,1108,1
PSvn|R:ACCELMOREPART|ASvn,-0.40169275121179876,373,3
R:ACCELLESSPART|PSVn,-0.4016366833011805,1852,2
PSVb|R:DECELLESSPART|AwVb,-0.4013867198384003,78,3
Awvn|R:ACCELLESSPART|PSvn,-0.4011702144015933,446,3
Pwvn|R:ACCELLESSPART|ASvn,-0.4008553326060859,431,3
ASvn|R:DECELMOREPART,-0.40069821199861494,1754,2
R:DECELMOREPART|ASvb,-0.4003887575836143,39,2
R:DECELLESSPART|AwVb,-0.3998898325002365,126,2
PwVb|R:ACCELLESSPART|ASvn,-0.3997666770860832,39,3
Awvn|R:ACCELMOREPART|PSVb,-0.39968790370036406,158,3
ASvB|R:DECELMOREPART|ASvB,-0.39944776103014723,114,3
R:ACCELLESSPART,-0.39933412428266724,7897,1
R:DECELLESSPART|Pwvn|R:ACCELMOREPART,-0.3990993214273744,360,3
PSvn|R:DECELLESSPART|Awvn,-0.39882824807777134,222,3
R:ACCELLESSPART|ASvn|R:ACCELMOREPART,-0.3986705396691708,363,3
ASVB|R:DECELLESSPART,-0.3984800527806047,1059,2
R:ACCELMOREPART|PSVn|R:DECELLESSPART,-0.39786127666620463,452,3
ASVn|R:ACCELLESSPART|PSVb,-0.39756028712629626,192,3
PSVn|R:DECELMOREPART|PSVn,-0.39626385476776865,187,3
R:ACCELMOREPART|ASVb|R:DECELMOREPART,-0.39606863540485016,331,3
PwVn|R:ACCELMOREPART|ASVn,-0.39530363509710426,251,3
R:DECELMOREPART|PSVb|R:ACCELMOREPART,-0.39530182623188354,112,3
R:DECELMOREPART|PSVn|R:DECELLESSPART,-0.3951832111990214,346,3
ASVn,-0.39515362033718116,4460,1
PSVn|R:ACCELMOREPART,-0.394845574647916,1671,2
R:DECELLESSPART|ASVn,-0.394467855375699,1376,2
PSvn|R:DECELMOREPART|PSvn,-0.3944378583830471,78,3
R:DECELMOREPART|Pwvn,-0.3932744186363387,445,2
AwVb|R:ACCELLESSPART,-0.3928743725591707,350,2
ASVb|R:DECELMOREPART|PSVb,-0.39253203620485444,188,3
Pwvn|R:DECELLESSPART|Pwvn,-0.3924307030723222,47,3
R:DECELMOREPART|ASVn|R:DECELMOREPART,-0.3922886367574962,292,3
ASVb|R:ACCELLESSPART,-0.3921630930494214,333,2
PSvn|R:ACCELMOREPART,-0.3914472829778729,3201,2
R:DECELLESSPART|ASvn,-0.39131169990075937,1148,2
PSVb,-0.39120286252398134,2780,1
PSVb|R:DECELMOREPART|PwVb,-0.3911487443052107,119,3
R:ACCELMOREPART|PSvn|R:ACCELMOREPART,-0.3909583236778724,543,3
PwVn|R:ACCELLESSPART|ASvB,-0.3906130448705132,305,3
PSVn|R:ACCELLESSPART,-0.3904917376198269,2567,2
R:DECELLESSPART|PwVn,-0.39030383369309446,1308,2
R:ACCELLESSPART|ASvn|R:DECELMOREPART,-0.3897184825829081,775,3
R:DECELLESSPART|ASvB,-0.3896287821991927,361,2
Pwvn|R:ACCELMOREPART|Pwvn,-0.38958464519366537,26,3
R:ACCELMOREPART|PSVn,-0.3888296441915845,1673,2
R:DECELLESSPART|ASvn|R:DECELLESSPART,-0.3888163187223001,299,3
PSVn|R:ACCELLESSPART|PSvb,-0.38813036156229447,35,3
ASvn|R:ACCELMOREPART,-0.3876140975754354,1189,2
ASVb|R:DECELMOREPART|AwVb,-0.3873055394789698,68,3
Awvn|R:ACCELLESSPART|Awvn,-0.3867343768875622,51,3
R:DECELMOREPART|AwVB,-0.38673204081643936,180,2
AwVB|R:ACCELLESSPART|PSVn,-0.38668086805187957,68,3
PSVB|R:DECELMOREPART,-0.3861080293790015,201,2
R:DECELMOREPART|AwVn|R:ACCELMOREPART,-0.3856404249688866,312,3
R:ACCELMOREPART|PSvb,-0.3850232682001073,891,2
R:DECELMOREPART|PSvn,-0.3849426106558176,1063,2
PSVn,-0.38453541248529743,5007,1
R:ACCELMOREPART|ASvb|R:DECELMOREPART,-0.3837963956122213,106,3
AwVn|R:ACCELMOREPART|AwVn,-0.3835641653153805,48,3
R:DECELMOREPART|ASVn,-0.38340939709858085,1459,2
R:ACCELLESSPART|PSvn|R:ACCELMOREPART,-0.3825203695072267,882,3
R:DECELMOREPART|PwvB,-0.38171520893306904,34,2
AwVB|R:ACCELMOREPART|PSVn,-0.38134429320371893,28,3
ASvB|R:ACCELLESSPART|PSvn,-0.38114666623628035,111,3
PwvB|R:ACCELMOREPART,-0.3809555787893705,52,2
R:ACCELMOREPART|AwVn,-0.38048589529496063,134,2
R:ACCELMOREPART|ASvb,-0.3795152577144767,140,2
ASVb|R:ACCELMOREPART|PSVn,-0.37891679515337107,28,3
ASVn|R:DECELMOREPART,-0.37813073285473753,1618,2
R:ACCELLESSPART|ASVb,-0.3771963714503374,274,2
R:ACCELMOREPART,-0.37621291733697687,9663,1
Pwvn,-0.376018017746455,3150,1
R:DECELLESSPART|PSvn|R:DECELLESSPART,-0.37549062561054725,214,3
PSvn|R:DECELLESSPART|ASvn,-0.37506768144965225,493,3
R:ACCELLESSPART|PSVb|R:DECELLESSPART,-0.37435113266842246,281,3
Pwvn|R:ACCELMOREPART|ASvB,-0.3737947975989541,453,3
R:ACCELMOREPART|ASvB|R:ACCELLESSPART,-0.3734527411453289,38,3
R:DECELLESSPART|ASVb|R:ACCELLESSPART,-0.3725618836957125,103,3
PwVn,-0.37239808750233383,2697,1
ASVn|R:DECELMOREPART|PwVn,-0.3723623795990873,368,3
PSVn|R:DECELMOREPART|AwVn,-0.3720021891602399,309,3
PSVn|R:DECELMOREPART,-0.3719314967406557,1242,2
R:ACCELLESSPART|PSVb,-0.371749117517268,638,2
ASVn|R:DECELLESSPART|PSVb,-0.37120585079748164,27,3
PSvb|R:DECELMOREPART|ASvb,-0.3710341631106163,34,3
R:ACCELLESSPART|PSVn|R:ACCELMOREPART,-0.37098338159414057,284,3
PSVn|R:ACCELMOREPART|PSVB,-0.37074711805846766,44,3
R:DECELMOREPART,-0.37062233739950834,7795,1
ASVn|R:ACCELMOREPART|ASVn,-0.37035977960548094,193,3
PSvn|R:ACCELMOREPART|PSVb,-0.37032977830798597,55,3
Awvn|R:ACCELMOREPART|PSvn,-0.36961369828184504,301,3
PSvn|R:ACCELLESSPART|ASvb,-0.36956281437697014,29,3
ASVb|R:DECELLESSPART|PwVb,-0.36932962369042316,45,3
PwVn|R:DECELLESSPART|Awvn,-0.36929393272097033,44,3
AwVn|R:DECELLESSPART|PwVn,-0.36928884791746847,96,3
R:ACCELMOREPART|ASvn|R:DECELMOREPART,-0.36875329802635404,432,3
R:DECELMOREPART|Pwvn|R:ACCELMOREPART,-0.3686007442952046,198,3
AwVn|R:ACCELMOREPART|PwVn,-0.36814037509397934,57,3
Awvn|R:ACCELMOREPART|PSvb,-0.3680758613486361,216,3
ASVB|R:ACCELLESSPART,-0.3678192763562985,452,2
R:DECELMOREPART|PwVn|R:ACCELLESSPART,-0.36670911813877116,683,3
R:DECELLESSPART|ASVn|R:ACCELLESSPART,-0.3665048628279524,715,3
R:DECELMOREPART|PwVb|R:ACCELLESSPART,-0.36646831634542726,191,3
PSVb|R:DECELLESSPART|PwVb,-0.3662135905502989,90,3
ASVb|R:DECELMOREPART,-0.3659579741152665,554,2
PSvb|R:DECELMOREPART|ASVB,-0.36526999140719923,163,3
R:ACCELMOREPART|ASVn,-0.36522082004888284,1641,2
Pwvn|R:ACCELLESSPART|ASvB,-0.365201604871138,429,3
R:ACCELLESSPART|PSvb|R:DECELMOREPART,-0.36512300188654384,339,3
PSvb|R:DECELLESSPART|ASvn,-0.3649612264822257,151,3
PSVn|R:DECELLESSPART|Awvn,-0.3645990538519957,101,3
AwVB,-0.36344504222986834,326,1
PwVB|R:ACCELLESSPART|PSVn,-0.3629194158561338,58,3
ASVB|R:DECELLESSPART|AwVn,-0.36270135476681586,72,3
ASVB|R:ACCELMOREPART|PSVn,-0.36260586666844635,97,3
R:DECELMOREPART|ASVn|R:ACCELLESSPART,-0.36239002768754713,494,3
Awvn|R:ACCELMOREPART,-0.3615691658268479,1499,2
R:ACCELMOREPART|ASVn|R:DECELMOREPART,-0.36155304775974006,695,3
ASvn|R:DECELMOREPART|AwVn,-0.36120919262189133,51,3
Pwvn|R:ACCELMOREPART|PSVn,-0.3609557158869162,119,3
PSvn|R:DECELLESSPART|ASvB,-0.36048767853950603,69,3
R:DECELMOREPART|PSVn|R:ACCELLESSPART,-0.3600135387650197,776,3
R:DECELMOREPART|AwVn|R:DECELLESSPART,-0.3594526797169095,75,3
ASVb|R:DECELLESSPART|PSVn,-0.3588905333903865,115,3
PwVn|R:ACCELMOREPART|PSVn,-0.3579111448494888,191,3
PSvb|R:DECELMOREPART|ASvn,-0.357756202074323,137,3
R:ACCELMOREPART|ASVB|R:ACCELLESSPART,-0.35742853267427477,79,3
AwVb|R:ACCELLESSPART|PSVb,-0.35705257093639015,30,3
ASvB|R:DECELMOREPART|PwvB,-0.3569488523818172,33,3
AwVn|R:DECELMOREPART,-0.35692385840237334,103,2
R:DECELMOREPART|PSvn|R:ACCELMOREPART,-0.35586548812208185,549,3
PSVb|R:DECELMOREPART|AwVn,-0.3557783405661697,69,3
ASVb|R:ACCELLESSPART|ASVb,-0.3556958385556271,53,3
R:DECELMOREPART|PSVn|R:ACCELMOREPART,-0.3549016064744472,535,3
PSvb|R:DECELMOREPART|ASVn,-0.35465986003975486,129,3
PSvB,-0.35460676948821274,337,1
ASVn|R:DECELMOREPART|PSVn,-0.3545422297107618,653,3
R:DECELMOREPART|ASvn|R:DECELLESSPART,-0.3540853890608477,178,3
Pwvn|R:ACCELMOREPART|ASvb,-0.353395293396324,54,3
ASvB|R:ACCELMOREPART,-0.35334421106142183,376,2
PSvb|R:ACCELMOREPART|ASVB,-0.3532615163501419,508,3
ASVb|R:DECELLESSPART|AwVb,-0.3525642438711675,41,3
PSVn|R:ACCELMOREPART|ASVb,-0.35217108030173133,81,3
ASVB|R:DECELMOREPART|PwVB,-0.35191796832523026,117,3
PwVn|R:DECELMOREPART|AwVn,-0.35162632840444774,50,3
Pwvn|R:ACCELMOREPART,-0.3511578025174206,2013,2
R:DECELMOREPART|PSVn,-0.3511059210968173,1758,2
PSvn|R:ACCELMOREPART|PSVn,-0.35109997305520674,49,3
PSVn|R:ACCELMOREPART|ASVB,-0.35034332456164374,857,3
R:DECELLESSPART|ASVB,-0.34980294678142604,351,2
R:DECELLESSPART|AwVb|R:ACCELLESSPART,-0.34942579417555575,110,3
AwVb|R:ACCELMOREPART,-0.3494185343828251,43,2
PSVn|R:ACCELLESSPART|ASVb,-0.3488734149832989,56,3
ASVn|R:DECELLESSPART|PwVn,-0.34836691707735085,559,3
ASVB|R:DECELLESSPART|PSVn,-0.3479034005079375,296,3
R:ACCELMOREPART|PSVB,-0.3471924301025375,264,2
ASVB|R:DECELMOREPART,-0.34466362959670166,1190,2
ASvn|R:ACCELMOREPART|PSvn,-0.3446365161065924,469,3
R:DECELLESSPART|ASvn|R:ACCELLESSPART,-0.3441491555332869,379,3
R:ACCELMOREPART|AwVn|R:ACCELLESSPART,-0.34404055221285507,83,3
PwVn|R:ACCELLESSPART|PSvb,-0.34371428637217755,39,3
R:DECELMOREPART|Pwvb,-0.34329289923510037,36,2
R:ACCELLESSPART|PSVn|R:ACCELLESSPART,-0.3421936000105131,742,3
R:DECELLESSPART|AwVn|R:DECELMOREPART,-0.3419574304594516,26,3
R:ACCELMOREPART|ASVn|R:DECELLESSPART,-0.3412068701944891,618,3
R:DECELMOREPART|PSVn|R:DECELMOREPART,-0.34119922163962885,223,3
AwVn|R:ACCELLESSPART|PSVn,-0.3411403383516439,491,3
PSVn|R:DECELLESSPART|Pwvn,-0.34000037963816504,105,3
R:DECELMOREPART|AwVn,-0.3394573006548451,944,2
PwVb|R:ACCELLESSPART,-0.3393268085813978,338,2
ASVB|R:DECELMOREPART|PSVn,-0.3387736877250483,315,3
ASvB|R:DECELMOREPART|PSVB,-0.3378473719266208,80,3
PSVB|R:DECELMOREPART|ASVB,-0.3364585092006053,35,3
ASVn|R:DECELLESSPART|ASVB,-0.33627469562547757,78,3
R:DECELMOREPART|ASVn|R:DECELLESSPART,-0.33542425002342713,530,3
ASvB|R:DECELMOREPART|PwVn,-0.33540215221070235,43,3
R:DECELLESSPART|PwVb|R:ACCELLESSPART,-0.3349138527385452,111,3
Pwvb|R:ACCELMOREPART|ASVB,-0.33348135914500016,37,3
R:ACCELLESSPART|ASVB,-0.3333563473663327,1615,2
R:DECELMOREPART|PwVn,-0.3333033171039566,1061,2
R:ACCELMOREPART|PSVn|R:DECELMOREPART,-0.3323158254721601,535,3
Awvn|R:ACCELMOREPART|PSVn,-0.33186438774627147,187,3
R:ACCELLESSPART|ASVB|R:ACCELMOREPART,-0.33146404564577686,37,3
PSVn|R:ACCELLESSPART|PSVb,-0.3299975972997506,105,3
PSVn|R:DECELLESSPART|ASVn,-0.3293886581919792,628,3
PwVb,-0.3293592293343018,446,1
R:ACCELMOREPART|ASVB|R:DECELLESSPART,-0.3290173130237482,427,3
PSVn|R:DECELMOREPART|PwVn,-0.3288306823245945,201,3
AwVn|R:ACCELLESSPART|PSvb,-0.3282659233380128,36,3
ASVn|R:DECELLESSPART|ASVn,-0.3277992036190817,478,3
R:DECELMOREPART|AwVn|R:ACCELLESSPART,-0.32748713930732004,584,3
R:DECELLESSPART|PSVn|R:DECELMOREPART,-0.32735109112668953,99,3
PSVn|R:DECELMOREPART|ASVB,-0.3273005678307004,93,3
ASvn|R:ACCELMOREPART|PSVn,-0.3256193263761584,162,3
R:DECELMOREPART|PSvn|R:DECELLESSPART,-0.32549550270451894,97,3
R:DECELMOREPART|PwVb,-0.3254037419004551,253,2
R:DECELMOREPART|PSvn|R:DECELMOREPART,-0.32506726580348283,112,3
R:ACCELLESSPART|PwVn|R:ACCELLESSPART,-0.32462538814094505,180,3
R:DECELMOREPART|PwVn|R:DECELMOREPART,-0.32453262181296555,31,3
ASVB,-0.3244374676656565,6221,1
R:ACCELMOREPART|ASVB,-0.32369061836151974,3710,2
PSVn|R:ACCELLESSPART|PSvn,-0.3236213738227776,102,3
ASVn|R:ACCELLESSPART|PSVn,-0.3224247381194502,657,3
ASVn|R:ACCELLESSPART|ASvB,-0.32212211026361826,148,3
PwVn|R:ACCELLESSPART|PwVn,-0.32170298310510487,98,3
PwVn|R:ACCELMOREPART|PSVb,-0.32158094616949306,93,3
ASVB|R:ACCELLESSPART|PSvn,-0.32077769833491854,80,3
PwVn|R:ACCELLESSPART|AwVn,-0.31945542257780196,75,3
ASVb|R:ACCELMOREPART|ASVb,-0.3193284876628643,81,3
R:DECELLESSPART|ASvn|R:ACCELMOREPART,-0.31927224805902454,244,3
ASVB|R:DECELMOREPART|ASVB,-0.319252002123563,415,3
Pwvn|R:ACCELLESSPART|PSvn,-0.31875821039823576,275,3
R:DECELMOREPART|ASVB,-0.31847662200492055,1288,2
PSVB|R:DECELMOREPART|ASVn,-0.3175723776724631,71,3
ASVn|R:DECELLESSPART|PSvn,-0.3166125435560487,415,3
Awvn|R:DECELMOREPART,-0.3153704173878196,85,2
Pwvn|R:DECELMOREPART,-0.3153234099490536,84,2
R:ACCELMOREPART|PSvB,-0.3128927592060154,70,2
R:DECELLESSPART|ASVn|R:ACCELMOREPART,-0.31185372689167756,155,3
R:ACCELMOREPART|ASvn|R:ACCELMOREPART,-0.3114190755377242,140,3
PwVn|R:DECELLESSPART|PwVn,-0.310485767634319,121,3
PwVb|R:ACCELLESSPART|ASVB,-0.30990968913420586,30,3
PwVn|R:ACCELMOREPART,-0.3098129483963008,910,2
R:ACCELLESSPART|ASVb|R:DECELMOREPART,-0.30884102354245446,116,3
PSVn|R:DECELMOREPART|ASVn,-0.30826855826395716,476,3
R:ACCELLESSPART|ASvB|R:DECELMOREPART,-0.3082677791527119,599,3
ASvB|R:DECELMOREPART,-0.3080994304117938,1386,2
ASvn|R:DECELMOREPART|PSVn,-0.30792467384625893,304,3
Pwvn|R:ACCELMOREPART|PSvb,-0.30718092728954555,175,3
R:ACCELLESSPART|Awvn|R:ACCELMOREPART,-0.3067252452358798,49,3
ASvn|R:DECELMOREPART|PSVb,-0.30491576120695674,36,3
PSvB|R:ACCELMOREPART,-0.3048425207438686,139,2
Pwvn|R:ACCELMOREPART|ASVB,-0.30457096917962034,386,3
R:ACCELLESSPART|PSvB,-0.30435004333758636,65,2
R:ACCELLESSPART|PSVb|R:ACCELLESSPART,-0.30269643127404433,96,3
ASVn|R:ACCELLESSPART|ASvn,-0.3023098255638915,156,3
R:ACCELLESSPART|Pwvn|R:ACCELMOREPART,-0.3019636682070026,69,3
PwVn|R:DECELLESSPART,-0.30078180402980326,271,2
PSvn|R:ACCELMOREPART|ASVB,-0.29906491622823056,928,3
R:ACCELMOREPART|Pwvn|R:ACCELMOREPART,-0.297601781424074,27,3
ASVb|R:ACCELLESSPART|ASvB,-0.2963851314877757,31,3
R:DECELMOREPART|AwVn|R:DECELMOREPART,-0.29361660808036805,44,3
ASvB|R:ACCELLESSPART,-0.2911739216580111,174,2
ASVn|R:DECELMOREPART|AwVn,-0.28928161202787345,263,3
PSVn|R:ACCELLESSPART|ASVB,-0.2889807274039763,692,3
R:DECELLESSPART|PwVn|R:DECELLESSPART,-0.28709107368216613,144,3
PwVn|R:ACCELMOREPART|ASVb,-0.28589906374915425,56,3
PSVb|R:ACCELMOREPART,-0.28494477530936435,589,2
R:ACCELLESSPART|ASVB|R:DECELMOREPART,-0.2839765507637092,210,3
PwVn|R:ACCELMOREPART|ASVB,-0.2838349609797034,252,3
PSVb|R:DECELMOREPART|AwVb,-0.2828714927649677,122,3
Pwvb,-0.28254699568300534,141,1
ASvn|R:ACCELMOREPART|ASVn,-0.2808726890716432,35,3
ASVB|R:ACCELLESSPART|ASVB,-0.2798747994115996,95,3
ASvn|R:ACCELMOREPART|ASvn,-0.27831370471887995,44,3
PSVn|R:DECELLESSPART|ASvB,-0.27769127410810807,29,3
ASvB|R:DECELMOREPART|PSvn,-0.27685783448832685,361,3
R:DECELLESSPART|PSVb|R:DECELLESSPART,-0.27453434799560894,137,3
ASVB|R:DECELLESSPART|ASVB,-0.27232607463204933,197,3
PSvb|R:DECELLESSPART|ASvB,-0.27198202426273266,38,3
R:DECELMOREPART|AwvB,-0.27035557441323493,28,2
PSvB|R:ACCELLESSPART,-0.26789143725492404,53,2
ASVB|R:ACCELMOREPART|PSVb,-0.26767947142406756,36,3
ASvB|R:ACCELMOREPART|PSVb,-0.2632762138276476,72,3
PSvn|R:DECELMOREPART|ASVB,-0.26292068559412124,128,3
R:DECELLESSPART|Pwvn|R:DECELLESSPART,-0.26257603450914735,58,3
ASvB|R:DECELMOREPART|PSVn,-0.25945513081572047,293,3
R:ACCELMOREPART|PwVn|R:ACCELMOREPART,-0.25782320419717975,57,3
AwVn|R:DECELMOREPART|AwVn,-0.2574103631428735,53,3
AwvB,-0.25681805128730323,125,1
AwVb|R:ACCELLESSPART|ASvn,-0.2557391740974041,46,3
ASvB|R:ACCELMOREPART|PSvb,-0.2556652047695666,83,3
R:DECELLESSPART|PSVb,-0.25533585632854083,294,2
R:DECELMOREPART|PwVn|R:ACCELMOREPART,-0.25479237390914894,335,3
PwVn|R:ACCELLESSPART|ASVB,-0.2512922039471389,229,3
PwVn|R:ACCELMOREPART|AwVn,-0.24908557773633616,54,3
ASVn|R:DECELLESSPART|Pwvn,-0.24526903654002669,141,3
AwVn|R:ACCELLESSPART|ASvB,-0.24516196776402938,159,3
ASVn|R:DECELLESSPART|ASvn,-0.23980961211310903,90,3
R:DECELLESSPART|PSVB|R:DECELLESSPART,-0.23941840189255947,42,3
R:DECELLESSPART|PwVn|R:ACCELMOREPART,-0.23521473216078811,250,3
Pwvb|R:ACCELMOREPART,-0.2352086585005963,85,2
R:DECELLESSPART|PSVb|R:ACCELLESSPART,-0.23450448601403773,128,3
AwVn|R:DECELLESSPART|Pwvn,-0.23234384184739693,34,3
ASVB|R:ACCELMOREPART,-0.2303151978775998,267,2
R:ACCELMOREPART|ASVB|R:ACCELMOREPART,-0.22614871439759662,73,3
PSvn|R:DECELMOREPART|AwVn,-0.22552050020295433,80,3
R:ACCELLESSPART|PSVb|R:ACCELMOREPART,-0.2255138087202983,63,3
PwVn|R:DECELLESSPART|AwVn,-0.22513077235127907,94,3
PSVb|R:ACCELLESSPART|ASvB,-0.2241233364081934,131,3
R:ACCELMOREPART|ASvB|R:ACCELMOREPART,-0.2229186604203617,70,3
PwVb|R:ACCELLESSPART|ASvB,-0.2219974994221866,32,3
R:DECELMOREPART|ASVB|R:DECELLESSPART,-0.21941480038013225,215,3
PSvn|R:ACCELMOREPART|ASVn,-0.21737387502936095,172,3
PSVb|R:ACCELLESSPART|PSVb,-0.21654153022596415,54,3
ASvn|R:DECELLESSPART|ASvn,-0.21064059930295045,163,3
R:ACCELLESSPART|PSvB|R:ACCELMOREPART,-0.20859169036128278,32,3
R:ACCELMOREPART|PwVn|R:ACCELLESSPART,-0.20408201390775674,60,3
R:ACCELMOREPART|PSVb|R:ACCELMOREPART,-0.20346051795891232,274,3
PwvB|R:ACCELLESSPART,-0.20205844514109983,28,2
R:ACCELMOREPART|ASvB|R:DECELMOREPART,-0.1994224818451539,426,3
Awvn|R:ACCELMOREPART|ASVB,-0.19931733924392273,117,3
PwVn|R:ACCELLESSPART|ASVb,-0.1990376179472313,38,3
ASVB|R:DECELLESSPART|ASVn,-0.1982368153792405,52,3
PSVb|R:ACCELMOREPART|ASVB,-0.1959874262681943,387,3
ASvn|R:DECELMOREPART|ASVn,-0.18291055212956425,68,3
ASVB|R:ACCELLESSPART|ASvB,-0.17909898217937256,47,3
PSVn|R:ACCELLESSPART|PSVB,-0.177718677067104,27,3
ASVb|R:DECELLESSPART|PSVb,-0.1740564838461681,90,3
ASvB|R:DECELMOREPART|ASVB,-0.1710311153319562,187,3
R:DECELLESSPART|Pwvn|R:DECELMOREPART,-0.1676964491709802,28,3
ASvB|R:DECELMOREPART|Pwvn,-0.16342639194771483,27,3
ASVb|R:DECELMOREPART|PwVb,-0.1611712920750377,60,3
ASVB|R:ACCELMOREPART|ASVB,-0.15866023516435585,114,3
R:ACCELMOREPART|PSvb|R:DECELLESSPART,-0.15637145973397787,51,3
R:DECELLESSPART|PSvB,-0.1559853633356148,33,2
R:DECELMOREPART|ASVB|R:ACCELMOREPART,-0.1541367041422236,45,3
Pwvn|R:ACCELMOREPART|ASVn,-0.1520043417868389,153,3
R:ACCELMOREPART|PwVn,-0.1501124500887487,138,2
ASvB|R:ACCELLESSPART|PSvb,-0.1500346225576992,36,3
PwVn|R:ACCELLESSPART|Awvn,-0.14709900429585823,40,3
PSvb|R:DECELMOREPART|ASVb,-0.13580967243570483,41,3
AwVB|R:DECELLESSPART,-0.13075660551780327,31,2
ASvB|R:ACCELMOREPART|PSVn,-0.12900075152087978,64,3
R:DECELMOREPART|AwVB|R:ACCELMOREPART,-0.1266548472790914,25,3
R:ACCELMOREPART|ASVb|R:ACCELLESSPART,-0.12451074513630835,33,3
R:ACCELMOREPART|Awvn,-0.12011458968920864,43,2
R:DECELLESSPART|ASvB|R:ACCELLESSPART,-0.11769878203236216,27,3
PwVn|R:ACCELLESSPART|Pwvn,-0.11664263157633849,30,3
ASvn|R:DECELMOREPART|PwVn,-0.11240599308893015,140,3
ASVb|R:ACCELLESSPART|PSVb,-0.10958240075118031,54,3
PSVn|R:DECELLESSPART|PSVb,-0.10699247939794139,38,3
AwVB|R:ACCELMOREPART,-0.10690654329078074,57,2
PwVn|R:ACCELMOREPART|PwVn,-0.10663112757272246,46,3
PwVb|R:ACCELMOREPART,-0.09613286147304347,69,2
ASvB|R:DECELMOREPART|Awvn,-0.0922218477513386,27,3
PSVb|R:DECELLESSPART|PwVn,-0.0910711563925343,77,3
AwvB|R:ACCELMOREPART,-0.08500221829421727,67,2
ASVb|R:DECELMOREPART|ASVn,-0.08339825615202402,27,3
R:DECELMOREPART|ASvB|R:DECELMOREPART,-0.07962190864103981,28,3
ASvB|R:ACCELMOREPART|ASvB,-0.07722982320083197,30,3
Awvn|R:ACCELMOREPART|ASvB,-0.05917770914440336,177,3
R:ACCELMOREPART|PSvb|R:ACCELLESSPART,-0.052848539967200736,70,3
R:DECELLESSPART|ASVB|R:ACCELLESSPART,-0.047313373084323374,79,3
PSVb|R:DECELMOREPART|PwVn,-0.039541398829455794,44,3
R:ACCELLESSPART|AwVn|R:ACCELMOREPART,-0.03655309836692849,57,3
R:DECELMOREPART|PwVb|R:ACCELMOREPART,-0.01335689356859121,40,3
ASVn|R:ACCELMOREPART|PSVB,-0.013113550534470235,59,3
PSvb|R:DECELMOREPART|PwVn,-0.012216824242958817,29,3
Awvn|R:DECELMOREPART|Pwvn,0.006738861899602894,29,3
PwVb|R:ACCELLESSPART|PSVn,0.008607855479126417,29,3
ASVn|R:DECELLESSPART|ASvB,0.12166839824374426,30,3
ASvB|R:DECELLESSPART|Pwvn,0.1351391600211351,25,3
PwVb|R:ACCELMOREPART|ASVn,0.13571113336982052,29,3
AwVb|R:ACCELLESSPART|ASVB,0.27528759481013537,31,3
