motif,mean_R,count,len
PSvn|R:ACCELLESSPART|PSvn,-0.5717437949203746,139,3
AwVn|R:DECELMOREPART|PwVn,-0.5713070566032553,45,3
R:ACCELLESSPART|ASvb|R:DECELMOREPART,-0.5697991161099919,78,3
AwVb|R:ACCELLESSPART|PSVn,-0.5692838369558356,49,3
ASvB|R:DECELLESSPART|ASvB,-0.567282912963254,52,3
Pwvn|R:DECELMOREPART|Pwvn,-0.5655551918417079,34,3
ASvn|R:DECELMOREPART|Awvn,-0.5644669229765146,98,3
R:ACCELMOREPART|ASvn|R:DECELLESSPART,-0.5639544123594583,214,3
R:ACCELLESSPART|ASvn|R:ACCELLESSPART,-0.5629507880874659,492,3
PSVb|R:DECELMOREPART|ASVb,-0.5626679140635893,168,3
R:DECELLESSPART|PSVB|R:ACCELLESSPART,-0.5622380617759005,48,3
R:DECELLESSPART|PSvb|R:ACCELLESSPART,-0.5588945909740355,51,3
R:ACCELLESSPART|PSVB|R:DECELLESSPART,-0.5580532352218702,43,3
Pwvb|R:ACCELLESSPART|ASvB,-0.557185892425424,25,3
Pwvn|R:ACCELLESSPART|PSvb,-0.5558461787045957,93,3
PSVb|R:ACCELLESSPART|ASVB,-0.5530222047776331,171,3
PSVb|R:DECELLESSPART|ASVB,-0.552941363301475,31,3
R:DECELMOREPART|ASVn|R:ACCELMOREPART,-0.5521727628116311,237,3
ASVn|R:ACCELMOREPART|ASVB,-0.5516125846525357,138,3
AwVn|R:ACCELLESSPART|PSvn,-0.5505185552607057,270,3
R:ACCELLESSPART|Awvn|R:ACCELLESSPART,-0.5498331089291544,102,3
R:DECELLESSPART|AwVn|R:ACCELMOREPART,-0.5486730820051259,239,3
PwVn|R:DECELMOREPART|PwVn,-0.5486383142985921,37,3
ASVn|R:ACCELLESSPART|PSvb,-0.5483507268961052,102,3
ASVn|R:ACCELMOREPART|PSVb,-0.5482601417850165,256,3
ASVn|R:DECELLESSPART|Awvn,-0.5480532529534534,93,3
R:ACCELLESSPART|PwVn|R:ACCELMOREPART,-0.5469591811694555,50,3
ASVB|R:DECELLESSPART|PwVn,-0.5465186264723619,137,3
AwVb|R:ACCELLESSPART|ASvB,-0.546204853778173,39,3
PSVn|R:DECELLESSPART|AwVn,-0.5449455821526888,482,3
Awvn|R:ACCELMOREPART|ASvn,-0.5430997048384322,140,3
R:ACCELLESSPART|ASVn|R:ACCELMOREPART,-0.5426941914822141,270,3
ASvn|R:ACCELLESSPART|ASvn,-0.5416502754997657,157,3
PSvb|R:DECELLESSPART|Awvn,-0.5413643006726648,25,3
R:DECELMOREPART|AwVB|R:ACCELLESSPART,-0.5398425231282645,98,3
PSvb|R:ACCELLESSPART|ASvB,-0.5392201067739018,194,3
AwVn|R:ACCELMOREPART|ASVb,-0.5364705039200801,58,3
PSvn|R:DECELLESSPART|Pwvn,-0.536081953271397,171,3
ASVb|R:DECELMOREPART|PSVn,-0.5352104926762341,58,3
PSVn|R:DECELLESSPART|PSVn,-0.5346390814063162,263,3
ASVb|R:DECELLESSPART|ASVb,-0.5343383947035258,81,3
R:ACCELLESSPART|ASvB|R:ACCELLESSPART,-0.5341342337861242,49,3
