L1_type,n,exp,reach_target
1,675,0.036583616785260134,0.6370370370370371
2,17606,-0.05198262049711253,0.5970123821424514
3,9267,-0.09550136236643064,0.48624150210424083
4,538,-0.10389441791957618,0.5799256505576208
