sid,0,1,2,3,4,6
HTF_PBK_TREND,-0.08031217505429421,-0.04572543127900815,0.12812027715422455,-0.12718523877969698,-0.27099785571226737,-0.41650369557698824
HTF_RANGE_FADE,-0.05088805198233913,-0.15037749775114398,-0.16982741953965705,-0.21560837455559884,-0.1471937773028701,0.038641709922502106
HTF_RECLAIM,-0.10353730857611354,-0.0811124743006136,-0.08983028120537594,-0.10759101555808234,-0.11621922400392395,-0.22226920227929112
HTF_TGT_BREAK,-0.017881230446338867,-0.006516874966454863,-0.010065220204259569,-0.09085720605960905,0.0018243126767537646,
OBEXEC_B,-0.3409924786237296,-0.1815520594221493,-0.3585806211847739,-0.2711248045390951,-0.18638815802112416,
OBEXEC_C,-0.2545583780034294,-0.1448022839972714,-0.25079236864453563,-0.2574536430431877,-0.13001223241801146,
OBEXEC_D,-0.3027560067196918,-0.048789335481515844,-0.1616741179361193,-0.32663925660817456,-0.08692614635722305,
OBR_A_limit,-0.09847655870612411,-0.04144114758221596,-0.10073555592635178,-0.02502925309141881,-0.07662006319913169,
SESS_A,0.05224016079486055,-0.0354166923734378,-0.006964056398331863,-0.0041898058361952584,0.049429199229750406,
SESS_B,-0.4588627353355811,-0.4028298485107043,-0.290423929301877,-0.36288211667199105,-0.32672696222416014,
SESS_C,-0.2300025368658589,-0.2962057505178834,-0.4495316132076564,-0.23063181387018283,-0.18976095983671096,
SESS_D,0.09732850738975192,-0.14168510702411324,-0.06124900281719904,-0.037128351958128386,0.014629745751718654,
SESS_E,-0.424518370106264,-0.07790343766082777,-0.10697326477437191,-0.15024413398457473,-0.0938319387818543,
SESS_Fc,-0.269075531115463,-0.1839769668531689,-0.11116233997805303,-0.2378196403205365,-0.1631091134240024,
