L1_type,n,exp,reach
1,308,0.004324160380650804,0.3051948051948052
2,7509,-0.08644521659001536,0.2767345851644693
3,6077,-0.12240250345824258,0.26328780648346223
4,227,-0.18635709066201173,0.2290748898678414
