cls,N,final_exp,wr
favorable_early,2098,1.4104631756857875,0.9566253574833175
immediate_fail,2508,-1.1366593698316934,0.0
recovered,3313,-0.2473142449680685,0.3262903712647148
stagnation,459,-0.26723975770227926,0.22004357298474944
