family,si,ei,dir,entry_worse_atr,R
A_sweep_reclaim,10616,10617,-1,0.0,-1.0
A_sweep_reclaim,10631,10632,-1,0.0,-1.0
A_sweep_reclaim,10649,10650,-1,0.0,-1.0
A_sweep_reclaim,10710,10711,-1,0.0,2.0
A_sweep_reclaim,10737,10738,-1,0.0,-1.0
A_sweep_reclaim,10770,10771,1,-0.0,2.0
A_sweep_reclaim,10877,10878,-1,0.0,-1.0
A_sweep_reclaim,11015,11016,1,-0.0,-1.0
A_sweep_reclaim,11021,11022,1,-0.0,-1.0
A_sweep_reclaim,11051,11052,-1,0.0,-1.0
A_sweep_reclaim,11214,11215,-1,0.0,-1.0
A_sweep_reclaim,11313,11314,1,-0.0,-1.0
A_sweep_reclaim,11377,11378,1,-0.0,-1.0
A_sweep_reclaim,11394,11395,1,-0.0,0.5485855563423818
A_sweep_reclaim,11634,11635,-1,0.0,-1.0
A_sweep_reclaim,11682,11683,-1,0.0,-1.0
A_sweep_reclaim,11736,11737,1,-0.0,-1.0
A_sweep_reclaim,11762,11763,1,-0.0,-1.0
A_sweep_reclaim,11809,11810,1,-0.0,-1.0
A_sweep_reclaim,12003,12004,1,-0.0,-1.0
A_sweep_reclaim,12123,12124,1,-0.0,-1.0
A_sweep_reclaim,12471,12472,-1,0.0,-1.0
A_sweep_reclaim,12547,12548,-1,0.0,-1.0
A_sweep_reclaim,12613,12614,1,-0.0,0.3926194263664273
A_sweep_reclaim,12774,12775,-1,0.0,2.0
A_sweep_reclaim,12797,12798,1,-0.0,-1.0
A_sweep_reclaim,12928,12929,-1,0.0,-1.0
A_sweep_reclaim,12972,12973,1,-0.0,2.0
A_sweep_reclaim,13050,13051,-1,0.0,2.0
A_sweep_reclaim,13320,13321,-1,0.0,-1.0
A_sweep_reclaim,13343,13344,1,-0.0,-1.0
A_sweep_reclaim,13423,13424,1,-0.0,-1.0
A_sweep_reclaim,13614,13615,1,-0.0,-1.0
A_sweep_reclaim,13638,13639,1,-0.0,-0.02470119255214948
A_sweep_reclaim,13858,13859,1,-0.0,2.0
A_sweep_reclaim,13944,13945,-1,0.0,2.0
A_sweep_reclaim,14048,14049,1,-0.0,-1.0
A_sweep_reclaim,14083,14084,-1,0.0,-1.0
A_sweep_reclaim,14153,14154,1,-0.0,-1.0
A_sweep_reclaim,14176,14177,-1,0.0,2.0
A_sweep_reclaim,14219,14220,1,-0.0,-1.0
A_sweep_reclaim,14437,14438,-1,0.0,2.0
A_sweep_reclaim,14452,14453,1,-0.0,-1.0
A_sweep_reclaim,14461,14462,1,-0.0,-1.0
A_sweep_reclaim,14534,14535,-1,0.0,2.0
A_sweep_reclaim,14570,14571,1,-0.0,-0.36239899180588125
A_sweep_reclaim,14797,14798,-1,0.0,2.0
A_sweep_reclaim,14841,14842,1,-0.0,-1.0
A_sweep_reclaim,14905,14906,-1,0.0,-1.0
A_sweep_reclaim,14949,14950,1,-0.0,2.0
A_sweep_reclaim,15092,15093,-1,0.0,2.0
A_sweep_reclaim,15180,15181,1,-0.0,-1.0
A_sweep_reclaim,15304,15305,1,-0.0,-1.0
A_sweep_reclaim,15326,15327,1,-0.0,-1.0
A_sweep_reclaim,15396,15397,1,-0.0,-1.0
A_sweep_reclaim,15474,15475,-1,0.0,-1.0
A_sweep_reclaim,15495,15496,-1,0.0,-1.0
A_sweep_reclaim,15567,15568,-1,0.0,-1.0
A_sweep_reclaim,15612,15613,-1,0.0,-1.0
A_sweep_reclaim,15698,15699,1,-0.0,2.0
A_sweep_reclaim,15885,15886,1,-0.0,-1.0
A_sweep_reclaim,16032,16033,-1,0.0,2.0
A_sweep_reclaim,16103,16104,-1,0.0,-1.0
