object,family,mechanism,feature,n_bins,omni_p,best_pos_bin,best_pos_exp,best_pos_N,best_pos_days,best_pos_lift,best_pos_z,pooled_exp,rank,bh_thresh,fdr_sig,feature_name
S43::6aacd27a298d,S43,M18_OSCILLATOR_DIVERGENCE,f008,5,0.046862908969435,,,0,0,,,-0.3255470396563592,766,0.0074009661835748,False,dist_vwap_atr
S29::bd28e989b4eb,S29,M06_SESSION_TIME,f041,5,0.0469305561672994,0.0,0.1115542216634656,143,143,0.3249698465798038,2.597660981253242,-0.1540660871629385,767,0.0074106280193236,False,ret_12_atr
S6::a461ec93f607,S6,M06_SESSION_TIME,f019,12,0.0470129897624165,,,0,0,,,-0.5128074236968724,768,0.0074202898550724,False,month_of_year
S3::37a51a4fd454,S3,M03_BREAKOUT_RETEST,f046,2,0.0473115159456813,,,0,0,,,-0.3652404446864761,769,0.0074299516908212,False,h4_trend_state
S38::3029c9493a71,S38,M07_TREND_CONTINUATION,f005,5,0.0474319676853429,,,0,0,,,-0.0939524767845139,770,0.00743961352657,False,atr_over_atrma
S8::ec037f864152,S8,M08_EXTENSION_MEAN_REVERSION,f043,5,0.0474754475370242,,,0,0,,,-0.1440796368386465,771,0.0074492753623188,False,dist_or_high_atr
OBR_A_limit,OBR_A_limit,M14_REFERENCE_LEVEL,f022,5,0.0477757435176906,,,0,0,,,-0.0673227003426379,772,0.0074589371980676,False,rloc_20
S29::bd28e989b4eb,S29,M06_SESSION_TIME,f002,5,0.0478326966687214,1.0,0.0986572422686799,150,150,0.3126103743206275,2.591115445154821,-0.1540660871629385,773,0.0074685990338164,False,ret_1_atr
S6::a461ec93f607,S6,M06_SESSION_TIME,f044,5,0.04795264375131,,,0,0,,,-0.5128074236968724,774,0.0074782608695652,False,week_of_month
HTF_TGT_BREAK,HTF_TGT_BREAK,M03_BREAKOUT_RETEST,f037,2,0.0481315100385599,0.0,0.0576239366239553,62,61,0.0930164107769006,0.8953987060429196,-0.0228554796569282,775,0.007487922705314,False,disp_recent
S21::b61f7b31fafc,S21,M01_LIQUIDITY_SWEEP,f005,5,0.0485633846788058,,,0,0,,,-0.2797389306514087,776,0.0074975845410628,False,atr_over_atrma
HTF_RECLAIM,HTF_RECLAIM,M11_STRUCTURE_BREAK_REVERSAL,f033,5,0.0486345230942997,,,0,0,,,-0.1001845799762217,777,0.0075072463768115,False,rloc_sess
S3::7aafa506c507,S3,M03_BREAKOUT_RETEST,f022,5,0.0486897674745112,0.0,0.0136719461459032,48,48,0.3890005614339721,2.165953145484476,-0.3737354389272471,778,0.0075169082125603,False,rloc_20
SESS_A,SESS_A,M06_SESSION_TIME,f034,3,0.0494329001629405,3.0,0.0935193201399069,833,833,0.1120081257558364,2.398160722871307,0.0098448623933664,779,0.0075265700483091,False,run_len_same_dir
HTF_RANGE_FADE,HTF_RANGE_FADE,M12_RANGE_ROTATION,f040,5,0.0494591794322052,1.0,0.0499213188234462,181,168,0.2575143834000836,2.579587626599721,-0.1462639811616175,780,0.0075362318840579,False,bar_in_sess
S30::282a94fa23d8,S30,M06_SESSION_TIME,f026,5,0.0494769197061795,,,0,0,,,-0.146454009554978,781,0.0075458937198067,False,rloc_50
SESS_E,SESS_E,M06_SESSION_TIME,f023,5,0.049916050220724,3.0,0.0987228736708887,144,144,0.3153034839353155,2.576410314002896,-0.1706719129068075,782,0.0075555555555555,False,dist_pwh_atr
HTF_RECLAIM,HTF_RECLAIM,M11_STRUCTURE_BREAK_REVERSAL,f046,2,0.0499989996768253,,,0,0,,,-0.1001845799762217,783,0.0075652173913043,False,h4_trend_state
S5::9cce3e63e04e,S5,M05_OPENING_RANGE,f020,5,0.0504391165590589,4.0,0.0109439332773299,249,226,0.1049314207502617,1.224170839088693,-0.0824976353327315,784,0.0075748792270531,False,mtf_alignment
HTF_RECLAIM,HTF_RECLAIM,M11_STRUCTURE_BREAK_REVERSAL,f034,3,0.0508094988660814,,,0,0,,,-0.1001845799762217,785,0.0075845410628019,False,run_len_same_dir
S17::3cf289079abb,S17,M14_REFERENCE_LEVEL,f039,3,0.0508191997875455,3.0,0.1359870019436379,138,118,0.2808763542005178,2.388013201812877,-0.0214468781177987,786,0.0075942028985507,False,session_id
S21::b61f7b31fafc,S21,M01_LIQUIDITY_SWEEP,f009,5,0.0508221015372378,,,0,0,,,-0.2797389306514087,787,0.0076038647342995,False,dist_pdl_atr
S27::8492323d86e4,S27,M16_AUCTION_VALUE,f041,5,0.0513074570334559,,,0,0,,,-0.1757948604079745,788,0.0076135265700483,False,ret_12_atr
S10::598adad042be,S10,M10_DISPLACEMENT_CONTINUATION,f002,5,0.0513616982141562,,,0,0,,,-0.1821402258358029,789,0.0076231884057971,False,ret_1_atr
S10::7df75fdb8ecb,S10,M10_DISPLACEMENT_CONTINUATION,f042,5,0.0513782770312265,,,0,0,,,-0.1954025256313247,790,0.0076328502415458,False,dist_pdmid_atr
S27::8492323d86e4,S27,M16_AUCTION_VALUE,f042,5,0.0514892089908369,,,0,0,,,-0.1757948604079745,791,0.0076425120772946,False,dist_pdmid_atr
S43::6aacd27a298d,S43,M18_OSCILLATOR_DIVERGENCE,f017,24,0.0516496845749792,,,0,0,,,-0.3255470396563592,792,0.0076521739130434,False,hour_utc
S29::10d4532019fd,S29,M06_SESSION_TIME,f002,5,0.0516759469247851,3.0,0.0428631256305006,159,159,0.2092819861557686,1.821415721266395,-0.1239209859419127,793,0.0076618357487922,False,ret_1_atr
S5::15be26301532,S5,M05_OPENING_RANGE,f015,2,0.0516782492651715,0.0,0.0184227734362563,705,670,0.0730831126091469,1.5373848226968627,-0.0334222540989216,794,0.007671497584541,False,compress_flag
S23::866611e1c7db,S23,M04_VOLATILITY_COMPRESSION_EXPANSION,f030,5,0.0521184261469653,,,0,0,,,-0.1768749736734077,795,0.0076811594202898,False,rloc_96
SESS_B,SESS_B,M06_SESSION_TIME,f031,2,0.052446181604159,,,0,0,,,-0.3656137311760934,796,0.0076908212560386,False,d1_trend_state
S18::3933c532ec9c,S18,M06_SESSION_TIME,f007,5,0.0526236269968571,,,0,0,,,-0.2706234087594297,797,0.0077004830917874,False,ret_96_atr
HTF_RECLAIM,HTF_RECLAIM,M11_STRUCTURE_BREAK_REVERSAL,f003,5,0.0530171458369577,,,0,0,,,-0.1001845799762217,798,0.0077101449275362,False,vol_rel_sess
S51::049ca99687f4,S51,M06_SESSION_TIME,f012,5,0.0531632611760446,,,0,0,,,-0.1820980069014957,799,0.007719806763285,False,dist_pwl_atr
S46::28bd0e966c33,S46,M03_BREAKOUT_RETEST,f013,5,0.053257908011246,,,0,0,,,-0.0369124123563443,800,0.0077294685990338,False,vol_rel_20
S46::28bd0e966c33,S46,M03_BREAKOUT_RETEST,f011,32,0.0535251096369577,36.0,0.2630455857497463,68,68,0.303786290874712,3.142929768281572,-0.0369124123563443,801,0.0077391304347826,False,halfhour_bucket_utc
S5::9cce3e63e04e,S5,M05_OPENING_RANGE,f001,5,0.0535605434001484,3.0,0.0491447764544012,465,426,0.1654808426776893,2.5519526139628628,-0.0824976353327315,802,0.0077487922705314,False,weekday
S48::6d74b2000433,S48,M04_VOLATILITY_COMPRESSION_EXPANSION,f011,28,0.0539270571294752,38.0,0.1379235099683834,86,85,0.306293482792829,2.1369496639287697,-0.164287958331933,803,0.0077584541062801,False,halfhour_bucket_utc
SESS_B,SESS_B,M06_SESSION_TIME,f041,5,0.054069229931335,,,0,0,,,-0.3656137311760934,804,0.0077681159420289,False,ret_12_atr
S50::9cc65b2c5452,S50,M20_CANDLESTICK_PATTERN,f043,5,0.0541324167889867,,,0,0,,,-0.6026326920420786,805,0.0077777777777777,False,dist_or_high_atr
S3::37a51a4fd454,S3,M03_BREAKOUT_RETEST,f038,5,0.0542045539514912,,,0,0,,,-0.3652404446864761,806,0.0077874396135265,False,ret_4_atr
S11::576394ea476f,S11,M11_STRUCTURE_BREAK_REVERSAL,f035,5,0.0544127270938288,,,0,0,,,-0.0580988841413395,807,0.0077971014492753,False,dist_pdh_atr
S10::7df75fdb8ecb,S10,M10_DISPLACEMENT_CONTINUATION,f005,5,0.0548759268906784,,,0,0,,,-0.1954025256313247,808,0.0078067632850241,False,atr_over_atrma
S21::6ddb75c3f9b1,S21,M01_LIQUIDITY_SWEEP,f013,5,0.0549552732281455,,,0,0,,,-0.3144243577251478,809,0.0078164251207729,False,vol_rel_20
S17::3cf289079abb,S17,M14_REFERENCE_LEVEL,f015,2,0.0553200404917122,0.0,0.0059242012076679,267,166,0.1828621044297145,2.202074870359448,-0.0214468781177987,810,0.0078260869565217,False,compress_flag
S15::ac373f9fe529,S15,M07_TREND_CONTINUATION,f031,2,0.055548762857196,,,0,0,,,-0.1615200875385349,811,0.0078357487922705,False,d1_trend_state
S15::ac373f9fe529,S15,M07_TREND_CONTINUATION,f034,3,0.0560647996517142,,,0,0,,,-0.1615200875385349,812,0.0078454106280193,False,run_len_same_dir
HTF_PBK_TREND,HTF_PBK_TREND,M07_TREND_CONTINUATION,f021,2,0.0563433901804137,1.0,0.059061777138495,86,80,0.1949812992605836,1.3113761282864274,-0.084165226639341,813,0.0078550724637681,False,fvg_present
S6::7199b701458a,S6,M06_SESSION_TIME,f019,12,0.0563610483625849,,,0,0,,,-0.5031640871587263,814,0.0078647342995169,False,month_of_year
SESS_E,SESS_E,M06_SESSION_TIME,f024,2,0.0569432587638081,,,0,0,,,-0.1706719129068075,815,0.0078743961352657,False,h1_trend_state
S45::4809d6e42bc2,S45,M19_SEQUENCE_RUNLENGTH,f046,2,0.0569987164015479,,,0,0,,,-0.1625746944243231,816,0.0078840579710144,False,h4_trend_state
SESS_C,SESS_C,M06_SESSION_TIME,f013,3,0.0570271650313374,,,0,0,,,-0.2791331001590712,817,0.0078937198067632,False,vol_rel_20
S8::ec037f864152,S8,M08_EXTENSION_MEAN_REVERSION,f009,5,0.0570504730713428,,,0,0,,,-0.1440796368386465,818,0.007903381642512,False,dist_pdl_atr
S8::ec037f864152,S8,M08_EXTENSION_MEAN_REVERSION,f040,5,0.0574113311111634,,,0,0,,,-0.1440796368386465,819,0.0079130434782608,False,bar_in_sess
S14::dc07a2d5d013,S14,M08_EXTENSION_MEAN_REVERSION,f026,4,0.0574151293640285,2.0,0.2839345665266427,78,76,0.3794748374765501,2.448285611672621,-0.0733520870494794,820,0.0079227053140096,False,rloc_50
SESS_D,SESS_D,M06_SESSION_TIME,f004,5,0.057746080361527,3.0,0.0097853133595843,759,759,0.0501629304211458,1.0474668967605465,-0.0267017319359689,821,0.0079323671497584,False,dist_or_low_atr
S11::576394ea476f,S11,M11_STRUCTURE_BREAK_REVERSAL,f004,5,0.0580843887169613,,,0,0,,,-0.0580988841413395,822,0.0079420289855072,False,dist_or_low_atr
S10::7df75fdb8ecb,S10,M10_DISPLACEMENT_CONTINUATION,f017,24,0.0585569678010227,,,0,0,,,-0.1954025256313247,823,0.007951690821256,False,hour_utc
OBEXEC_D,OBEXEC_D,M14_REFERENCE_LEVEL,f009,5,0.0589712797293862,0.0,0.1396376221018946,121,109,0.3720305973526936,2.5182410907671184,-0.1852561142249603,824,0.0079613526570048,False,dist_pdl_atr
S10::598adad042be,S10,M10_DISPLACEMENT_CONTINUATION,f020,5,0.0591598593332787,,,0,0,,,-0.1821402258358029,825,0.0079710144927536,False,mtf_alignment
HTF_TGT_BREAK,HTF_TGT_BREAK,M03_BREAKOUT_RETEST,f004,5,0.0594765885341841,2.0,0.1707866336945179,68,66,0.2272330921981255,2.169277634895644,-0.0228554796569282,826,0.0079806763285024,False,dist_or_low_atr
S38::3029c9493a71,S38,M07_TREND_CONTINUATION,f039,4,0.0594988338473747,,,0,0,,,-0.0939524767845139,827,0.0079903381642512,False,session_id
S12::884efeda36f3,S12,M12_RANGE_ROTATION,f036,5,0.0597894339353355,,,0,0,,,-0.2323586418177302,828,0.008,False,dist_prev_sess_low_atr
HTF_TGT_BREAK,HTF_TGT_BREAK,M03_BREAKOUT_RETEST,f041,5,0.0600217900633182,3.0,0.2107617508428447,66,63,0.2727510812941511,2.512016193351548,-0.0228554796569282,829,0.0080096618357487,False,ret_12_atr
S12::884efeda36f3,S12,M12_RANGE_ROTATION,f026,5,0.0600525517641803,,,0,0,,,-0.2323586418177302,830,0.0080193236714975,False,rloc_50
S21::b61f7b31fafc,S21,M01_LIQUIDITY_SWEEP,f044,5,0.0603032468225528,,,0,0,,,-0.2797389306514087,831,0.0080289855072463,False,week_of_month
S39::cdecf371316b,S39,M07_TREND_CONTINUATION,f030,5,0.0609194128475554,,,0,0,,,-0.1572910268826625,832,0.0080386473429951,False,rloc_96
S30::282a94fa23d8,S30,M06_SESSION_TIME,f013,5,0.0609889203166491,,,0,0,,,-0.146454009554978,833,0.0080483091787439,False,vol_rel_20
S2::2c6012247423,S2,M02_FAILED_BREAKOUT_FADE,f020,5,0.0618431255990414,,,0,0,,,-0.1792331034018087,834,0.0080579710144927,False,mtf_alignment
S42::a347eead7c5d,S42,M08_EXTENSION_MEAN_REVERSION,f006,5,0.0619530088222397,,,0,0,,,-0.1021182368524002,835,0.0080676328502415,False,realvol_ratio
S31::9584b16899ad,S31,M06_SESSION_TIME,f032,5,0.0621713177082927,3.0,0.0071240465123319,133,133,0.3229194781452455,2.499574261489604,-0.2468575655120184,836,0.0080772946859903,False,efficiency_24h
OBEXEC_D,OBEXEC_D,M14_REFERENCE_LEVEL,f004,4,0.0622883958602242,,,0,0,,,-0.1852561142249603,837,0.0080869565217391,False,dist_or_low_atr
S50::9cc65b2c5452,S50,M20_CANDLESTICK_PATTERN,f012,5,0.0623616362661216,,,0,0,,,-0.6026326920420786,838,0.0080966183574879,False,dist_pwl_atr
OBEXEC_B,OBEXEC_B,M14_REFERENCE_LEVEL,f010,5,0.0623852341161468,,,0,0,,,-0.2656588126211349,839,0.0081062801932367,False,bars_since_20bar_high
S21::6ddb75c3f9b1,S21,M01_LIQUIDITY_SWEEP,f028,5,0.0625939242935924,,,0,0,,,-0.3144243577251478,840,0.0081159420289855,False,dist_prev_sess_high_atr
S28::b2a817579286,S28,M16_AUCTION_VALUE,f014,5,0.0626045945873099,,,0,0,,,-0.1509808226383693,841,0.0081256038647343,False,bars_since_20bar_low
S5::15be26301532,S5,M05_OPENING_RANGE,f030,5,0.0630765430985014,2.0,0.1002828307042638,444,436,0.1636571825088436,2.494448346117612,-0.0334222540989216,842,0.008135265700483,False,rloc_96
OBEXEC_C,OBEXEC_C,M14_REFERENCE_LEVEL,f006,5,0.0634595184774888,,,0,0,,,-0.2057387587957231,843,0.0081449275362318,False,realvol_ratio
S18::3933c532ec9c,S18,M06_SESSION_TIME,f022,5,0.0635585574842256,,,0,0,,,-0.2706234087594297,844,0.0081545893719806,False,rloc_20
S3::7aafa506c507,S3,M03_BREAKOUT_RETEST,f023,5,0.0636234726165052,,,0,0,,,-0.3737354389272471,845,0.0081642512077294,False,dist_pwh_atr
S41::73a2a8a65e5e,S41,M17_VOLUME_PARTICIPATION,f008,5,0.0638913477097447,,,0,0,,,-0.391199701626434,846,0.0081739130434782,False,dist_vwap_atr
S14::dc07a2d5d013,S14,M08_EXTENSION_MEAN_REVERSION,f013,4,0.0640282101288445,2.0,0.1631147166801022,79,75,0.25135196507989,1.6765030194083583,-0.0733520870494794,847,0.008183574879227,False,vol_rel_20
S50::9cc65b2c5452,S50,M20_CANDLESTICK_PATTERN,f008,5,0.0642105776787405,,,0,0,,,-0.6026326920420786,848,0.0081932367149758,False,dist_vwap_atr
