SETUP_ID,MECHANISM,TRADE_N,WIN_N,LOSS_N,base_exp
SETUP_1,M01_LIQUIDITY_SWEEP,13538,4569,8969,-0.3143
SETUP_3,M16_AUCTION_VALUE,25008,13227,11781,-0.1757
