hid,family,N,tpy,WR,BASE,STRESS,PF,maxDD,e1,e2,e3,worst,db5,n1,n2,n3,GATE
S49::N=4/mode=fade/stop=bar/exit=time/id=27bbc9f88f34,S49,68736,4581.0,0.786,0.6969,0.2514,3.455,22.1,0.6816,0.6337,0.7851,0.6337,0.3911,25056,22910,20770,True
S49::N=7/mode=fade/stop=bar/exit=time/id=f3771edfad46,S49,46115,3074.0,0.774,0.6669,0.2088,3.241,41.5,0.7103,0.5751,0.7159,0.5751,0.3639,16663,15367,14085,True
S49::N=4/mode=fade/stop=bar/exit=rr2/id=c002d2357523,S49,74551,4969.0,0.821,0.5337,0.0882,3.252,13.3,0.5274,0.4879,0.5918,0.4879,0.4767,27239,24811,22501,True
S49::N=7/mode=fade/stop=bar/exit=rr2/id=40dfc48ed91f,S49,49454,3296.0,0.814,0.5205,0.0665,3.118,22.6,0.5162,0.4754,0.5747,0.4754,0.4591,17961,16407,15086,True
S17::level=pw_high/mode=breakout/stop=atr/exit=rr2/id=3cf289079abb,S17,1225,82.0,0.398,0.1144,0.0463,1.194,22.6,0.1594,0.0633,0.1224,0.0633,0.0157,393,413,419,True
