,n,L0_first,by
1,699,0.7353361945636624,L1
2,19932,0.730583985550873,L1
3,9055,0.6589729431253452,L1
4,576,0.6927083333333334,L1
1,389,0.7197943444730077,L0
2,11967,0.7000919194451408,L0
3,17535,0.7167949814656401,L0
4,371,0.5795148247978437,L0
