retention,A_cts_v2_baseline,B_event_aggregates,C_event_relational
0.2,-0.1060612063503937,-0.2979004937747537,-0.2669767366494286
0.4,-0.2200721499933499,-0.303711109460832,-0.3044649431573976
0.6,-0.2811266710988638,-0.329777156893315,-0.331970846754702
0.8,-0.321809716331328,-0.3504248945666114,-0.341276803751265
