sid,1,3,5,6,7,9,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,43,44,45,46,47
HTF_PBK_TREND,-0.024868670094399005,-0.16063549511591216,0.012452350773572757,,0.5134754707268865,0.16993726783784135,-0.491047199005896,0.017709904944829755,,-0.2148477365720873,,-0.22998107343539045,,-0.6340228013484075,,-0.11370885303203254,,-0.37500482517748396,,0.9949000576777122,,0.7620928389256274,,-0.07691458176343184,,-0.40629389497134,,0.04172652798304388,,-0.5246739373391195,,0.0430889382249492,,0.4453875738763992,,-0.18376542878938695,-1.0668794892258593,,0.2519677901623943,-1.2968937657425386,-0.41190216604023416
HTF_RANGE_FADE,-0.054039021345855115,-0.052266366303887375,-0.3540421038747543,,0.3210364274861563,-0.015273770222308913,-0.6120803660587149,-0.32894163014689287,,-0.09378948822971836,,-0.35936017233330064,,-0.19396694693434857,,-0.16753673369089786,,-0.6779878273920527,,-0.08327905409934044,,0.0899081868610278,,0.022836992140446058,,0.027820510541954616,,-0.2936808167939351,,-0.4576216479678928,,-0.1783551542835331,,-0.14229344326943608,,-0.7141136015387293,-0.37139392591100173,,0.027060755485850883,,0.5215531774178446
HTF_RECLAIM,-0.032071523889199406,-0.13307132083415738,-0.0702375454052367,1.2622291423381453,-0.10970128982157246,-0.3046255173224964,-0.21819215727072708,-0.23357797059946786,,-0.13546438107452258,,-0.018398546100587405,-1.0989374262101506,-0.03822489524874227,,-0.1689153498992781,,-0.19001992724949276,,-0.1489159939554282,,-0.0790486213917326,,0.00017352766797445616,,-0.01911792954148866,,-0.037631040293966085,,-0.10680868669060982,,-0.01349172953763956,,-0.07729734008090446,,-0.31472723080117593,0.12070750115078903,-0.1170084495929021,-0.05325550775635678,-0.12145372169371589,-0.04056964905933476
HTF_TGT_BREAK,0.379009136916261,0.22761574175070048,-0.3233221630420294,,0.4677030882846393,0.45706624810003266,1.0949541205938946,,,-0.40382547373656796,,-0.20926804494990628,,0.3213641239444234,,0.5416169580463505,,-0.35281773904517416,,-0.17824419505961678,,0.07787095879847002,,-0.025205139059948475,,-0.05490199807492643,,-0.009368247038227055,,-0.2576985322550878,,0.3004014944257461,,-0.13281480484753153,,-0.307133590137015,,,,,
OBEXEC_B,,,,,,,,,,,-0.4774066811410231,-0.24950659846438042,-0.1603910431557364,-0.5186651741756142,-0.4161894169952791,-0.09407059670489708,-0.3382551676493081,-0.41637307792991407,-0.5587658371367408,-0.2436730461518776,-0.3315537891028022,-0.09018938685048,-0.21161282045004406,-0.26735522233203324,-0.16216695341331308,-0.185307427799791,-0.6423640175283819,-0.18231109342075996,-0.2587221650613787,-0.05821238719157827,0.023669691940930174,0.29953538293557097,-0.7226025718302928,0.13160717597198018,,,,,,,
OBEXEC_C,,,,,,,,,,,-0.3836057713902473,-0.1561479571297782,-0.23423928581075149,-0.4577514977287799,-0.27549777085183325,0.03620145390646804,-0.42306161907009293,-0.23911824618877148,-0.5317907402714346,-0.25422990234278625,-0.16757715028689088,0.000979844971140385,-0.2252696663168342,-0.20826702780226136,-0.1084610786909995,-0.07322131278546246,-0.24838180136918164,-0.06560174910442451,-0.25910599913879484,-0.4838123598073476,0.24254221314142305,0.07177735310370877,-0.3583167664020003,0.06975155673362345,,,,,,,
OBEXEC_D,,,,,,,,,,,-0.21837857508739383,-0.4554065511947673,-0.30860615576010353,0.10411692951649229,-0.23484889877032217,-0.2128801726784149,-0.1821139142963664,-0.30117194984261736,-0.5922298614753593,-0.14812224975819402,-0.27613933223007725,-0.351615114719761,-0.0051892860886795745,-0.14490942294147283,-0.02340980938015706,-0.4673263660194019,0.4210970165145271,-0.4857029511164164,-0.19750940677168274,-0.23501820570108894,0.46281701758016774,-0.39594459383666614,-0.01329758833940182,0.40655532697658014,,,,,,,
OBR_A_limit,,,,,,,,,,,-0.1684388110983151,-0.02738885583343205,-0.27645942516461297,0.12084272771937624,0.0027505962213009417,-0.19254153299741417,-0.07494009588639039,-0.213737542044229,-0.17842341832326375,0.005922681482016724,-0.03471833271495113,-0.11469269601098196,0.16446508852215053,0.030390407730389028,0.008679702018235216,-0.17852835951260648,-0.1581384310394315,-0.7757081305761497,-0.0998387627488442,-0.20094916686079822,0.043983340973141695,0.2783797535855102,-0.07504732654955702,-0.4329893610733274,,,,,,,
SESS_A,,,,,,,,,-0.1180141627413088,-0.002485617309441811,0.006464771768840431,-0.01412004262607754,0.06209925329120053,-0.05698768870559432,0.17381142445471967,0.008681140934926163,0.06751299591317766,0.0928086567010513,0.07061858871349228,-0.11512012272838561,0.19814737320504916,0.3067142508671234,-0.19553110179101657,,,,,,,,,,,,,,,,,,
SESS_B,,,,,,,,,-0.26415522554820825,-0.36130621759291903,-0.3309943107659902,-0.520110464786364,-0.4353284252542291,-0.4045505790069097,-0.44225095569111533,-0.43215205741258705,-0.45341734431673486,-0.23802363893200032,-0.09107758691164283,-0.43788036922132295,-0.2783631197053894,-0.11152856907141273,-0.08315564773521678,,,,,,,,,,,,,,,,,,
SESS_C,,,,,,,,,,,,,,,,,,,,,,-0.2729281232424583,,-0.2900899897776473,,,,,,,,,,,,,,,,,
SESS_D,,,,,,,,,,,,,,,,,,,,,,-0.07446467653996791,,0.0630451867253198,,,,,,,,,,,,,,,,,
SESS_E,,,,,,,,,,,,,,,,,,,,,,,,,-0.1521277301429664,-0.3004970445343662,-0.2846603696973318,-0.09315174093704182,0.1529809468362519,-0.03834133947558386,-0.16159826040327674,-0.15495218410012948,0.04620697043396087,-0.5506887720987145,-0.4585632416605445,-0.3738928478596743,,,,,
SESS_Fc,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7361545893719821,-0.7822270535215655,-1.2052242376453388,-0.22579488125385494,-0.01214998651309062,0.053715688485334985,-0.2169842755862663,-0.15988973047303776,-1.1607475611092835,-0.25464482810386535,,,,,,
