setup,A_generic,B_setup_static,C_path_agg,D_path_plus_generic,E_ordered_seq
SETUP_1,-0.29494805381851935,-0.26796359715561335,-0.32237777275046087,-0.2932630015425995,-0.33379013356805703
SETUP_2,-0.3329097101165716,-0.26577770455991395,-0.2897068709139118,-0.29968268772038725,-0.30770173990592126
SETUP_3,-0.13534685339621555,-0.07225453546186253,-0.13968440503281956,-0.13025486976003078,-0.12528174022484942
