hid,family,N,tpy,WR,BASE,STRESS,PF,maxDD,e1,e2,e3,worst,db5,n1,n2,n3,GATE
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=rr3/window=8/id=2a46c59096f6,S1,976,65.0,0.434,0.0707,0.0394,1.151,30.6,-0.0599,0.1268,0.1329,-0.0599,-0.0805,305,311,360,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=opp_liq/window=4/id=09825e239c22,S1,432,29.0,0.831,-0.0023,-0.0321,0.973,6.1,-0.015,0.0264,-0.0163,-0.0163,-0.0183,127,138,167,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=opp_liq/window=8/id=df29474bf36b,S1,1021,68.0,0.817,-0.0043,-0.0355,0.949,10.2,-0.0165,0.001,0.0013,-0.0165,-0.0228,316,325,380,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=time/window=4/id=8d639185bba7,S1,432,29.0,0.472,0.0344,0.0046,1.093,19.1,-0.0275,0.056,0.0637,-0.0275,-0.1183,127,138,167,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=time/window=8/id=a63ac1cc70ca,S1,1018,68.0,0.468,0.0363,0.005,1.093,37.7,-0.042,0.0232,0.1131,-0.042,-0.1303,316,324,378,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=rr2/window=4/id=abf35aa5a564,S1,423,28.0,0.473,0.0698,0.0405,1.164,13.4,-0.074,0.2266,0.0531,-0.074,-0.0311,126,133,164,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=rr2/window=8/id=87b848d5cc8e,S1,978,65.0,0.457,0.0564,0.0275,1.13,36.5,-0.0855,0.1649,0.0836,-0.0855,-0.0446,307,312,359,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=rr3/window=4/id=a7149aa47703,S1,422,28.0,0.46,0.092,0.0627,1.21,11.1,-0.0206,0.1739,0.1126,-0.0206,-0.0599,126,132,164,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=rr3/window=8/id=032a8cf11272,S1,974,65.0,0.449,0.0764,0.0475,1.172,30.7,-0.0467,0.1217,0.1419,-0.0467,-0.0748,305,311,358,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=opp_liq/window=4/id=ad7dfe9d4cc5,S1,432,29.0,0.831,-0.0036,-0.0329,0.956,6.2,-0.0164,0.0241,-0.0169,-0.0169,-0.0196,127,138,167,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=opp_liq/window=8/id=dc880b613b58,S1,1021,68.0,0.824,-0.0002,-0.029,0.998,8.9,-0.0067,0.0052,0.0007,-0.0067,-0.0167,316,325,380,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=time/window=4/id=f0fe17afa476,S1,432,29.0,0.472,0.0278,-0.0015,1.076,18.4,-0.0342,0.0523,0.0547,-0.0342,-0.1206,127,138,167,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=time/window=8/id=ab85c422b5ab,S1,1018,68.0,0.475,0.0253,-0.0036,1.069,34.7,-0.0444,0.0194,0.0886,-0.0444,-0.1161,316,324,378,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr2/window=4/id=e35108280885,S1,3883,259.0,0.416,0.0386,-0.0832,1.066,50.6,-0.003,0.0456,0.0798,-0.003,-0.0643,1415,1254,1214,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr2/window=8/id=5b389dceead0,S1,4943,329.0,0.44,0.0712,-0.0564,1.128,46.9,0.0395,0.0451,0.1371,0.0395,-0.03,1842,1588,1513,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr3/window=4/id=ca16464f1041,S1,3813,254.0,0.374,0.0491,-0.07,1.079,46.3,-0.0118,0.0775,0.0904,-0.0118,-0.107,1386,1235,1192,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr3/window=8/id=5d448bd0259a,S1,4849,323.0,0.402,0.0848,-0.0437,1.142,55.9,0.0418,0.076,0.1466,0.0418,-0.0691,1807,1559,1483,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=opp_liq/window=4/id=6ede37a474d3,S1,4000,267.0,0.524,0.0339,-0.0914,1.07,116.1,-0.0494,0.1066,0.0562,-0.0494,-0.163,1457,1288,1255,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=opp_liq/window=8/id=6b92de641929,S1,5128,342.0,0.557,0.089,-0.0446,1.196,52.0,0.0296,0.0976,0.1518,0.0296,-0.1209,1906,1645,1577,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=time/window=4/id=5638c4f79655,S1,3948,263.0,0.373,0.0927,-0.0391,1.153,95.6,-0.0435,0.2329,0.1072,-0.0435,-0.2589,1445,1276,1227,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=time/window=8/id=befce5ec6e26,S1,5086,339.0,0.401,0.1361,-0.0005,1.235,54.2,0.0645,0.1648,0.1938,0.0645,-0.2231,1904,1630,1552,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=rr2/window=4/id=1de5b5bc5bb3,S1,3711,247.0,0.364,-0.0243,-0.0918,0.96,179.5,-0.0896,-0.0175,0.0449,-0.0896,-0.1304,1357,1194,1160,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=rr2/window=8/id=2d5c9c0d94bb,S1,4659,311.0,0.364,-0.0349,-0.0996,0.943,256.8,-0.0679,-0.0532,0.0243,-0.0679,-0.1414,1735,1494,1430,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=rr3/window=4/id=9a7d73c6164b,S1,3626,242.0,0.315,-0.0286,-0.0963,0.957,201.1,-0.1272,-0.0055,0.063,-0.1272,-0.189,1324,1172,1130,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=rr3/window=8/id=15d6b70bae08,S1,4552,303.0,0.319,-0.0384,-0.1034,0.942,275.6,-0.095,-0.0385,0.0305,-0.095,-0.1989,1695,1463,1394,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=opp_liq/window=4/id=62992be766e9,S1,3868,258.0,0.496,-0.0462,-0.1135,0.907,211.9,-0.0899,-0.0437,0.002,-0.0899,-0.1997,1413,1243,1212,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=opp_liq/window=8/id=8df44485e80b,S1,4895,326.0,0.509,-0.0525,-0.1175,0.891,301.3,-0.0805,-0.0548,-0.0163,-0.0805,-0.2052,1820,1567,1508,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=time/window=4/id=c12f1c3db991,S1,3829,255.0,0.343,0.0034,-0.0649,1.006,182.3,-0.1062,0.0495,0.0851,-0.1062,-0.2817,1406,1234,1189,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=time/window=8/id=ba207a2e5c67,S1,4878,325.0,0.347,-0.0144,-0.0806,0.976,235.3,-0.0914,0.011,0.0531,-0.0914,-0.2894,1826,1560,1492,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=rr2/window=4/id=1f6097ea42b0,S1,475,32.0,0.377,-0.0435,-0.0926,0.923,33.0,-0.125,0.0041,-0.0107,-0.125,-0.1479,157,158,160,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=rr2/window=8/id=60d35d56e4c4,S1,974,65.0,0.389,-0.0129,-0.0814,0.977,75.3,-0.0339,0.0033,-0.0051,-0.0339,-0.1171,355,317,302,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=rr3/window=4/id=acc52147a155,S1,474,32.0,0.357,0.0042,-0.0448,1.007,26.2,-0.0931,0.0461,0.0588,-0.0931,-0.149,157,158,159,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=rr3/window=8/id=6de2ed2e34d4,S1,971,65.0,0.364,0.0221,-0.0476,1.037,52.1,-0.0232,0.0846,0.0096,-0.0232,-0.1323,353,316,302,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=opp_liq/window=4/id=d6bed3d23e42,S1,483,32.0,0.667,-0.0383,-0.087,0.876,28.6,-0.101,-0.0565,0.041,-0.101,-0.1281,159,161,163,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=opp_liq/window=8/id=712dbd1e5a6c,S1,992,66.0,0.653,-0.0216,-0.0868,0.936,45.1,-0.005,-0.0269,-0.0352,-0.0352,-0.1436,359,325,308,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=time/window=4/id=fa2d0cf037b8,S1,485,32.0,0.375,-0.0391,-0.0879,0.923,50.3,-0.0832,-0.0919,0.0566,-0.0919,-0.2511,161,161,163,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=time/window=8/id=4e5a25a82c5c,S1,998,67.0,0.379,0.0486,-0.0166,1.092,46.2,0.0618,0.0526,0.0289,0.0289,-0.2465,364,325,309,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=rr2/window=4/id=0e95bd6c7890,S1,475,32.0,0.371,-0.0575,-0.1011,0.898,38.6,-0.1178,-0.012,-0.0434,-0.1178,-0.1629,157,158,160,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=rr2/window=8/id=10505d602ed1,S1,974,65.0,0.383,-0.0249,-0.0711,0.956,61.4,-0.0469,-0.0099,-0.0149,-0.0469,-0.1301,355,317,302,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=rr3/window=4/id=11ce47edfb76,S1,474,32.0,0.35,-0.0256,-0.0691,0.957,27.8,-0.1048,0.0319,-0.0047,-0.1048,-0.1804,157,158,159,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=rr3/window=8/id=233f63992a64,S1,969,65.0,0.357,-0.0169,-0.0631,0.971,50.1,-0.046,0.0251,-0.0269,-0.046,-0.1741,352,316,301,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=opp_liq/window=4/id=9fc0dd75b62a,S1,483,32.0,0.671,-0.0441,-0.0874,0.854,27.0,-0.0869,-0.0439,-0.0026,-0.0869,-0.1272,159,161,163,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=opp_liq/window=8/id=31214357672c,S1,992,66.0,0.665,-0.0491,-0.0953,0.844,61.5,-0.0354,-0.0481,-0.0663,-0.0663,-0.1344,359,325,308,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=time/window=4/id=ce3e0866e586,S1,485,32.0,0.375,-0.0447,-0.0881,0.911,46.9,-0.077,-0.0874,0.0294,-0.0874,-0.2523,161,161,163,False
S1::side=low/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=time/window=8/id=cf456416e207,S1,998,67.0,0.386,-0.0225,-0.0688,0.955,64.2,-0.0441,-0.0297,0.0104,-0.0441,-0.2316,364,325,309,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=rr2/window=4/id=08bd50d36b29,S1,4656,310.0,0.392,0.0134,-0.0926,1.022,88.5,0.0372,-0.0179,0.0213,-0.0179,-0.0906,1590,1585,1481,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=rr2/window=8/id=ab81c0e9d210,S1,5507,367.0,0.438,0.0723,-0.0533,1.129,77.3,0.1058,0.0281,0.0818,0.0281,-0.0287,1946,1845,1716,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=rr3/window=4/id=9861f4efc198,S1,4653,310.0,0.347,0.0254,-0.0817,1.039,111.8,0.0457,-0.0277,0.0606,-0.0277,-0.1305,1589,1584,1480,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=rr3/window=8/id=ac4bc4d0eb0b,S1,5504,367.0,0.397,0.0875,-0.0376,1.145,87.2,0.1143,0.0147,0.1355,0.0147,-0.0652,1945,1845,1714,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=opp_liq/window=4/id=b6ea4c49c742,S1,4652,310.0,0.339,-0.0089,-0.1104,0.987,194.3,-0.0235,-0.0196,0.0183,-0.0235,-0.3242,1588,1584,1480,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=opp_liq/window=8/id=2ef9b03c3e64,S1,5502,367.0,0.389,0.0694,-0.0469,1.112,116.0,0.0536,0.0207,0.1396,0.0207,-0.2509,1943,1845,1714,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=time/window=4/id=365bccb1c46b,S1,4650,310.0,0.344,0.0198,-0.0758,1.032,145.7,0.0092,-0.0217,0.0757,-0.0217,-0.3156,1588,1583,1479,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=time/window=8/id=9f3a1ee129a4,S1,5501,367.0,0.39,0.1164,0.0034,1.197,74.8,0.0945,0.0495,0.2132,0.0495,-0.2431,1944,1844,1713,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=structural/exit=rr2/window=4/id=4acf7a35eef0,S1,4631,309.0,0.379,0.002,-0.0706,1.003,78.2,-0.0121,-0.0122,0.0323,-0.0122,-0.1027,1585,1572,1474,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=structural/exit=rr2/window=8/id=a172ec758573,S1,5455,364.0,0.381,-0.0008,-0.0717,0.999,94.5,-0.0181,-0.0167,0.036,-0.0181,-0.1056,1934,1821,1700,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=structural/exit=rr3/window=4/id=a0c0d0d54325,S1,4630,309.0,0.332,-0.0007,-0.0733,0.999,132.4,-0.0236,-0.0394,0.0652,-0.0394,-0.1582,1585,1572,1473,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=structural/exit=rr3/window=8/id=454ea1cb2d7b,S1,5454,364.0,0.335,-0.0051,-0.076,0.992,169.7,-0.0285,-0.0403,0.0593,-0.0403,-0.1626,1934,1821,1699,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=structural/exit=opp_liq/window=4/id=f182adbe26d4,S1,4632,309.0,0.339,-0.0263,-0.0989,0.959,208.2,-0.0585,-0.0374,0.0201,-0.0585,-0.2921,1585,1573,1474,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=structural/exit=opp_liq/window=8/id=68c5dc490073,S1,5456,364.0,0.344,-0.0296,-0.1005,0.954,265.1,-0.0633,-0.0479,0.0284,-0.0633,-0.2905,1934,1822,1700,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=structural/exit=time/window=4/id=4e69fdf48a60,S1,4631,309.0,0.349,-0.002,-0.0746,0.997,173.2,-0.0271,-0.0177,0.0419,-0.0271,-0.285,1586,1572,1473,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=structural/exit=time/window=8/id=0292caa9ace7,S1,5456,364.0,0.352,-0.0036,-0.0745,0.994,201.9,-0.0372,-0.0142,0.046,-0.0372,-0.2831,1936,1821,1699,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=rr2/window=4/id=c7481258ae1f,S1,719,48.0,0.392,-0.0391,-0.0985,0.932,55.3,-0.1514,-0.0054,0.0334,-0.1514,-0.1431,232,238,249,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=rr2/window=8/id=0c2a00f7c0e3,S1,995,66.0,0.402,-0.0191,-0.0974,0.966,46.1,-0.0627,-0.008,0.0149,-0.0627,-0.1233,342,316,337,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=rr3/window=4/id=3d3167547f61,S1,719,48.0,0.369,-0.0019,-0.0614,0.997,38.8,-0.1072,0.0361,0.0598,-0.1072,-0.1556,232,238,249,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=rr3/window=8/id=6ef487cd4c02,S1,995,66.0,0.374,0.0139,-0.0645,1.023,27.8,-0.0185,0.0066,0.0536,-0.0185,-0.1407,342,316,337,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=opp_liq/window=4/id=06b01144140d,S1,719,48.0,0.434,-0.0447,-0.1042,0.919,70.5,-0.1598,-0.0433,0.0612,-0.1598,-0.2332,232,238,249,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=opp_liq/window=8/id=affd3ca537e3,S1,995,66.0,0.43,0.0481,-0.0546,1.087,66.9,-0.0802,-0.0647,0.284,-0.0802,-0.2187,342,316,337,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=time/window=4/id=6ab5730d2e3c,S1,719,48.0,0.389,-0.0463,-0.1057,0.913,62.6,-0.0994,-0.0853,0.0405,-0.0994,-0.2708,232,238,249,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=time/window=8/id=8e919fd46517,S1,996,66.0,0.388,0.099,-0.0299,1.182,66.4,-0.0438,-0.1055,0.4361,-0.1055,-0.2616,343,316,337,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=fvg/stop=structural/exit=rr2/window=4/id=514b21ec4b77,S1,719,48.0,0.402,-0.019,-0.0689,0.966,50.1,-0.1586,0.0159,0.0778,-0.1586,-0.122,232,238,249,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=fvg/stop=structural/exit=rr2/window=8/id=95b35ac48aa3,S1,995,66.0,0.401,-0.0257,-0.0744,0.953,59.3,-0.0972,-0.0397,0.06,-0.0972,-0.1303,342,316,337,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=fvg/stop=structural/exit=rr3/window=4/id=c40d338ffde5,S1,719,48.0,0.378,0.016,-0.0339,1.028,45.5,-0.142,0.0432,0.1373,-0.142,-0.1367,232,238,249,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=fvg/stop=structural/exit=rr3/window=8/id=85920f5ddc36,S1,995,66.0,0.378,-0.001,-0.0497,0.998,52.0,-0.068,-0.0405,0.104,-0.068,-0.1564,342,316,337,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=fvg/stop=structural/exit=opp_liq/window=4/id=0867ae41907e,S1,719,48.0,0.451,-0.0213,-0.0712,0.959,65.4,-0.1617,-0.034,0.1217,-0.1617,-0.1926,232,238,249,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=fvg/stop=structural/exit=opp_liq/window=8/id=cb45d2b2b5b1,S1,995,66.0,0.446,-0.0246,-0.0734,0.953,66.7,-0.0862,-0.0654,0.0761,-0.0862,-0.1982,342,316,337,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=fvg/stop=structural/exit=time/window=4/id=695c6274b611,S1,719,48.0,0.409,-0.0233,-0.0732,0.954,53.4,-0.0936,-0.0759,0.0925,-0.0936,-0.2326,232,238,249,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=fvg/stop=structural/exit=time/window=8/id=833ef3f5b7d9,S1,996,66.0,0.403,-0.0351,-0.0838,0.93,72.1,-0.0792,-0.105,0.0753,-0.105,-0.2461,343,316,337,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=rr2/window=8/id=c32108d776aa,S1,242,16.0,0.492,0.0402,0.0205,1.121,13.1,-0.043,0.0303,0.1422,-0.043,-0.0627,82,85,75,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=rr3/window=8/id=9bc44c1aa868,S1,242,16.0,0.492,0.0862,0.0665,1.259,12.1,-0.0319,0.0703,0.2334,-0.0319,-0.0628,82,85,75,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=opp_liq/window=8/id=9164e18a6b9a,S1,245,16.0,0.829,-0.0219,-0.0415,0.785,7.7,-0.0747,0.0094,-0.0008,-0.0747,-0.0406,82,87,76,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=time/window=8/id=924148fb2e3c,S1,242,16.0,0.475,-0.0176,-0.0373,0.945,19.5,-0.174,-0.0169,0.1527,-0.174,-0.1362,82,85,75,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=close_beyond/imb=none/stop=structural/exit=rr2/window=8/id=4d3df8a4ca1a,S1,242,16.0,0.496,0.0439,0.0254,1.138,12.2,-0.0374,0.0403,0.1369,-0.0374,-0.0587,82,85,75,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=close_beyond/imb=none/stop=structural/exit=rr3/window=8/id=633349b9e212,S1,242,16.0,0.496,0.0835,0.065,1.262,11.6,-0.0263,0.0784,0.2093,-0.0263,-0.0625,82,85,75,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=close_beyond/imb=none/stop=structural/exit=opp_liq/window=8/id=d2c4eea80c05,S1,245,16.0,0.829,-0.0189,-0.0374,0.8,6.9,-0.071,0.0179,-0.005,-0.071,-0.0364,82,87,76,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=close_beyond/imb=none/stop=structural/exit=time/window=8/id=746c239d548d,S1,242,16.0,0.475,-0.0188,-0.0374,0.939,19.2,-0.1697,-0.0189,0.1463,-0.1697,-0.1338,82,85,75,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=rr2/window=8/id=27dac283bd69,S1,195,13.0,0.508,0.0726,0.0533,1.234,9.9,-0.0021,0.0424,0.176,-0.0021,-0.0215,60,71,64,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=rr3/window=8/id=a4380cf3639e,S1,195,13.0,0.508,0.1174,0.0981,1.379,9.9,0.0063,0.0762,0.2672,0.0063,-0.0218,60,71,64,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=opp_liq/window=8/id=05f0239ef61c,S1,195,13.0,0.831,-0.0169,-0.0361,0.813,6.1,-0.0585,-0.0059,0.01,-0.0585,-0.0305,60,71,64,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=time/window=8/id=a19276013e8a,S1,195,13.0,0.503,0.028,0.0087,1.096,12.5,-0.1533,0.0301,0.1956,-0.1533,-0.089,60,71,64,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=close_beyond/imb=fvg/stop=structural/exit=rr2/window=8/id=cd642ef1404e,S1,195,13.0,0.513,0.0785,0.0603,1.268,9.8,0.0055,0.056,0.172,0.0055,-0.0153,60,71,64,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=close_beyond/imb=fvg/stop=structural/exit=rr3/window=8/id=38fdc1c4af4e,S1,195,13.0,0.513,0.1216,0.1033,1.416,9.8,0.0139,0.0876,0.2603,0.0139,-0.0174,60,71,64,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=close_beyond/imb=fvg/stop=structural/exit=opp_liq/window=8/id=bc9ebec264da,S1,195,13.0,0.831,-0.0118,-0.03,0.855,4.8,-0.0535,0.006,0.0076,-0.0535,-0.0244,60,71,64,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=close_beyond/imb=fvg/stop=structural/exit=time/window=8/id=0ca314a8a836,S1,195,13.0,0.503,0.0254,0.0071,1.091,12.4,-0.1494,0.0244,0.1904,-0.1494,-0.0877,60,71,64,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr2/window=4/id=72db3642bcc6,S1,2159,144.0,0.415,0.0176,-0.0873,1.031,63.6,-0.0185,0.0756,-0.0054,-0.0185,-0.0855,761,737,661,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr2/window=8/id=6e2cb22674b5,S1,2766,184.0,0.432,0.0351,-0.0758,1.064,77.6,0.0225,0.0425,0.0418,0.0225,-0.0678,994,935,837,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr3/window=4/id=9694c3cafd62,S1,2144,143.0,0.379,0.0283,-0.0739,1.047,41.5,-0.009,0.1044,-0.0133,-0.0133,-0.1297,757,730,657,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr3/window=8/id=ba5e7da4ca9a,S1,2746,183.0,0.399,0.0436,-0.0653,1.075,61.6,0.0349,0.0598,0.0359,0.0349,-0.1129,990,925,831,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=displacement/imb=none/stop=beyond_sweep/exit=opp_liq/window=4/id=b28c6f18119d,S1,2138,143.0,0.408,0.0323,-0.0887,1.055,114.5,-0.1118,0.2339,-0.0256,-0.1118,-0.2536,752,727,659,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=displacement/imb=none/stop=beyond_sweep/exit=opp_liq/window=8/id=8ff0fd5512a8,S1,2738,182.0,0.431,0.0602,-0.0642,1.106,105.6,-0.0561,0.1678,0.0783,-0.0561,-0.2297,983,923,832,False
S1::side=low/liq_ref=swing/liq_lb=50/confirm=displacement/imb=none/stop=beyond_sweep/exit=time/window=4/id=7319c1cef245,S1,2126,142.0,0.369,0.0749,-0.0439,1.127,73.8,-0.0519,0.2993,-0.027,-0.0519,-0.277,750,721,655,False
