hid,family,N,tpy,WR,BASE,STRESS,PF,maxDD,e1,e2,e3,worst,db5,n1,n2,n3,GATE
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=time/window=4/id=45d26ea13045,S1,1396,93.0,0.345,-0.0165,-0.0921,0.972,68.3,-0.0086,-0.0084,-0.0324,-0.0324,-0.2916,434,496,466,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=time/window=8/id=fdd49be73d54,S1,1886,126.0,0.352,0.0152,-0.0945,1.026,88.4,0.0211,-0.0418,0.0704,-0.0418,-0.3045,606,662,618,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=rr2/window=4/id=211f38d879e5,S1,1365,91.0,0.355,-0.0584,-0.117,0.903,92.1,-0.034,-0.0472,-0.0932,-0.0932,-0.1661,427,484,454,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=rr2/window=8/id=73430cc16477,S1,1827,122.0,0.359,-0.0499,-0.1088,0.916,113.9,-0.0161,-0.0494,-0.0841,-0.0841,-0.1571,591,642,594,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=rr3/window=4/id=b2394c046121,S1,1361,91.0,0.325,-0.0077,-0.0662,0.988,52.6,0.031,-0.0138,-0.0373,-0.0373,-0.1654,425,482,454,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=rr3/window=8/id=2cc17ba15862,S1,1816,121.0,0.328,-0.0194,-0.0783,0.969,88.6,0.0244,-0.0417,-0.0387,-0.0417,-0.1764,586,638,592,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=opp_liq/window=4/id=fa793be15ae1,S1,1381,92.0,0.518,-0.0483,-0.107,0.896,70.3,-0.064,-0.0389,-0.0436,-0.064,-0.1923,429,492,460,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=opp_liq/window=8/id=4ef88849560b,S1,1850,123.0,0.519,-0.0419,-0.1009,0.909,89.7,-0.0553,-0.0391,-0.0315,-0.0553,-0.1854,595,651,604,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=time/window=4/id=309c0ce35869,S1,1395,93.0,0.361,-0.0016,-0.0605,0.997,59.9,-0.0104,-0.0055,0.0106,-0.0104,-0.2547,433,496,466,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=time/window=8/id=7cc9f64abfd4,S1,1881,125.0,0.366,0.0069,-0.0524,1.013,63.5,-0.0054,-0.019,0.0465,-0.019,-0.2501,604,660,617,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=rr2/window=4/id=e17f178bd4a3,S1,617,41.0,0.379,-0.0569,-0.0884,0.889,60.8,0.0507,-0.1866,-0.0262,-0.1866,-0.1619,196,212,209,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=rr2/window=8/id=5feef43a9dd9,S1,1300,87.0,0.387,-0.0392,-0.0716,0.923,71.3,-0.0348,-0.0649,-0.0181,-0.0649,-0.1463,450,425,425,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=rr3/window=4/id=15df0dfafb46,S1,615,41.0,0.358,-0.0649,-0.0965,0.878,63.3,0.0212,-0.1809,-0.0278,-0.1809,-0.2218,196,212,207,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=rr3/window=8/id=9953f4e8e4fa,S1,1294,86.0,0.373,-0.0178,-0.0503,0.966,63.0,-0.0132,-0.0442,0.0039,-0.0442,-0.1753,448,424,422,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=opp_liq/window=4/id=d6e9f666e87d,S1,636,42.0,0.781,-0.0428,-0.0741,0.678,35.2,-0.0975,-0.0572,0.0218,-0.0975,-0.0665,199,219,218,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=opp_liq/window=8/id=23f806a44e79,S1,1378,92.0,0.803,-0.0279,-0.0604,0.762,50.8,-0.0492,-0.0389,0.0052,-0.0492,-0.0515,470,456,452,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=time/window=4/id=ff645b1e1c58,S1,630,42.0,0.4,-0.0521,-0.0836,0.883,59.4,0.0153,-0.1309,-0.0357,-0.1309,-0.2247,199,215,216,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=time/window=8/id=c9b455af0243,S1,1366,91.0,0.405,-0.008,-0.0406,0.982,68.0,-0.0001,0.0029,-0.0269,-0.0269,-0.1921,470,446,450,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=rr2/window=4/id=9d820cbe1a13,S1,617,41.0,0.374,-0.0729,-0.1034,0.858,64.6,0.0168,-0.1895,-0.0387,-0.1895,-0.1786,196,212,209,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=rr2/window=8/id=1e356f5c55ff,S1,1295,86.0,0.385,-0.0592,-0.0897,0.881,94.5,-0.0545,-0.0894,-0.034,-0.0894,-0.1661,450,423,422,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=rr3/window=4/id=6bcbd2dd1328,S1,615,41.0,0.358,-0.0683,-0.0988,0.871,65.0,0.0179,-0.1751,-0.0405,-0.1751,-0.2253,196,212,207,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=rr3/window=8/id=2364c5ea1f04,S1,1289,86.0,0.374,-0.0401,-0.0706,0.921,73.3,-0.0287,-0.07,-0.022,-0.07,-0.1994,448,423,418,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=opp_liq/window=4/id=b1ac2c51b8cf,S1,636,42.0,0.781,-0.0455,-0.0759,0.655,36.5,-0.0991,-0.0594,0.0173,-0.0991,-0.0685,199,219,218,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=opp_liq/window=8/id=29e7e0880878,S1,1378,92.0,0.805,-0.0296,-0.0602,0.738,51.7,-0.0497,-0.04,0.0019,-0.0497,-0.0514,470,456,452,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=time/window=4/id=55ba36c4db7a,S1,630,42.0,0.4,-0.0577,-0.0882,0.868,59.8,0.0031,-0.1311,-0.0407,-0.1311,-0.2239,199,215,216,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=time/window=8/id=ab53ff40efad,S1,1366,91.0,0.405,-0.0193,-0.0499,0.954,74.0,-0.0123,-0.0116,-0.0342,-0.0342,-0.193,470,446,450,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=rr2/window=4/id=071bc7387764,S1,417,28.0,0.367,-0.0904,-0.12,0.82,47.4,-0.0515,-0.2378,0.0213,-0.2378,-0.1955,124,145,148,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=rr2/window=8/id=332090e67aa1,S1,1007,67.0,0.387,-0.0434,-0.0746,0.913,66.8,-0.0564,-0.1024,0.0292,-0.1024,-0.1499,339,335,333,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=rr3/window=4/id=573f0074f0bc,S1,415,28.0,0.349,-0.1131,-0.1427,0.782,55.0,-0.0909,-0.2348,-0.011,-0.2348,-0.2703,124,145,146,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=rr3/window=8/id=9bf5e68341b1,S1,1002,67.0,0.377,-0.0209,-0.0521,0.959,48.5,-0.0296,-0.073,0.0405,-0.073,-0.1803,337,334,331,False
