metric,v
N,4685.0
tpy,312.0
WR,0.575
BASE,-0.0649
STRESS,-0.0773
PF,0.849
maxDD,335.6
avg_win,0.636
avg_loss,-1.012
medNatRR,0.6
P25_RR,0.3
P75_RR,1.25
P1_reach,65.4
P2_reach,64.9
P3_reach,26.8
lift_P1_P2,0.6
long_exp,-0.0475
short_exp,-0.0838
stop_then_L2_32,38.4
P95_loss,1.057
P99_loss,1.091
MAX_loss,1.5
