time,open,high,low,close,volume,sub
1311699600,1614.781,1620.463,1614.065,1619.365,7123,16
1311714000,1619.365,1623.049,1618.026,1622.338,2809,14
1311728400,1622.338,1624.29,1620.634,1622.124,2288,16
1311742800,1622.124,1625.626,1622.124,1623.896,5134,16
1311757200,1623.896,1626.427,1616.979,1623.376,7733,16
1311771600,1623.376,1628.663,1608.994,1613.396,20813,16
1311786000,1613.396,1616.18,1611.253,1613.533,6568,16
1311800400,1613.533,1615.659,1612.574,1613.896,2328,14
1311814800,1613.896,1617.536,1613.896,1614.914,2937,16
1311829200,1614.914,1619.879,1612.334,1617.744,4620,16
1311843600,1617.744,1620.367,1613.42,1615.54,9426,16
1311858000,1615.54,1618.017,1603.057,1613.466,21720,16
1311872400,1613.466,1616.962,1610.296,1616.05,5249,16
1311886800,1616.05,1617.115,1613.432,1614.205,2712,14
1311901200,1614.205,1618.563,1613.974,1614.697,4293,16
1311915600,1614.697,1614.697,1610.743,1613.32,5108,16
1311930000,1613.32,1625.2,1612.885,1623.519,10506,16
1311944400,1623.519,1632.826,1619.024,1623.594,25815,16
1311958800,1623.594,1629.482,1622.795,1627.15,7972,16
1312146000,1626.65,1626.9,1605.9,1610.808,8873,14
1312160400,1610.808,1615.992,1610.675,1614.49,4570,16
1312174800,1614.49,1617.986,1611.757,1617.202,5153,16
1312189200,1617.202,1620.668,1613.952,1617.939,8221,16
1312203600,1617.939,1632.056,1610.048,1626.963,26325,16
1312218000,1626.963,1627.439,1616.746,1619.514,10338,16
1312232400,1619.514,1620.47,1616.634,1619.751,3604,14
1312246800,1619.751,1623.105,1618.29,1623.012,4291,16
1312261200,1623.012,1629.621,1623.012,1625.36,6615,16
1312275600,1625.36,1640.978,1624.303,1637.54,12846,16
1312290000,1637.54,1644.293,1632.506,1641.853,24725,16
1312304400,1641.853,1661.171,1639.272,1661.105,15585,16
1312318800,1661.105,1661.56,1652.319,1654.905,4396,14
1312333200,1654.905,1659.143,1652.038,1657.785,3882,16
1312347600,1657.785,1673.105,1657.62,1670.088,9489,16
1312362000,1670.088,1671.227,1660.652,1665.354,10029,16
1312376400,1665.354,1672.053,1664.051,1666.472,19769,16
1312390800,1666.472,1667.949,1656.793,1661.73,11636,16
1312405200,1661.73,1665.345,1659.245,1664.847,4361,13
1312419600,1664.847,1669.261,1657.612,1664.445,14193,16
1312434000,1664.445,1667.047,1660.097,1663.649,8267,16
1312448400,1663.649,1678.883,1659.231,1674.16,16926,16
1312462800,1674.16,1682.276,1642.357,1654.601,41963,16
1312477200,1654.601,1660.718,1643.159,1646.483,31128,16
1312491600,1646.483,1651.155,1641.839,1644.613,8590,15
1312506000,1644.613,1660.539,1644.081,1657.62,9079,16
1312520400,1657.62,1670.246,1654.875,1667.099,15554,16
1312534800,1667.099,1669.02,1649.162,1654.459,20311,16
1312549200,1654.459,1667.205,1648.014,1656.765,44393,16
1312563600,1656.765,1665.575,1648.325,1663.7,16012,16
1312750800,1668.3,1694.972,1668.3,1686.928,12118,12
1312765200,1686.928,1703.329,1686.732,1700.471,14475,16
1312779600,1700.471,1715.43,1699.876,1705.927,23535,16
1312794000,1705.927,1711.519,1694.853,1699.319,18361,16
1312808400,1699.319,1719.36,1692.103,1717.2,40303,16
1312822800,1717.2,1720.733,1708.679,1719.5,25536,16
1312837200,1719.5,1725.236,1715.343,1725.183,6367,16
1312851600,1725.183,1772.187,1724.964,1756.85,32919,16
1312866000,1756.85,1760.441,1733.362,1756.57,34872,16
1312880400,1756.57,1779.818,1741.628,1743.79,38106,16
1312894800,1743.79,1748.706,1720.265,1740.85,52234,16
1312909200,1740.85,1777.77,1723.113,1740.49,61591,16
1312923600,1740.49,1767.085,1737.819,1750.956,17149,15
1312938000,1750.956,1760.261,1749.585,1753.313,13971,16
1312952400,1753.313,1767.235,1741.209,1759.799,23091,16
1312966800,1759.799,1768.429,1752.378,1766.502,21115,16
1312981200,1766.502,1798.0,1758.71,1775.865,64784,16
1312995600,1775.865,1794.979,1763.371,1793.2,38253,16
1313010000,1793.2,1814.903,1793.2,1803.135,20295,15
1313024400,1803.135,1807.895,1779.194,1787.769,27658,16
1313038800,1787.769,1795.91,1775.385,1792.66,26785,16
1313053200,1792.66,1793.242,1768.542,1769.553,39694,16
1313067600,1769.553,1776.036,1751.611,1764.796,65436,16
1313082000,1764.796,1765.796,1732.326,1763.95,43978,16
1313096400,1763.95,1768.154,1748.111,1755.485,10064,15
1313110800,1755.485,1768.09,1752.843,1762.881,10585,16
1313125200,1762.881,1767.312,1746.645,1760.822,17784,16
1313139600,1760.822,1764.339,1743.362,1743.379,24088,16
1313154000,1743.379,1748.797,1723.482,1739.242,50005,16
1313168400,1739.242,1747.168,1735.911,1746.55,18531,16
1313355600,1746.75,1747.75,1728.459,1735.296,10004,13
1313370000,1735.296,1746.913,1735.197,1742.536,8707,16
1313384400,1742.536,1747.069,1734.694,1740.911,12658,16
1313398800,1740.911,1742.962,1732.59,1736.948,14516,16
1313413200,1736.948,1755.983,1735.517,1753.567,28469,16
1313427600,1753.567,1766.635,1752.843,1765.96,14558,16
1313442000,1765.96,1770.201,1763.135,1764.074,4947,16
1313456400,1764.074,1767.012,1761.259,1764.766,5537,16
1313470800,1764.766,1778.648,1764.766,1778.416,11427,16
1313485200,1778.416,1782.376,1773.495,1779.139,16101,16
1313499600,1779.139,1786.787,1764.441,1781.425,41533,16
1313514000,1781.425,1787.243,1780.009,1785.713,12941,16
1313528400,1785.713,1787.94,1782.742,1785.792,2805,14
1313542800,1785.792,1786.968,1781.128,1784.883,5053,16
1313557200,1784.883,1794.188,1784.752,1792.885,9540,16
1313571600,1792.885,1794.863,1782.165,1783.393,13439,16
1313586000,1783.393,1793.402,1779.122,1784.918,25083,16
1313600400,1784.918,1793.745,1784.7,1791.257,9944,16
1313614800,1791.257,1791.32,1784.153,1786.242,2679,14
1313629200,1786.242,1792.862,1786.05,1790.592,3908,16
1313643600,1790.592,1797.006,1790.523,1794.747,7514,16
1313658000,1794.747,1818.612,1793.85,1817.077,20059,16
1313672400,1817.077,1826.846,1811.79,1819.13,43313,16
1313686800,1819.13,1828.929,1815.719,1823.803,18690,16
1313701200,1823.803,1836.761,1821.823,1836.384,6673,15
1313715600,1836.384,1845.097,1831.065,1842.978,12803,16
1313730000,1842.978,1868.926,1841.331,1861.898,31463,16
1313744400,1861.898,1877.895,1841.452,1852.965,52727,16
1313758800,1852.965,1865.332,1837.762,1852.442,55282,16
1313773200,1852.442,1853.542,1845.248,1852.05,19440,16
1313960400,1853.5,1879.017,1853.5,1875.747,12133,13
1313974800,1875.747,1877.241,1864.702,1876.794,16446,16
1313989200,1876.794,1894.995,1876.706,1888.183,20949,16
1314003600,1888.183,1888.752,1858.019,1863.711,32017,16
1314018000,1863.711,1894.13,1861.694,1887.572,52973,16
1314032400,1887.572,1898.873,1883.423,1897.685,20130,16
1314046800,1897.685,1912.277,1896.798,1904.473,13853,14
1314061200,1904.473,1906.012,1892.16,1904.024,20475,16
1314075600,1904.024,1904.688,1871.486,1880.576,29785,16
1314090000,1880.576,1890.837,1870.924,1876.037,28805,16
1314104400,1876.037,1887.964,1849.354,1857.779,67247,16
1314118800,1857.779,1868.591,1823.819,1828.445,55595,16
1314133200,1828.445,1847.126,1828.195,1841.811,13435,15
1314147600,1841.811,1854.192,1841.786,1845.983,17106,16
1314162000,1845.983,1852.03,1839.444,1850.317,19105,16
1314176400,1850.317,1854.075,1830.094,1836.545,26712,16
1314190800,1836.545,1837.962,1761.621,1766.732,96806,16
1314205200,1766.732,1770.944,1750.027,1759.155,60029,16
1314219600,1759.155,1760.672,1741.997,1753.437,20694,16
1314234000,1753.437,1766.806,1732.774,1734.343,24055,16
1314248400,1734.343,1746.418,1724.698,1726.718,37769,16
1314262800,1726.718,1739.035,1703.147,1735.536,63878,16
1314277200,1735.536,1768.444,1704.529,1765.914,108281,16
1314291600,1765.914,1775.258,1754.623,1775.09,43940,16
1314306000,1775.09,1775.165,1761.722,1765.293,10703,15
1314320400,1765.293,1782.752,1757.626,1774.294,18802,16
1314334800,1774.294,1791.924,1765.571,1787.95,28203,16
1314349200,1787.95,1794.864,1764.96,1774.705,38848,16
1314363600,1774.705,1796.05,1764.6,1786.519,106595,16
1314378000,1786.519,1829.15,1784.488,1828.8,40974,16
1314565200,1833.05,1838.15,1809.838,1810.992,14451,14
1314579600,1810.992,1825.767,1806.493,1822.506,13438,16
1314594000,1822.506,1824.276,1811.462,1819.208,12235,16
1314608400,1819.208,1822.861,1811.531,1815.102,14242,16
1314622800,1815.102,1816.087,1779.07,1790.47,47407,16
1314637200,1790.47,1791.919,1776.135,1788.297,18778,16
1314651600,1788.297,1795.818,1785.676,1795.74,5404,15
1314666000,1795.74,1800.887,1791.508,1792.419,7252,16
1314680400,1792.419,1799.264,1783.788,1792.337,9228,16
1314694800,1792.337,1832.103,1788.489,1825.35,24104,16
1314709200,1825.35,1833.698,1814.725,1825.964,40166,16
1314723600,1825.964,1840.717,1822.719,1835.339,22300,16
1314738000,1835.339,1837.363,1826.426,1828.764,5894,14
1314752400,1828.764,1835.042,1827.962,1833.954,5531,16
1314766800,1833.954,1836.875,1823.932,1832.096,11679,16
1314781200,1832.096,1833.864,1820.234,1830.134,16733,16
1314795600,1830.134,1840.077,1811.509,1834.947,42073,16
1314810000,1834.947,1837.268,1822.066,1825.613,16026,16
1314824400,1825.613,1829.108,1824.037,1826.427,3988,15
1314838800,1826.427,1826.819,1819.91,1824.073,7364,16
1314853200,1824.073,1827.397,1814.965,1822.922,9411,16
1314867600,1822.922,1830.837,1815.065,1824.915,13319,16
1314882000,1824.915,1829.88,1813.725,1825.248,29069,16
1314896400,1825.248,1830.897,1819.688,1826.184,7747,16
1314910800,1826.184,1827.122,1824.633,1825.242,1856,14
1314925200,1825.242,1831.035,1824.943,1829.029,3199,16
1314939600,1829.029,1856.064,1827.64,1850.243,14132,16
1314954000,1850.243,1881.306,1850.035,1875.39,23349,16
1314968400,1875.39,1879.952,1870.682,1874.363,28888,16
