time,open,high,low,close,volume,sub
1672696800,1823.79,1832.545,1823.79,1828.57,11651,12
1672711200,1828.57,1843.22,1828.36,1840.51,13420,16
1672725600,1840.51,1849.99,1834.63,1838.905,25799,16
1672740000,1838.905,1841.12,1830.905,1838.96,16498,16
1672754400,1838.96,1849.89,1827.645,1839.355,26909,16
1672768800,1839.355,1840.28,1836.57,1839.7,6493,16
1672783200,1839.7,1844.585,1836.24,1844.385,6403,12
1672797600,1844.385,1847.215,1843.49,1846.43,8117,16
1672812000,1846.43,1865.215,1845.83,1860.605,14997,16
1672826400,1860.605,1862.9,1852.885,1860.12,10862,16
1672840800,1860.12,1860.91,1849.095,1850.575,22646,16
1672855200,1850.575,1857.245,1847.15,1854.65,13208,16
1672869600,1854.65,1858.995,1854.045,1858.91,5931,12
1672884000,1858.91,1858.91,1850.405,1852.675,6493,16
1672898400,1852.675,1855.75,1843.89,1848.575,12919,16
1672912800,1848.575,1851.405,1833.09,1834.835,18188,16
1672927200,1834.835,1837.925,1825.13,1833.99,17611,16
1672941600,1833.99,1837.47,1831.97,1832.7,5694,16
1672956000,1832.7,1836.205,1831.42,1835.52,4465,12
1672970400,1835.52,1840.915,1835.52,1837.145,7034,16
1672984800,1837.145,1840.685,1833.32,1835.55,9290,16
1672999200,1835.55,1852.595,1834.145,1851.84,21169,16
1673013600,1851.84,1865.01,1840.745,1862.46,26917,16
1673028000,1862.46,1869.92,1861.835,1866.11,8258,16
1673215200,1866.11,1875.335,1866.11,1874.475,9644,12
1673229600,1874.475,1879.545,1874.305,1878.055,9109,16
1673244000,1878.055,1881.02,1871.335,1873.68,12413,16
1673258400,1873.68,1878.505,1870.56,1878.23,9506,16
1673272800,1878.23,1881.55,1869.11,1871.905,13948,16
1673287200,1871.905,1875.755,1869.275,1871.705,5901,16
1673301600,1871.705,1876.13,1867.93,1874.485,6090,12
1673316000,1874.485,1875.68,1870.79,1874.13,7149,16
1673330400,1874.13,1877.33,1870.67,1876.89,10488,16
1673344800,1876.89,1877.19,1870.475,1873.425,11600,16
1673359200,1873.425,1880.795,1871.29,1874.355,18243,16
1673373600,1874.355,1878.725,1872.045,1876.99,6713,16
1673388000,1876.99,1878.5,1872.07,1873.11,5267,12
1673402400,1873.11,1884.68,1872.37,1882.325,7812,16
1673416800,1882.325,1886.695,1880.395,1884.685,15603,16
1673431200,1884.685,1886.1,1875.82,1877.675,13081,16
1673445600,1877.675,1879.185,1867.22,1873.85,18132,16
1673460000,1873.85,1878.535,1873.21,1875.965,6064,16
1673474400,1875.965,1881.165,1874.965,1880.585,6022,12
1673488800,1880.585,1885.09,1880.285,1883.72,6655,16
1673503200,1883.72,1885.475,1879.945,1884.405,9040,16
1673517600,1884.405,1901.705,1870.3,1899.685,23397,16
1673532000,1899.685,1901.395,1879.935,1897.79,31088,16
1673546400,1897.79,1899.66,1894.175,1896.785,10086,16
1673560800,1896.785,1900.98,1895.845,1898.84,7841,12
1673575200,1898.84,1899.965,1892.395,1893.705,6627,16
1673589600,1893.705,1909.735,1893.565,1904.38,14269,16
1673604000,1904.38,1907.025,1893.77,1900.09,14812,16
1673618400,1900.09,1917.835,1899.18,1916.925,16529,16
1673632800,1916.925,1921.91,1916.775,1920.315,5997,16
1673820000,1920.315,1924.62,1916.84,1924.26,7931,12
1673834400,1924.26,1929.06,1916.965,1919.59,7704,16
1673848800,1919.59,1920.89,1910.915,1917.64,9946,16
1673863200,1917.64,1919.39,1911.46,1913.425,9415,16
1673877600,1913.425,1917.14,1912.61,1913.935,6574,16
1673892000,1913.935,1916.01,1913.935,1916.01,810,7
1673906400,1916.01,1919.095,1912.97,1913.16,4589,12
1673920800,1913.16,1916.33,1908.195,1911.125,7505,16
1673935200,1911.125,1912.02,1905.92,1906.625,10477,16
1673949600,1906.625,1914.475,1904.325,1913.015,11809,16
1673964000,1913.015,1916.67,1905.26,1907.225,16242,16
1673978400,1907.225,1910.895,1903.81,1908.71,8347,16
1673992800,1908.71,1909.185,1906.39,1908.8,3856,12
1674007200,1908.8,1910.365,1896.675,1898.04,16096,16
1674021600,1898.04,1916.005,1897.895,1914.85,16460,16
1674036000,1914.85,1924.41,1911.285,1921.45,13133,16
1674050400,1921.45,1925.945,1901.655,1905.355,24247,16
1674064800,1905.355,1906.58,1902.41,1904.51,6129,16
1674079200,1904.51,1909.565,1901.43,1902.02,7375,12
1674093600,1902.02,1911.02,1901.035,1910.105,7549,16
1674108000,1910.105,1916.84,1906.505,1910.4,9134,16
1674122400,1910.4,1913.515,1906.73,1913.245,11544,16
1674136800,1913.245,1923.345,1912.87,1920.115,14191,16
1674151200,1920.115,1935.21,1919.87,1932.26,9783,16
1674165600,1932.26,1934.89,1929.46,1931.745,5468,12
1674180000,1931.745,1932.58,1923.24,1928.04,6916,16
1674194400,1928.04,1937.58,1926.25,1929.45,12955,16
1674208800,1929.45,1931.39,1923.985,1924.205,13359,16
1674223200,1924.205,1931.05,1920.72,1925.195,15981,16
1674237600,1925.195,1931.03,1924.795,1926.06,5627,16
1674424800,1926.06,1933.83,1923.91,1932.55,4812,12
1674439200,1932.55,1935.59,1926.165,1926.25,5619,16
1674453600,1926.25,1927.485,1918.965,1926.02,14477,16
1674468000,1926.02,1929.44,1918.845,1922.01,9729,16
1674482400,1922.01,1926.4,1911.435,1923.955,17854,16
1674496800,1923.955,1931.785,1923.835,1931.34,5935,16
1674511200,1931.34,1935.87,1930.85,1935.87,3250,12
1674525600,1935.87,1937.135,1931.92,1934.11,3438,16
1674540000,1934.11,1942.555,1933.95,1936.19,8804,16
1674554400,1936.19,1939.44,1930.435,1932.535,7701,16
1674568800,1932.535,1936.69,1917.22,1933.975,21466,16
1674583200,1933.975,1938.275,1933.16,1937.315,3580,16
1674597600,1937.315,1938.88,1935.01,1937.405,3560,12
1674612000,1937.405,1939.74,1925.88,1927.66,6789,16
1674626400,1927.66,1933.875,1926.45,1928.04,10758,16
1674640800,1928.04,1928.525,1919.945,1922.35,11958,16
1674655200,1922.35,1940.525,1921.81,1937.37,24501,16
1674669600,1937.37,1948.1,1937.37,1946.325,8451,16
1674684000,1946.325,1949.26,1942.6,1945.655,4881,12
1674698400,1945.655,1948.825,1943.725,1947.575,5076,16
1674712800,1947.575,1949.045,1933.945,1936.855,13687,16
1674727200,1936.855,1939.645,1931.365,1937.705,14323,16
1674741600,1937.705,1942.44,1918.695,1926.66,24183,16
1674756000,1926.66,1933.175,1926.485,1929.215,7167,16
1674770400,1929.215,1934.905,1929.0,1930.15,4873,12
1674784800,1930.15,1931.17,1919.88,1925.135,6312,16
1674799200,1925.135,1928.25,1922.195,1925.695,8664,16
1674813600,1925.695,1935.05,1925.225,1928.885,10103,16
1674828000,1928.885,1932.26,1916.745,1928.605,19362,16
1674842400,1928.605,1932.075,1926.235,1927.73,5021,16
1675029600,1927.73,1931.13,1924.895,1927.805,7306,12
1675044000,1927.805,1934.565,1924.475,1931.435,7328,16
1675058400,1931.435,1932.245,1920.745,1924.76,11364,16
1675072800,1924.76,1930.84,1922.135,1929.17,7671,16
1675087200,1929.17,1929.67,1922.01,1924.42,7606,16
1675101600,1924.42,1924.7,1920.865,1923.2,3586,16
1675116000,1923.2,1927.43,1921.185,1925.25,4467,12
