i,date,gap,gap_dir,filled,ttf_hours,week_of_month,dow_open,abs_gap,gap_tercile
35654,2024-06-23,-0.8449999999997999,down,True,0.0,4,Sunday,0.8449999999997999,small
36114,2024-06-30,-3.399999999999636,down,True,3.25,5,Sunday,3.399999999999636,medium
36564,2024-07-07,-2.2100000000000364,down,True,83.5,1,Sunday,2.2100000000000364,small
37024,2024-07-14,0.8899999999998727,up,True,0.0,2,Sunday,0.8899999999998727,small
37484,2024-07-21,3.0,up,True,8.0,3,Sunday,3.0,medium
37944,2024-07-28,1.375,up,True,10.5,4,Sunday,1.375,small
38404,2024-08-04,-0.5549999999998363,down,True,0.0,1,Sunday,0.5549999999998363,small
38864,2024-08-11,-3.1299999999996544,down,True,0.25,2,Sunday,3.1299999999996544,medium
39324,2024-08-18,-1.6149999999997817,down,True,26.0,3,Sunday,1.6149999999997817,small
39784,2024-08-25,-0.45499999999992724,down,True,0.0,4,Sunday,0.45499999999992724,small
40244,2024-09-01,-0.5599999999999454,down,True,0.0,1,Sunday,0.5599999999999454,small
40694,2024-09-08,-0.775000000000091,down,True,0.0,2,Sunday,0.775000000000091,small
41154,2024-09-15,0.0749999999998181,up,True,0.0,3,Sunday,0.0749999999998181,small
41614,2024-09-22,-0.8700000000003456,down,True,4.5,4,Sunday,0.8700000000003456,small
42074,2024-09-29,3.2649999999998727,up,True,3.25,5,Sunday,3.2649999999998727,medium
42534,2024-10-06,-2.450000000000273,down,True,10.0,1,Sunday,2.450000000000273,small
42994,2024-10-13,-8.375,down,True,5.5,2,Sunday,8.375,large
43454,2024-10-20,1.1900000000000546,up,True,0.0,3,Sunday,1.1900000000000546,small
43914,2024-10-27,-13.150000000000091,down,True,26.0,4,Sunday,13.150000000000091,large
44374,2024-11-03,-4.4099999999998545,down,True,0.0,1,Sunday,4.4099999999998545,medium
44834,2024-11-10,-0.7449999999998909,down,True,0.5,2,Sunday,0.7449999999998909,small
45294,2024-11-17,3.9100000000003092,up,False,,3,Sunday,3.9100000000003092,medium
45754,2024-11-24,-5.170000000000073,down,True,0.25,4,Sunday,5.170000000000073,medium
46195,2024-12-01,-1.4099999999998545,down,True,0.25,1,Sunday,1.4099999999998545,small
46655,2024-12-08,9.75,up,True,1.25,2,Sunday,9.75,large
47115,2024-12-15,0.18000000000029104,up,True,1.5,3,Sunday,0.18000000000029104,small
47575,2024-12-22,-1.400000000000091,down,True,0.25,4,Sunday,1.400000000000091,small
47746,2024-12-25,-1.5650000000000546,down,True,0.0,4,Wednesday,1.5650000000000546,small
48114,2025-01-01,0.8099999999999454,up,True,0.25,1,Wednesday,0.8099999999999454,small
48298,2025-01-05,0.1550000000002001,up,True,1.0,1,Sunday,0.1550000000002001,small
48758,2025-01-12,-0.05499999999983629,down,True,0.0,2,Sunday,0.05499999999983629,small
49668,2025-01-26,-5.7150000000001455,down,True,1.75,4,Sunday,5.7150000000001455,medium
50128,2025-02-02,3.7150000000001455,up,True,0.25,1,Sunday,3.7150000000001455,medium
50588,2025-02-09,0.5900000000001455,up,True,0.0,2,Sunday,0.5900000000001455,small
51048,2025-02-16,10.893000000000029,up,True,0.25,3,Sunday,10.893000000000029,large
51498,2025-02-23,3.524999999999636,up,True,1.0,4,Sunday,3.524999999999636,medium
51958,2025-03-02,15.0,up,False,,1,Sunday,15.0,large
52418,2025-03-09,2.8599999999996726,up,True,4.25,2,Sunday,2.8599999999996726,medium
52878,2025-03-16,3.3150000000000546,up,True,6.25,3,Sunday,3.3150000000000546,medium
53338,2025-03-23,-0.8200000000001637,down,True,0.0,4,Sunday,0.8200000000001637,small
53798,2025-03-30,7.665000000000418,up,True,2.0,5,Sunday,7.665000000000418,medium
54258,2025-04-06,-7.1150000000002365,down,True,3.5,1,Sunday,7.1150000000002365,medium
54718,2025-04-13,-14.974999999999909,down,True,3.5,2,Sunday,14.974999999999909,large
55086,2025-04-20,4.885000000000218,up,True,46.0,3,Sunday,4.885000000000218,medium
55546,2025-04-27,7.019999999999982,up,True,0.25,4,Sunday,7.019999999999982,medium
56006,2025-05-04,-2.6549999999997453,down,True,0.0,1,Sunday,2.6549999999997453,medium
56926,2025-05-18,11.539999999999964,up,False,,3,Sunday,11.539999999999964,large
57386,2025-05-25,-6.724999999999909,down,False,,4,Sunday,6.724999999999909,medium
57836,2025-06-01,13.715000000000146,up,False,,1,Sunday,13.715000000000146,large
58296,2025-06-08,7.804999999999836,up,True,0.75,2,Sunday,7.804999999999836,medium
58756,2025-06-15,7.644999999999982,up,True,5.5,3,Sunday,7.644999999999982,medium
59206,2025-06-22,15.074999999999818,up,True,2.0,4,Sunday,15.074999999999818,large
59666,2025-06-29,-2.5350000000003092,down,True,3.25,5,Sunday,2.5350000000003092,small
60110,2025-07-06,4.955000000000382,up,True,0.0,1,Sunday,4.955000000000382,medium
60570,2025-07-13,6.710000000000036,up,True,4.0,2,Sunday,6.710000000000036,medium
61030,2025-07-20,-1.2549999999996544,down,True,0.0,3,Sunday,1.2549999999996544,small
61490,2025-07-27,-7.595000000000255,down,True,1.0,4,Sunday,7.595000000000255,medium
61950,2025-08-03,1.900000000000091,up,True,0.0,1,Sunday,1.900000000000091,small
62410,2025-08-10,1.9850000000001273,up,True,0.0,2,Sunday,1.9850000000001273,small
62870,2025-08-17,-0.4699999999997999,down,True,0.0,3,Sunday,0.4699999999997999,small
63330,2025-08-24,-2.505000000000109,down,True,13.75,4,Sunday,2.505000000000109,small
63790,2025-08-31,-2.005000000000109,down,True,0.0,5,Sunday,2.005000000000109,small
64240,2025-09-07,5.065000000000055,up,True,3.0,1,Sunday,5.065000000000055,medium
64700,2025-09-14,1.4800000000000182,up,True,0.25,2,Sunday,1.4800000000000182,small
65160,2025-09-21,2.7950000000000728,up,True,0.0,3,Sunday,2.7950000000000728,medium
65620,2025-09-28,4.889999999999873,up,False,,4,Sunday,4.889999999999873,medium
66080,2025-10-05,4.880000000000109,up,True,0.0,1,Sunday,4.880000000000109,medium
66540,2025-10-12,0.9450000000001637,up,True,0.0,2,Sunday,0.9450000000001637,small
67000,2025-10-19,13.099999999999454,up,True,0.0,3,Sunday,13.099999999999454,large
67460,2025-10-26,-28.425000000000182,down,False,,4,Sunday,28.425000000000182,large
67920,2025-11-02,-7.3400000000001455,down,True,3.25,1,Sunday,7.3400000000001455,medium
68380,2025-11-09,4.400000000000091,up,False,,2,Sunday,4.400000000000091,medium
68840,2025-11-16,-7.549999999999727,down,True,0.0,3,Sunday,7.549999999999727,medium
69300,2025-11-23,2.599999999999909,up,True,1.0,4,Sunday,2.599999999999909,small
69751,2025-11-30,10.490000000000691,up,True,0.0,5,Sunday,10.490000000000691,large
70670,2025-12-14,3.6049999999995634,up,True,17.25,2,Sunday,3.6049999999995634,medium
71130,2025-12-21,2.139999999999418,up,True,104.75,3,Sunday,2.139999999999418,small
71393,2025-12-25,23.210000000000036,up,True,24.5,4,Thursday,23.210000000000036,large
71485,2025-12-28,9.449999999999818,up,True,0.0,4,Sunday,9.449999999999818,large
71761,2026-01-01,3.7950000000000728,up,True,17.0,1,Thursday,3.7950000000000728,medium
71853,2026-01-04,24.44000000000051,up,False,,1,Sunday,24.44000000000051,large
72313,2026-01-11,11.835000000000036,up,False,,2,Sunday,11.835000000000036,large
72773,2026-01-18,53.460000000000036,up,False,,3,Sunday,53.460000000000036,large
73223,2026-01-25,28.085000000000036,up,True,102.5,4,Sunday,28.085000000000036,large
73683,2026-02-01,-61.54999999999927,down,True,31.25,1,Sunday,61.54999999999927,large
74143,2026-02-08,25.3100000000004,up,True,86.0,2,Sunday,25.3100000000004,large
74603,2026-02-15,-25.594999999999345,down,True,99.75,3,Sunday,25.594999999999345,large
75053,2026-02-22,10.454999999999927,up,True,38.0,4,Sunday,10.454999999999927,large
75513,2026-03-01,90.01999999999953,up,True,17.0,1,Sunday,90.01999999999953,large
75973,2026-03-08,0.4499999999998181,up,True,0.0,2,Sunday,0.4499999999998181,small
76433,2026-03-15,-5.645000000000437,down,True,0.0,3,Sunday,5.645000000000437,medium
76893,2026-03-22,-25.23999999999978,down,True,0.0,4,Sunday,25.23999999999978,large
77353,2026-03-29,18.854999999999563,up,True,0.0,5,Sunday,18.854999999999563,large
77721,2026-04-05,-38.49499999999989,down,True,7.0,1,Sunday,38.49499999999989,large
78181,2026-04-12,-79.26000000000022,down,True,19.25,2,Sunday,79.26000000000022,large
78641,2026-04-19,-56.79500000000007,down,True,23.0,3,Sunday,56.79500000000007,large
79101,2026-04-26,-12.875,down,True,3.0,4,Sunday,12.875,large
79561,2026-05-03,11.515000000000327,up,True,0.25,1,Sunday,11.515000000000327,large
80021,2026-05-10,-28.284999999999854,down,True,15.0,2,Sunday,28.284999999999854,large
80481,2026-05-17,5.1599999999998545,up,True,0.25,3,Sunday,5.1599999999998545,medium
80941,2026-05-24,40.850000000000364,up,True,34.0,4,Sunday,40.850000000000364,large
81391,2026-05-31,-19.734999999999673,down,True,1.0,5,Sunday,19.734999999999673,large
