date,threshold,dow,session,continuation,continued_meaningfully
2023-05-10,0.3,Wednesday,london,0.0,0
2023-05-11,0.3,Thursday,london,0.0,0
2023-05-15,0.3,Monday,asia,0.11587928180313267,1
2023-05-23,0.3,Tuesday,ny,0.0,0
2023-05-24,0.3,Wednesday,london,0.0,0
2023-05-30,0.3,Tuesday,london,0.5742526879308502,1
2023-05-30,0.5,Tuesday,london,0.3136093789720816,1
2023-05-30,0.7,Tuesday,london,0.18088017585572375,1
2023-05-30,0.9,Tuesday,ny,0.0,0
2023-05-31,0.3,Wednesday,ny,0.20679690742249612,1
2023-05-31,0.5,Wednesday,ny,0.04691126515932318,0
2023-06-01,0.3,Thursday,ny,0.36405626705857924,1
2023-06-01,0.5,Thursday,ny,0.1690111274406923,1
2023-06-01,0.7,Thursday,ny,0.0,0
2023-06-05,0.3,Monday,ny,0.10278440274704999,1
2023-06-05,0.5,Monday,ny,0.08126203270020897,0
2023-06-08,0.3,Thursday,london,0.47126419804144415,1
2023-06-08,0.5,Thursday,london,0.47126419804144415,1
2023-06-08,0.7,Thursday,ny,0.19417160244006615,1
2023-06-08,0.9,Thursday,ny,0.08271420764220183,0
2023-06-13,0.3,Tuesday,london,0.0,0
2023-06-14,0.3,Wednesday,asia,0.38655664276803037,1
2023-06-14,0.5,Wednesday,london,0.08543385790082698,0
2023-06-15,0.3,Thursday,ny,0.27042431918936155,1
2023-06-15,0.5,Thursday,ny,0.041712245955431944,0
2023-06-26,0.3,Monday,london,0.03360176851413186,0
2023-06-27,0.3,Tuesday,asia,0.013258225161235973,0
2023-07-03,0.3,Monday,ny,0.27946051969241936,1
2023-07-03,0.5,Monday,ny,0.0,0
2023-07-04,0.3,Tuesday,asia,0.15999424998203401,1
2023-07-05,0.3,Wednesday,ny,0.0,0
2023-07-06,0.3,Thursday,london,0.17378110089394946,1
2023-07-06,0.5,Thursday,london,0.006142483684022116,0
2023-07-11,0.3,Tuesday,asia,0.3503822587512256,1
2023-07-11,0.5,Tuesday,asia,0.002850743229476342,0
2023-07-11,0.7,Tuesday,asia,0.002850743229476342,0
2023-07-12,0.3,Wednesday,asia,0.9657454545454559,1
2023-07-12,0.5,Wednesday,london,0.49025454545455105,1
2023-07-12,0.7,Wednesday,london,0.49025454545455105,1
2023-07-12,0.9,Wednesday,ny,0.4131272727272732,1
2023-07-12,1.1,Wednesday,ny,0.12014545454544946,1
2023-07-12,1.3,Wednesday,ny,0.01374545454545362,0
